AGS;100_1;100_2;100_6;100_16;100_30;100_50;200_1;200_2;200_6;200_16;200_30;200_50
07131077;99;99;99;99;98;97;99;99;99;0;0;0
07131082;97;97;97;75;64;42;33;33;28;0;0;0
07131090;80;65;44;40;39;28;100;100;99;50;50;0
07131502;98;98;93;83;83;69;99;99;76;0;0;0
07131501;68;60;51;4;4;4;94;94;94;0;0;0
07131211;100;100;100;98;66;62;84;84;81;0;0;0
07132006;100;100;100;100;100;100;99;99;98;0;0;0
03359035;86;85;83;71;50;35;90;90;87;0;0;0
06438004;100;100;100;99;97;95;100;100;100;99;0;0
07132023;100;100;99;41;40;35;100;100;98;0;0;0
07132011;91;89;83;77;52;21;97;97;97;0;0;0
07132015;96;96;96;81;56;10;100;100;100;0;0;0
07132014;92;92;92;92;65;16;93;91;91;0;0;0
06438005;100;100;100;100;99;98;100;100;100;0;0;0
07132018;99;99;99;53;35;21;99;98;96;0;0;0
08125103;24;23;23;21;21;21;93;93;93;69;66;0
08125098;100;100;99;97;90;74;96;95;95;0;0;0
08125107;85;80;65;55;52;52;84;84;79;0;0;0
08125108;92;91;79;76;75;75;91;91;87;0;0;0
08125102;100;100;99;99;99;98;100;100;100;0;0;0
08126028;93;92;83;79;78;78;94;94;94;0;0;0
08126046;95;95;93;91;90;88;93;93;92;0;0;0
16071097;93;93;92;92;89;25;96;96;96;0;0;0
08126056;87;85;81;79;77;73;73;73;73;0;0;0
08126039;89;88;88;88;88;80;88;87;87;0;0;0
08126047;90;88;79;70;69;63;97;97;96;0;0;0
08127056;99;99;99;95;94;87;87;81;69;0;0;0
13074093;81;80;58;42;34;19;87;86;83;0;0;0
08136003;92;91;86;78;31;2;99;99;99;0;0;0
08136002;97;92;85;71;59;56;90;89;85;0;0;0
08136024;100;96;84;66;39;39;100;100;100;0;0;0
08136020;94;91;85;81;80;73;94;94;92;0;0;0
08136021;99;99;98;94;85;85;46;29;18;0;0;0
08136019;97;97;93;91;87;83;99;99;97;0;0;0
08136028;100;100;99;99;93;92;97;97;97;0;0;0
08136027;78;69;53;44;42;42;93;93;91;0;0;0
08136038;99;99;97;96;94;94;94;94;93;0;0;0
08136037;96;93;73;73;71;68;96;96;87;0;0;0
03451001;96;96;93;85;76;62;99;99;98;0;0;0
07132050;100;97;84;42;39;35;98;98;98;0;0;0
03152005;0;0;0;0;0;0;100;100;100;0;0;0
12063036;99;99;97;72;46;42;100;100;100;0;0;0
06535018;73;65;46;37;33;22;97;97;96;0;0;0
03452012;91;91;87;82;72;56;100;100;100;0;0;0
03452011;97;96;92;90;89;87;100;100;100;0;0;0
03452014;91;90;84;77;73;70;100;100;100;0;0;0
09575152;99;99;98;97;90;45;99;99;99;0;0;0
03452013;99;99;98;98;98;98;100;95;95;0;0;0
14523160;99;99;98;95;89;80;95;88;84;0;0;0
09577148;97;97;95;95;95;95;98;98;98;0;0;0
09274120;96;95;92;83;78;62;97;97;97;0;0;0
01057062;100;100;100;100;95;92;100;100;82;0;0;0
09479159;98;98;98;92;88;68;100;100;100;0;0;0
07132074;97;97;97;92;45;13;98;98;98;0;0;0
09275138;98;98;97;90;81;62;94;94;88;30;30;0
16061097;97;97;97;87;87;87;100;100;99;0;0;0
07132076;99;98;85;48;44;36;100;52;43;0;0;0
