AGS;300_1;300_2;300_6;300_16;300_30;300_50;DSL_1;DSL_2;DSL_6;DSL_16;DSL_30;DSL_50;FTTH_1;FTTH_2;FTTH_6;FTTH_16;FTTH_30;FTTH_50;CATV_1;CATV_2;CATV_6;CATV_16;CATV_30;CATV_50;PLC_1;PLC_2;PLC_6;PLC_16;PLC_30;PLC_50;UMTS_1;UMTS_2;LTE_1;LTE_2;LTE_6;WLAN_1;WLAN_2;WLAN_6;WLAN_16;WLAN_30;WLAN_50;WiMAX_1;WiMAX_2;WiMAX_6;WiMAX_16;WiMAX_30;WiMAX_50
05911000;100,00;100,00;100,00;99,00;97,00;95,00;100,00;100,00;99,00;98,00;88,00;75,00;3,00;3,00;3,00;3,00;3,00;3,00;90,00;90,00;90,00;90,00;90,00;90,00;0,00;0,00;0,00;0,00;0,00;0,00;100,00;46,00;100,00;100,00;98,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
14729270;100,00;100,00;100,00;96,00;57,00;56,00;91,00;82,00;68,00;58,00;45,00;42,00;0,00;0,00;0,00;0,00;0,00;0,00;49,00;49,00;49,00;49,00;49,00;49,00;0,00;0,00;0,00;0,00;0,00;0,00;97,00;50,00;100,00;100,00;99,00;46,00;40,00;29,00;29,00;0,00;0,00;79,00;79,00;79,00;79,00;0,00;0,00
09472155;100,00;100,00;100,00;99,00;96,00;74,00;100,00;100,00;99,00;99,00;91,00;42,00;2,00;2,00;2,00;2,00;2,00;2,00;53,00;53,00;53,00;53,00;53,00;53,00;0,00;0,00;0,00;0,00;0,00;0,00;90,00;62,00;100,00;100,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
16075116;100,00;100,00;100,00;54,00;47,00;38,00;90,00;90,00;86,00;49,00;47,00;38,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;90,00;64,00;97,00;97,00;97,00;5,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
09778205;100,00;100,00;98,00;90,00;81,00;70,00;100,00;100,00;98,00;90,00;81,00;70,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,00;21,00;76,00;76,00;76,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01053107;100,00;100,00;100,00;65,00;65,00;65,00;91,00;91,00;61,00;61,00;61,00;57,00;62,00;62,00;62,00;62,00;62,00;62,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43,00;0,00;100,00;100,00;99,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01053106;100,00;100,00;100,00;94,00;94,00;94,00;94,00;94,00;94,00;92,00;92,00;92,00;94,00;94,00;94,00;94,00;94,00;94,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;76,00;43,00;100,00;100,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01051047;88,00;88,00;85,00;1,00;1,00;1,00;17,00;5,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;52,00;0,00;88,00;88,00;85,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
09779115;100,00;100,00;100,00;99,00;91,00;87,00;100,00;100,00;100,00;98,00;81,00;69,00;2,00;2,00;2,00;2,00;2,00;2,00;72,00;72,00;72,00;72,00;72,00;72,00;0,00;0,00;0,00;0,00;0,00;0,00;96,00;50,00;100,00;100,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
09779117;99,00;99,00;99,00;91,00;90,00;85,00;92,00;91,00;91,00;91,00;90,00;85,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;4,00;89,00;89,00;89,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
