"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_plc_1";"verf_plc_2";"verf_plc_6";"verf_plc_16";"verf_plc_30";"verf_plc_50";"verf_plc_100";"verf_plc_200";"verf_plc_400";"verf_plc_1000"
"01";97.91;96.88;91.34;86.39;84.12;81.81;68.01;67.97;52.32;31.58;97.47;96.32;89.66;81.02;74.21;64.75;20.79;20.78;1.77;1.77;1.77;1.77;1.77;1.77;1.77;1.77;1.77;1.77;63.91;63.91;63.91;63.91;63.91;63.90;63.90;63.81;51.18;29.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"02";99.97;99.95;99.54;98.44;96.97;95.66;89.11;88.89;87.37;87.28;99.90;99.87;99.26;95.58;87.45;75.47;18.10;18.08;4.44;4.44;4.44;4.44;4.44;4.44;4.44;4.44;4.44;4.44;87.43;87.43;87.43;87.42;87.42;87.42;87.42;87.37;87.30;87.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03";98.88;98.03;93.64;89.55;87.97;84.52;70.16;66.05;57.04;34.95;98.46;97.40;91.97;84.96;80.82;73.34;36.04;23.40;4.40;4.40;4.40;4.40;4.40;4.40;4.40;4.40;4.40;4.40;61.61;61.61;61.61;61.61;61.61;61.60;61.60;60.54;54.87;32.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"04";99.78;99.56;97.35;92.36;91.26;89.08;82.19;80.56;79.42;78.07;99.73;99.50;96.55;89.77;86.79;79.11;34.06;27.65;2.25;2.25;2.25;2.25;2.25;2.25;2.25;2.25;2.25;2.25;79.23;79.23;79.23;79.23;79.23;79.23;79.23;79.23;78.99;77.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05";99.49;99.06;95.56;90.11;87.60;84.92;71.95;71.59;67.07;12.15;99.26;98.73;93.85;82.84;75.37;65.68;25.68;24.83;2.09;2.09;2.09;2.09;2.09;2.09;2.09;2.09;2.09;2.09;65.58;65.58;65.58;65.58;65.58;65.57;65.57;65.56;65.44;10.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"06";98.60;97.90;94.59;90.31;87.56;85.04;70.49;67.64;59.45;12.23;98.13;97.27;92.86;85.41;78.64;70.32;39.16;32.51;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;59.04;59.04;59.04;59.04;59.04;59.04;59.04;59.04;59.03;11.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"07";95.02;93.35;86.33;79.38;76.20;73.34;60.93;58.07;41.95;10.10;93.68;91.59;82.79;71.30;64.14;57.55;27.53;23.55;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;54.08;54.08;54.08;54.08;54.08;54.08;54.08;52.00;41.74;9.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"08";99.08;98.61;95.54;90.70;87.85;83.99;69.26;69.06;63.93;4.33;98.03;97.22;92.20;82.03;74.75;64.45;24.25;24.04;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;63.54;63.54;63.54;63.54;63.54;63.51;63.51;63.51;63.45;3.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"09";98.89;98.23;95.18;90.95;88.09;83.77;65.97;65.00;52.87;45.25;98.43;97.64;93.63;85.53;78.91;67.66;31.90;31.30;1.96;1.96;1.96;1.96;1.96;1.96;1.96;1.96;1.96;1.96;58.33;58.33;58.33;58.33;58.10;58.10;58.10;57.33;52.43;44.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"10";99.62;99.31;98.21;95.84;93.33;90.19;74.09;66.58;59.23;44.99;98.42;97.60;94.12;83.75;77.68;68.77;30.19;20.82;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;62.91;62.91;62.91;62.91;62.91;62.91;62.91;61.49;59.22;44.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"11";99.93;99.91;99.49;98.58;97.35;96.00;91.04;91.03;85.23;56.98;99.73;99.70;98.75;94.89;88.71;74.47;35.41;35.24;0.93;0.93;0.93;0.93;0.93;0.93;0.93;0.93;0.93;0.93;90.16;90.16;90.16;90.16;90.16;90.13;90.13;90.12;85.08;56.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"12";98.16;97.31;91.90;83.76;79.94;74.55;44.45;43.88;30.06;2.74;97.62;96.61;89.72;78.30;72.66;64.26;15.24;15.09;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;1.49;39.22;39.22;39.22;39.22;39.19;39.18;39.18;38.67;29.50;1.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"13";96.57;95.68;89.30;76.39;73.07;69.05;51.70;48.51;31.54;9.54;96.30;95.38;88.27;70.02;64.01;55.42;19.26;19.26;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;45.40;45.40;45.40;45.40;45.36;45.36;45.36;42.12;30.78;8.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"14";97.02;96.24;91.09;81.44;78.81;75.77;57.16;54.46;43.39;30.69;96.29;95.43;88.74;73.53;69.11;63.52;30.19;25.75;4.54;4.54;4.54;4.54;4.54;4.54;4.54;4.54;4.54;4.54;46.53;46.53;46.53;46.53;46.49;46.42;46.41;46.21;41.67;28.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"15";97.46;96.55;90.43;77.95;75.30;71.00;50.57;48.41;26.17;1.90;96.41;95.23;85.92;66.13;61.69;54.66;16.00;14.34;1.79;1.79;1.79;1.79;1.79;1.79;1.79;1.79;1.79;1.79;41.17;41.17;41.17;41.17;41.17;41.17;41.17;40.45;24.62;0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"16";97.80;97.14;93.75;86.76;84.52;81.91;56.66;47.89;33.36;13.49;97.34;96.65;92.61;83.29;79.82;75.82;31.91;19.28;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;40.14;40.14;40.14;40.14;40.14;40.01;40.01;38.62;32.85;12.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
