"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000"
"01";97.89;96.86;91.29;86.33;84.05;81.75;67.93;67.89;52.19;31.35;97.45;96.29;89.62;80.95;74.14;64.71;20.75;20.75;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;1.73;63.86;63.86;63.86;63.86;63.86;63.85;63.85;63.76;51.08;29.80
"02";99.97;99.95;99.54;98.44;96.97;95.66;89.11;88.89;87.37;87.28;99.90;99.87;99.26;95.58;87.45;75.47;18.10;18.08;4.44;4.44;4.44;4.44;4.44;4.44;4.44;4.44;4.44;4.44;87.43;87.43;87.43;87.42;87.42;87.42;87.42;87.37;87.30;87.27
"03";98.88;98.03;93.65;89.56;87.98;84.53;70.18;66.08;57.06;34.92;98.46;97.41;91.98;84.97;80.82;73.35;36.04;23.40;4.40;4.40;4.40;4.40;4.40;4.40;4.40;4.40;4.40;4.40;61.64;61.64;61.64;61.64;61.64;61.64;61.64;60.59;54.90;32.15
"04";99.78;99.56;97.35;92.34;91.24;89.07;82.17;80.55;79.41;78.05;99.73;99.50;96.55;89.76;86.77;79.10;34.02;27.68;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;79.22;79.22;79.22;79.22;79.22;79.22;79.22;79.22;78.98;77.62
"05";99.49;99.06;95.56;90.11;87.60;84.93;71.98;71.62;67.10;12.21;99.26;98.73;93.85;82.82;75.35;65.65;25.70;24.84;2.09;2.09;2.09;2.09;2.09;2.09;2.09;2.09;2.09;2.09;65.61;65.61;65.61;65.61;65.61;65.61;65.61;65.59;65.47;10.13
"06";98.61;97.91;94.62;90.36;87.61;85.10;70.64;67.78;59.62;12.26;98.14;97.29;92.90;85.46;78.67;70.33;39.20;32.54;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;59.22;59.22;59.22;59.22;59.22;59.21;59.21;59.21;59.21;11.52
"07";94.91;93.23;86.15;79.19;76.01;73.15;60.71;57.87;41.81;10.12;93.58;91.48;82.63;71.17;64.01;57.44;27.48;23.48;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;0.20;53.87;53.87;53.87;53.87;53.87;53.87;53.87;51.81;41.62;9.91
"08";99.09;98.62;95.55;90.71;87.87;84.01;69.33;69.13;64.01;4.36;98.04;97.23;92.21;82.04;74.76;64.44;24.30;24.10;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;63.62;63.62;63.62;63.62;63.62;63.59;63.59;63.59;63.53;3.58
"09";98.90;98.24;95.20;90.97;88.11;83.81;66.06;65.10;52.98;45.32;98.44;97.65;93.65;85.56;78.93;67.69;31.94;31.34;1.98;1.98;1.98;1.98;1.98;1.98;1.98;1.98;1.98;1.98;58.43;58.43;58.43;58.43;58.20;58.20;58.20;57.43;52.53;44.84
"10";99.63;99.32;98.23;95.86;93.34;90.21;74.19;66.64;59.31;45.17;98.44;97.64;94.20;83.89;77.80;68.84;30.37;20.93;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;62.95;62.95;62.95;62.95;62.95;62.95;62.95;61.57;59.30;45.16
"11";99.93;99.91;99.49;98.58;97.35;96.00;91.04;91.03;85.23;56.98;99.73;99.70;98.75;94.89;88.71;74.47;35.41;35.24;0.93;0.93;0.93;0.93;0.93;0.93;0.93;0.93;0.93;0.93;90.16;90.16;90.16;90.16;90.16;90.13;90.13;90.12;85.08;56.92
"12";98.15;97.30;91.89;83.77;79.93;74.51;44.39;43.82;30.13;2.74;97.62;96.61;89.73;78.35;72.70;64.27;15.27;15.11;1.50;1.50;1.50;1.50;1.50;1.50;1.50;1.50;1.50;1.50;39.16;39.16;39.16;39.16;39.13;39.11;39.11;38.60;29.57;1.25
"13";96.56;95.66;89.19;76.31;72.96;68.88;51.44;48.29;31.53;9.55;96.29;95.36;88.17;70.01;63.99;55.35;19.23;19.22;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;0.79;45.16;45.16;45.16;45.16;45.13;45.12;45.12;41.93;30.77;8.76
"14";97.04;96.27;91.16;81.60;78.99;75.97;57.49;54.80;43.75;31.08;96.31;95.45;88.81;73.68;69.27;63.69;30.43;25.98;4.56;4.56;4.56;4.56;4.56;4.56;4.56;4.56;4.56;4.56;46.85;46.85;46.85;46.85;46.81;46.74;46.72;46.54;42.02;29.11
