"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_1000";"ags"
98.52;98.04;95.96;93.71;92.50;91.59;83.29;77.98;65.03;51.68;96.62;95.86;90.74;85.08;83.33;80.46;70.86;51.89;66.08;66.08;66.08;66.08;66.08;66.08;66.08;66.08;58.79;43.80;11.21;"01"
99.85;99.81;99.65;99.25;98.84;98.60;96.82;94.94;93.34;93.33;99.71;99.68;99.28;97.54;95.03;89.56;82.70;49.27;92.51;92.51;92.51;92.51;92.51;92.51;92.51;92.51;92.50;92.49;2.31;"02"
98.52;98.15;96.24;93.88;91.50;88.27;78.05;71.84;62.15;43.91;97.23;96.52;92.56;87.58;83.85;78.83;62.29;44.25;63.38;63.38;63.38;63.38;63.38;63.38;63.38;62.78;58.75;38.67;9.26;"03"
99.78;99.51;98.40;95.31;91.18;90.83;88.18;86.48;85.10;85.10;99.41;99.22;96.19;87.77;86.09;78.03;69.77;54.72;84.33;84.33;84.33;84.33;84.33;84.33;84.33;84.33;84.33;84.33;15.71;"04"
99.46;99.25;98.19;96.19;94.47;93.52;85.40;79.77;71.25;41.01;98.83;98.52;96.09;92.04;90.36;87.77;73.55;56.67;70.04;70.04;70.04;70.04;70.04;70.04;70.04;70.04;69.65;38.38;3.99;"05"
98.89;98.62;97.44;95.87;94.80;93.53;86.16;79.07;66.62;21.78;97.88;97.37;94.88;91.70;89.77;86.51;75.27;59.76;65.47;65.47;65.47;65.47;65.47;65.47;65.47;65.47;65.47;18.50;4.43;"06"
98.32;97.87;96.01;93.48;91.93;89.58;74.96;67.13;48.21;30.78;94.93;93.62;87.62;82.08;79.67;77.72;65.81;49.86;56.43;56.43;56.43;56.43;56.43;56.43;56.43;55.59;47.50;29.30;3.38;"07"
99.14;98.85;97.49;95.30;93.82;92.09;85.45;78.57;69.44;7.06;97.85;97.26;93.68;88.57;86.21;80.82;71.90;53.69;67.75;67.75;67.75;67.75;67.75;67.75;67.75;67.75;67.75;3.11;4.73;"08"
99.37;99.24;98.64;97.27;96.09;94.40;87.35;75.97;61.99;55.03;98.14;97.74;95.62;91.66;90.26;87.44;78.82;59.24;63.36;63.36;63.36;63.36;63.36;63.34;63.34;62.92;58.80;51.54;13.40;"09"
99.37;99.09;98.01;95.95;91.85;89.00;80.95;76.61;64.69;50.96;96.51;94.85;87.06;79.02;78.31;77.37;72.05;57.96;68.24;68.24;68.24;68.24;68.24;68.24;68.24;67.89;64.28;50.55;0.84;"10"
99.89;99.88;99.78;99.49;99.05;98.86;97.69;96.31;87.00;77.22;99.80;99.79;99.45;98.13;97.54;96.17;90.50;74.74;94.42;94.42;94.42;94.42;94.42;94.42;94.42;94.42;86.26;76.24;6.75;"11"
98.15;97.89;96.82;94.04;92.06;89.82;74.62;57.53;30.49;12.28;96.97;96.57;94.21;90.01;88.23;85.33;69.76;44.72;37.50;37.50;37.50;37.50;37.50;37.50;37.50;36.94;29.56;10.48;2.60;"12"
96.32;95.66;91.26;81.66;78.51;76.74;65.80;56.21;35.97;19.04;95.33;94.69;89.19;73.03;71.04;68.94;58.39;43.03;43.85;43.85;43.85;43.85;43.84;43.84;43.84;41.92;34.08;16.86;2.38;"13"
97.08;96.53;94.25;88.86;86.18;84.84;75.81;60.66;40.32;34.92;95.97;95.42;91.48;82.65;81.02;79.57;69.77;49.42;42.67;42.67;42.67;42.67;42.66;42.66;42.63;40.79;36.93;30.09;7.98;"14"
96.85;96.19;92.99;84.91;81.98;79.45;69.56;53.98;21.94;8.54;95.69;94.99;90.49;79.29;77.70;75.32;64.78;43.03;32.21;32.21;32.21;32.21;32.21;32.21;32.21;31.90;16.18;1.49;7.05;"15"
98.16;97.78;96.13;92.32;90.44;87.97;77.06;60.43;35.11;18.71;96.52;95.81;92.62;87.12;85.39;83.97;73.31;48.42;39.84;39.84;39.84;39.84;39.84;39.84;39.84;38.84;33.73;16.62;2.29;"16"
