"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000"
"01";99.36;98.97;98.60;97.16;97.12;96.86;93.72;93.39;88.03;82.67;74.11;69.96;98.56;97.56;96.17;92.99;92.81;91.37;84.91;84.04;77.12;60.26;66.14;66.14;66.14;66.14;66.14;66.14;66.14;66.14;66.14;66.14;62.74;57.47;24.30;24.29;24.29;24.29
"02";99.99;99.98;99.96;99.95;99.95;99.92;99.72;99.66;99.26;98.25;97.59;97.58;99.96;99.95;99.84;99.74;99.63;98.98;97.37;94.98;90.92;72.98;93.33;93.33;93.33;93.33;93.33;93.33;93.33;93.33;93.33;93.33;93.33;93.32;82.08;82.03;82.02;82.02
"03";99.53;99.30;99.04;98.16;98.13;97.86;94.41;92.04;83.57;77.21;69.27;63.56;99.15;98.65;97.89;96.16;96.04;94.97;88.11;83.94;68.42;50.36;63.68;63.68;63.68;63.68;63.68;63.68;63.68;63.68;63.68;63.43;62.16;55.59;16.56;16.56;16.55;16.39
"04";99.83;99.68;99.51;99.37;99.36;99.24;98.09;98.04;97.23;96.07;94.64;94.64;99.73;99.63;99.25;98.95;98.84;98.11;94.52;93.66;88.33;75.13;85.18;85.18;85.18;85.18;85.18;85.18;85.18;85.18;85.18;85.18;85.18;85.18;37.48;37.48;37.48;37.48
"05";99.80;99.70;99.52;99.09;99.07;98.87;96.58;96.24;92.70;85.34;76.15;59.59;99.63;99.42;98.83;98.04;97.95;97.25;93.64;92.87;87.46;69.15;70.13;70.13;70.13;70.13;70.13;70.13;70.13;70.13;70.13;70.13;69.92;51.78;18.50;12.57;12.45;12.32
"06";99.69;99.60;99.48;99.23;99.21;99.10;97.94;97.27;90.99;83.06;68.52;51.12;99.40;99.19;98.73;98.19;98.13;97.66;95.55;94.70;84.77;69.71;64.89;64.89;64.89;64.89;64.89;64.89;64.89;64.89;64.89;64.89;64.89;45.60;10.82;10.82;10.81;10.81
"07";99.60;99.49;99.22;98.90;98.87;98.72;97.00;95.48;85.29;76.05;61.28;54.18;99.03;98.65;97.78;96.92;96.82;96.08;92.30;89.76;76.86;58.67;56.65;56.65;56.65;56.65;56.65;56.65;56.65;56.65;56.65;56.32;53.66;46.03;12.88;12.88;12.88;12.88
"08";99.68;99.50;99.29;98.69;98.65;98.46;95.98;95.39;90.09;83.33;72.35;54.73;99.16;98.79;97.69;96.72;96.58;95.18;90.95;89.54;81.84;66.74;67.93;67.93;67.93;67.93;67.93;67.93;67.93;67.93;67.93;67.93;67.88;49.08;10.57;10.53;10.42;10.08
"09";99.83;99.79;99.71;99.54;99.53;99.44;97.92;97.07;92.46;81.55;67.62;65.06;99.56;99.40;99.03;98.55;98.46;97.72;93.99;92.55;86.23;68.86;64.26;64.26;64.26;64.26;64.26;64.26;64.21;64.18;64.18;63.77;62.26;59.39;19.08;18.08;17.92;17.56
"10";99.76;99.71;99.54;99.45;99.43;99.28;98.30;97.04;89.70;79.44;70.08;65.06;99.41;99.26;98.34;98.08;97.99;97.23;95.70;94.10;83.59;62.30;68.59;68.59;68.59;68.59;68.59;68.59;68.59;68.59;68.59;68.50;67.69;62.34;5.83;5.83;5.73;5.73
"11";99.98;99.97;99.95;99.92;99.91;99.89;99.46;99.39;98.84;97.60;94.09;91.76;99.95;99.94;99.79;99.74;99.69;99.26;98.22;97.69;94.45;84.02;95.14;95.14;95.14;95.14;95.14;95.14;95.14;95.14;95.14;95.13;92.95;90.55;10.62;10.62;10.62;10.62
"12";99.38;99.25;99.00;98.61;98.58;98.39;95.59;94.99;88.15;69.15;39.75;28.83;99.17;98.99;98.53;98.00;97.94;97.53;93.68;92.83;85.18;59.24;38.87;38.87;38.87;38.87;38.87;38.87;38.87;38.87;38.87;37.95;35.03;23.60;8.32;8.30;8.29;7.15
"13";98.69;98.09;97.49;94.90;94.76;94.08;83.60;82.92;76.75;65.40;47.40;41.67;98.36;97.62;96.81;93.66;93.37;91.19;76.71;75.88;69.32;52.79;44.98;44.98;44.98;44.98;44.98;44.98;44.96;44.96;44.96;42.26;38.72;32.63;10.93;10.93;10.81;10.81
"14";99.34;99.05;98.79;97.98;97.94;97.68;94.39;93.90;89.43;75.53;55.35;50.78;99.12;98.75;98.11;96.88;96.78;96.19;90.55;89.96;83.94;64.10;46.12;46.12;46.12;46.12;46.12;46.12;46.12;46.00;45.42;43.52;41.60;34.78;22.72;22.72;22.71;22.56
"15";99.43;99.20;98.97;97.96;97.90;97.51;93.78;93.12;88.72;71.32;40.09;32.44;99.31;99.04;98.65;97.43;97.32;96.60;91.60;90.93;85.39;61.98;32.75;32.75;32.75;32.75;32.75;32.75;32.75;32.75;32.75;32.55;26.22;16.44;17.40;17.40;17.36;17.35
"16";99.44;99.20;98.90;98.20;98.17;97.95;94.48;93.10;85.40;68.69;43.35;34.80;99.00;98.62;97.93;96.71;96.61;95.94;90.59;90.08;82.22;58.46;41.14;41.14;41.14;41.14;41.14;41.14;41.14;41.13;41.13;40.74;39.01;29.84;6.01;6.01;6.01;5.88
