"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_1000"
"15";95.91;95.11;91.47;81.51;75.49;71.52;55.91;40.53;19.79;11.97;93.36;92.46;86.99;73.69;70.82;67.07;51.05;30.04;19.74;19.74;19.74;19.74;19.74;19.74;19.74;19.39;9.07;0.43;11.54
"13";96.81;95.83;91.00;80.48;75.86;73.32;55.48;42.93;20.37;10.43;95.31;94.66;87.86;70.68;67.92;64.84;48.28;32.09;25.76;25.76;25.76;25.76;25.74;25.74;25.74;23.50;17.65;7.51;3.04
"12";97.12;96.83;95.10;90.79;86.26;82.04;59.38;41.85;20.51;6.50;94.19;93.87;89.82;83.05;79.58;74.30;53.90;30.15;24.68;24.68;24.68;24.68;24.68;24.68;24.68;24.28;18.52;3.60;3.21
"14";97.23;96.47;93.02;85.71;81.28;79.38;66.48;50.21;33.14;30.50;95.31;94.54;87.82;77.40;74.84;72.68;58.45;35.70;30.40;30.40;30.40;30.40;30.39;30.39;30.38;29.34;26.50;23.17;10.59
"16";97.83;97.43;94.96;89.13;85.02;79.34;59.99;42.32;20.57;11.43;95.93;95.34;90.57;82.89;78.79;75.23;55.12;31.10;23.33;23.33;23.33;23.33;23.33;23.33;23.33;22.33;18.06;8.30;3.24
"07";98.73;98.34;95.36;89.57;85.74;82.62;64.05;50.22;29.90;15.73;97.27;96.53;90.71;82.75;78.65;75.72;56.63;34.95;34.58;34.58;34.58;34.58;34.58;34.58;34.58;33.78;27.13;12.26;4.18
"03";98.86;98.31;96.44;92.94;88.26;82.80;66.92;58.61;47.23;34.77;97.63;96.98;93.10;86.41;79.13;72.20;50.75;33.54;43.20;43.20;43.20;43.20;43.20;43.20;43.20;42.72;39.71;26.19;11.76
"10";99.36;99.12;97.25;93.23;86.48;82.36;71.48;63.58;53.03;44.00;96.71;95.33;88.02;78.18;76.28;73.79;62.23;44.11;53.52;53.52;53.52;53.52;53.52;53.52;53.52;53.23;51.40;42.37;2.50
"04";99.38;98.16;92.87;83.59;73.09;71.63;63.39;59.48;53.86;53.86;98.24;97.37;87.67;68.70;66.25;60.83;45.96;33.85;50.14;50.14;50.14;50.14;50.14;50.14;50.14;50.14;50.14;50.14;9.35
"09";99.49;99.35;98.52;95.86;93.54;91.09;79.75;67.54;51.79;45.98;98.26;97.95;95.01;87.99;85.75;82.43;68.62;48.59;48.83;48.83;48.83;48.83;48.83;48.82;48.82;48.29;44.63;38.36;14.17
"08";99.51;99.18;97.61;94.16;90.75;87.77;75.57;62.59;49.65;8.43;98.25;97.68;93.16;86.32;82.99;77.56;62.07;38.30;45.10;45.10;45.10;45.10;45.10;45.10;45.10;45.10;45.10;1.55;7.21
"06";99.51;99.36;98.32;96.31;93.83;92.13;78.96;67.99;51.58;22.80;98.97;98.63;96.49;91.45;87.54;84.57;66.74;46.64;47.31;47.31;47.31;47.31;47.31;47.31;47.31;47.31;47.31;15.67;8.53
"01";99.63;99.53;98.57;96.52;93.94;92.51;76.42;66.93;49.61;41.58;98.28;97.70;91.94;85.73;82.42;79.33;61.75;39.09;50.13;50.13;50.13;50.13;50.13;50.13;50.13;50.13;41.18;31.64;12.93
"05";99.64;99.42;98.11;94.93;91.64;89.63;71.95;60.54;47.26;23.83;98.96;98.66;95.41;89.38;87.00;83.99;61.20;40.11;43.04;43.04;43.04;43.04;43.04;43.04;43.04;43.04;42.50;18.04;6.78
"02";99.87;99.72;99.27;98.00;96.70;96.07;89.47;82.24;76.24;76.24;99.62;99.53;97.99;93.45;89.38;85.46;75.69;45.46;72.36;72.36;72.36;72.36;72.36;72.36;72.36;72.36;72.02;72.02;7.03
"11";99.93;99.85;99.36;97.95;95.82;94.96;89.50;83.33;71.61;56.24;99.56;99.52;98.22;94.39;92.67;89.99;75.61;49.65;76.08;76.08;76.08;76.08;76.08;76.08;76.08;76.08;70.80;54.56;4.68
