"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000"
"01";99.68;99.58;98.91;98.71;98.51;97.10;94.65;93.43;83.86;75.48;63.09;57.41;98.34;97.75;92.19;91.77;91.07;86.35;82.94;80.12;63.98;42.01;50.49;50.49;50.49;50.49;50.49;50.49;50.49;50.49;50.49;50.49;43.29;35.15;29.41;29.41;29.41;29.41
"02";99.89;99.73;99.42;99.24;99.19;98.49;97.96;97.65;95.70;93.43;90.89;90.89;99.69;99.59;98.15;97.53;97.22;94.03;90.08;87.56;79.55;57.13;74.39;74.39;74.39;74.39;74.39;74.39;74.39;74.39;74.39;74.39;74.13;74.13;79.35;79.32;79.32;79.32
"03";99.00;98.57;97.15;96.94;96.62;94.74;90.71;85.92;71.78;63.78;52.44;42.14;97.97;97.45;94.30;93.98;93.31;89.31;81.92;74.93;53.42;36.23;43.69;43.69;43.69;43.69;43.69;43.69;43.69;43.69;43.69;43.39;40.81;29.08;16.80;16.80;16.80;16.80
"04";99.29;98.22;93.40;92.66;92.47;89.56;85.67;84.84;81.81;77.23;74.90;74.90;98.31;97.52;88.88;86.57;85.08;72.21;69.73;65.62;53.16;38.90;52.43;52.43;52.43;52.43;52.43;52.43;52.43;52.43;52.43;52.43;52.43;52.43;39.15;39.15;39.15;39.15
"05";99.66;99.53;98.55;98.26;98.03;96.27;93.83;92.33;77.19;67.10;53.37;36.21;99.12;98.89;96.16;95.83;95.20;91.32;89.15;86.58;65.91;47.19;43.38;43.38;43.38;43.38;43.38;43.38;43.38;43.38;43.38;43.38;42.85;24.32;15.37;15.04;14.77;14.48
"06";99.62;99.53;98.90;98.70;98.57;97.54;95.53;94.04;82.50;71.80;55.49;38.79;99.24;99.06;97.77;97.46;97.13;94.53;90.92;88.04;70.14;49.97;48.63;48.63;48.63;48.63;48.63;48.63;48.63;48.63;48.63;48.63;48.63;29.43;13.06;13.06;13.06;13.06
"07";99.05;98.84;97.19;96.73;96.42;93.75;91.42;88.29;73.59;60.92;42.11;32.68;98.03;97.68;93.53;93.18;92.36;87.73;84.71;80.07;60.63;38.41;34.67;34.67;34.67;34.67;34.67;34.67;34.67;34.67;34.67;34.21;28.45;17.95;16.97;16.97;16.86;16.86
"08";99.54;99.32;97.99;97.71;97.37;95.14;92.36;89.79;79.41;67.74;53.63;34.59;98.60;98.19;94.47;94.09;93.29;88.39;85.35;81.00;65.87;43.47;45.78;45.78;45.78;45.78;45.78;45.78;45.78;45.78;45.78;45.78;45.75;25.37;12.80;12.70;12.45;11.78
"09";99.60;99.50;98.95;98.69;98.49;96.97;95.33;93.21;84.08;71.70;55.29;50.37;98.79;98.56;96.50;95.86;94.95;90.32;88.28;85.03;72.89;53.14;49.58;49.58;49.58;49.58;49.58;49.58;49.55;49.55;49.55;49.18;45.59;39.58;20.62;18.85;18.21;18.19
"10";99.41;99.30;98.47;98.33;98.09;97.08;94.42;90.35;79.22;66.21;55.02;46.20;98.61;98.39;95.54;95.32;94.97;92.88;90.14;85.49;70.24;45.32;54.42;54.42;54.42;54.42;54.42;54.42;54.42;54.42;54.42;54.27;52.42;43.58;7.38;7.38;3.88;3.88
