"AGS";"Technologie";"Flaechenart";"Flaechen Gruppe";"Flaechen Gruppe Name";"Verfügbarkeit"
"01";"5G2";Autobahn;30;Infrastruktur;90.86
"01";"5G2";Bahnstrecken;30;Infrastruktur;80.17
"01";"5G2";Bundesstraßen;30;Infrastruktur;71.78
"01";"5G2";Gewässer;20;Gemeindefläche;58.28
"01";"5G2";Gewerbliche Nutzfläche;20;Gemeindefläche;86.05
"01";"5G2";Kreisstraßen;30;Infrastruktur;60.15
"01";"5G2";Landstraßen;30;Infrastruktur;59.16
"01";"5G2";Landwirtschaftliche Flächen;20;Gemeindefläche;55.35
"01";"5G2";Wald-, Wiesenflächen;20;Gemeindefläche;36.61
"01";"5G2";Wasserstraßen;30;Infrastruktur;54.71
"01";"5G2";Wohnbaufläche;20;Gemeindefläche;71.37
"01";LTE10;Autobahn;30;Infrastruktur;100.00
"01";LTE10;Bahnstrecken;30;Infrastruktur;100.00
"01";LTE10;Bundesstraßen;30;Infrastruktur;99.97
"01";LTE10;Gewässer;20;Gemeindefläche;99.95
"01";LTE10;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"01";LTE10;Kreisstraßen;30;Infrastruktur;99.98
"01";LTE10;Landstraßen;30;Infrastruktur;99.92
"01";LTE10;Landwirtschaftliche Flächen;20;Gemeindefläche;99.95
"01";LTE10;Wald-, Wiesenflächen;20;Gemeindefläche;99.87
"01";LTE10;Wasserstraßen;30;Infrastruktur;100.00
"01";LTE10;Wohnbaufläche;20;Gemeindefläche;99.99
"01";LTE2;Autobahn;30;Infrastruktur;100.00
"01";LTE2;Bahnstrecken;30;Infrastruktur;100.00
"01";LTE2;Bundesstraßen;30;Infrastruktur;100.00
"01";LTE2;Gewässer;20;Gemeindefläche;100.00
"01";LTE2;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"01";LTE2;Kreisstraßen;30;Infrastruktur;100.00
"01";LTE2;Landstraßen;30;Infrastruktur;100.00
"01";LTE2;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"01";LTE2;Wald-, Wiesenflächen;20;Gemeindefläche;99.99
"01";LTE2;Wasserstraßen;30;Infrastruktur;100.00
"01";LTE2;Wohnbaufläche;20;Gemeindefläche;100.00
"01";LTE6;Autobahn;30;Infrastruktur;100.00
"01";LTE6;Bahnstrecken;30;Infrastruktur;100.00
"01";LTE6;Bundesstraßen;30;Infrastruktur;100.00
"01";LTE6;Gewässer;20;Gemeindefläche;100.00
"01";LTE6;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"01";LTE6;Kreisstraßen;30;Infrastruktur;99.99
"01";LTE6;Landstraßen;30;Infrastruktur;99.99
"01";LTE6;Landwirtschaftliche Flächen;20;Gemeindefläche;99.99
"01";LTE6;Wald-, Wiesenflächen;20;Gemeindefläche;99.92
"01";LTE6;Wasserstraßen;30;Infrastruktur;100.00
"01";LTE6;Wohnbaufläche;20;Gemeindefläche;100.00
"01";Mobil Alle;Autobahn;30;Infrastruktur;100.00
"01";Mobil Alle;Bahnstrecken;30;Infrastruktur;100.00
"01";Mobil Alle;Bundesstraßen;30;Infrastruktur;100.00
"01";Mobil Alle;Gewässer;20;Gemeindefläche;100.00
"01";Mobil Alle;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"01";Mobil Alle;Kreisstraßen;30;Infrastruktur;100.00
"01";Mobil Alle;Landstraßen;30;Infrastruktur;100.00
"01";Mobil Alle;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"01";Mobil Alle;Wald-, Wiesenflächen;20;Gemeindefläche;99.99
"01";Mobil Alle;Wasserstraßen;30;Infrastruktur;100.00
"01";Mobil Alle;Wohnbaufläche;20;Gemeindefläche;100.00
"02";"5G2";Autobahn;30;Infrastruktur;99.23
"02";"5G2";Bahnstrecken;30;Infrastruktur;99.85
"02";"5G2";Bundesstraßen;30;Infrastruktur;99.07
"02";"5G2";Gewässer;20;Gemeindefläche;94.73
"02";"5G2";Gewerbliche Nutzfläche;20;Gemeindefläche;98.69
"02";"5G2";Kreisstraßen;30;Infrastruktur;90.92
"02";"5G2";Landstraßen;30;Infrastruktur;77.78
"02";"5G2";Landwirtschaftliche Flächen;20;Gemeindefläche;87.90
"02";"5G2";Wald-, Wiesenflächen;20;Gemeindefläche;74.53
"02";"5G2";Wasserstraßen;30;Infrastruktur;98.09
"02";"5G2";Wohnbaufläche;20;Gemeindefläche;97.06
"02";LTE10;Autobahn;30;Infrastruktur;100.00
"02";LTE10;Bahnstrecken;30;Infrastruktur;100.00
"02";LTE10;Bundesstraßen;30;Infrastruktur;100.00
"02";LTE10;Gewässer;20;Gemeindefläche;100.00
"02";LTE10;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"02";LTE10;Kreisstraßen;30;Infrastruktur;100.00
"02";LTE10;Landstraßen;30;Infrastruktur;100.00
"02";LTE10;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"02";LTE10;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"02";LTE10;Wasserstraßen;30;Infrastruktur;100.00
"02";LTE10;Wohnbaufläche;20;Gemeindefläche;100.00
"02";LTE2;Autobahn;30;Infrastruktur;100.00
"02";LTE2;Bahnstrecken;30;Infrastruktur;100.00
"02";LTE2;Bundesstraßen;30;Infrastruktur;100.00
"02";LTE2;Gewässer;20;Gemeindefläche;100.00
"02";LTE2;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"02";LTE2;Kreisstraßen;30;Infrastruktur;100.00
"02";LTE2;Landstraßen;30;Infrastruktur;100.00
"02";LTE2;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"02";LTE2;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"02";LTE2;Wasserstraßen;30;Infrastruktur;100.00
"02";LTE2;Wohnbaufläche;20;Gemeindefläche;100.00
"02";LTE6;Autobahn;30;Infrastruktur;100.00
"02";LTE6;Bahnstrecken;30;Infrastruktur;100.00
"02";LTE6;Bundesstraßen;30;Infrastruktur;100.00
"02";LTE6;Gewässer;20;Gemeindefläche;100.00
"02";LTE6;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"02";LTE6;Kreisstraßen;30;Infrastruktur;100.00
"02";LTE6;Landstraßen;30;Infrastruktur;100.00
"02";LTE6;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"02";LTE6;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"02";LTE6;Wasserstraßen;30;Infrastruktur;100.00
"02";LTE6;Wohnbaufläche;20;Gemeindefläche;100.00
"02";Mobil Alle;Autobahn;30;Infrastruktur;100.00
"02";Mobil Alle;Bahnstrecken;30;Infrastruktur;100.00
"02";Mobil Alle;Bundesstraßen;30;Infrastruktur;100.00
"02";Mobil Alle;Gewässer;20;Gemeindefläche;100.00
"02";Mobil Alle;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"02";Mobil Alle;Kreisstraßen;30;Infrastruktur;100.00
"02";Mobil Alle;Landstraßen;30;Infrastruktur;100.00
"02";Mobil Alle;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"02";Mobil Alle;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"02";Mobil Alle;Wasserstraßen;30;Infrastruktur;100.00
"02";Mobil Alle;Wohnbaufläche;20;Gemeindefläche;100.00
"03";"5G2";Autobahn;30;Infrastruktur;91.38
"03";"5G2";Bahnstrecken;30;Infrastruktur;81.97
"03";"5G2";Bundesstraßen;30;Infrastruktur;72.45
"03";"5G2";Gewässer;20;Gemeindefläche;68.25
"03";"5G2";Gewerbliche Nutzfläche;20;Gemeindefläche;84.46
"03";"5G2";Kreisstraßen;30;Infrastruktur;61.70
"03";"5G2";Landstraßen;30;Infrastruktur;64.86
"03";"5G2";Landwirtschaftliche Flächen;20;Gemeindefläche;62.71
"03";"5G2";Wald-, Wiesenflächen;20;Gemeindefläche;30.58
"03";"5G2";Wasserstraßen;30;Infrastruktur;76.36
"03";"5G2";Wohnbaufläche;20;Gemeindefläche;75.22
"03";LTE10;Autobahn;30;Infrastruktur;99.98
"03";LTE10;Bahnstrecken;30;Infrastruktur;99.99
"03";LTE10;Bundesstraßen;30;Infrastruktur;99.99
"03";LTE10;Gewässer;20;Gemeindefläche;99.88
"03";LTE10;Gewerbliche Nutzfläche;20;Gemeindefläche;99.90
"03";LTE10;Kreisstraßen;30;Infrastruktur;99.88
"03";LTE10;Landstraßen;30;Infrastruktur;99.81
"03";LTE10;Landwirtschaftliche Flächen;20;Gemeindefläche;99.84
"03";LTE10;Wald-, Wiesenflächen;20;Gemeindefläche;99.50
"03";LTE10;Wasserstraßen;30;Infrastruktur;99.97
"03";LTE10;Wohnbaufläche;20;Gemeindefläche;99.95
"03";LTE2;Autobahn;30;Infrastruktur;100.00
"03";LTE2;Bahnstrecken;30;Infrastruktur;100.00
"03";LTE2;Bundesstraßen;30;Infrastruktur;100.00
"03";LTE2;Gewässer;20;Gemeindefläche;99.97
"03";LTE2;Gewerbliche Nutzfläche;20;Gemeindefläche;99.99
"03";LTE2;Kreisstraßen;30;Infrastruktur;99.99
"03";LTE2;Landstraßen;30;Infrastruktur;99.87
"03";LTE2;Landwirtschaftliche Flächen;20;Gemeindefläche;99.98
"03";LTE2;Wald-, Wiesenflächen;20;Gemeindefläche;99.66
"03";LTE2;Wasserstraßen;30;Infrastruktur;100.00
"03";LTE2;Wohnbaufläche;20;Gemeindefläche;99.99
"03";LTE6;Autobahn;30;Infrastruktur;100.00
"03";LTE6;Bahnstrecken;30;Infrastruktur;100.00
"03";LTE6;Bundesstraßen;30;Infrastruktur;100.00
"03";LTE6;Gewässer;20;Gemeindefläche;99.96
"03";LTE6;Gewerbliche Nutzfläche;20;Gemeindefläche;99.98
"03";LTE6;Kreisstraßen;30;Infrastruktur;99.98
"03";LTE6;Landstraßen;30;Infrastruktur;99.85
"03";LTE6;Landwirtschaftliche Flächen;20;Gemeindefläche;99.97
"03";LTE6;Wald-, Wiesenflächen;20;Gemeindefläche;99.63
"03";LTE6;Wasserstraßen;30;Infrastruktur;99.99
"03";LTE6;Wohnbaufläche;20;Gemeindefläche;99.99
"03";Mobil Alle;Autobahn;30;Infrastruktur;100.00
"03";Mobil Alle;Bahnstrecken;30;Infrastruktur;100.00
"03";Mobil Alle;Bundesstraßen;30;Infrastruktur;100.00
"03";Mobil Alle;Gewässer;20;Gemeindefläche;99.97
"03";Mobil Alle;Gewerbliche Nutzfläche;20;Gemeindefläche;99.99
"03";Mobil Alle;Kreisstraßen;30;Infrastruktur;99.99
"03";Mobil Alle;Landstraßen;30;Infrastruktur;99.87
"03";Mobil Alle;Landwirtschaftliche Flächen;20;Gemeindefläche;99.98
"03";Mobil Alle;Wald-, Wiesenflächen;20;Gemeindefläche;99.66
"03";Mobil Alle;Wasserstraßen;30;Infrastruktur;100.00
"03";Mobil Alle;Wohnbaufläche;20;Gemeindefläche;99.99
"04";"5G2";Autobahn;30;Infrastruktur;97.83
"04";"5G2";Bahnstrecken;30;Infrastruktur;99.58
"04";"5G2";Bundesstraßen;30;Infrastruktur;99.27
"04";"5G2";Gewässer;20;Gemeindefläche;95.66
"04";"5G2";Gewerbliche Nutzfläche;20;Gemeindefläche;97.31
"04";"5G2";Kreisstraßen;30;Infrastruktur;99.67
"04";"5G2";Landstraßen;30;Infrastruktur;94.72
"04";"5G2";Landwirtschaftliche Flächen;20;Gemeindefläche;94.56
"04";"5G2";Wald-, Wiesenflächen;20;Gemeindefläche;84.41
"04";"5G2";Wasserstraßen;30;Infrastruktur;94.78
"04";"5G2";Wohnbaufläche;20;Gemeindefläche;97.61
"04";LTE10;Autobahn;30;Infrastruktur;100.00
"04";LTE10;Bahnstrecken;30;Infrastruktur;100.00
"04";LTE10;Bundesstraßen;30;Infrastruktur;100.00
"04";LTE10;Gewässer;20;Gemeindefläche;100.00
"04";LTE10;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"04";LTE10;Kreisstraßen;30;Infrastruktur;100.00
"04";LTE10;Landstraßen;30;Infrastruktur;100.00
"04";LTE10;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"04";LTE10;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"04";LTE10;Wasserstraßen;30;Infrastruktur;100.00
"04";LTE10;Wohnbaufläche;20;Gemeindefläche;100.00
"04";LTE2;Autobahn;30;Infrastruktur;100.00
"04";LTE2;Bahnstrecken;30;Infrastruktur;100.00
"04";LTE2;Bundesstraßen;30;Infrastruktur;100.00
"04";LTE2;Gewässer;20;Gemeindefläche;100.00
"04";LTE2;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"04";LTE2;Kreisstraßen;30;Infrastruktur;100.00
"04";LTE2;Landstraßen;30;Infrastruktur;100.00
"04";LTE2;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"04";LTE2;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"04";LTE2;Wasserstraßen;30;Infrastruktur;100.00
"04";LTE2;Wohnbaufläche;20;Gemeindefläche;100.00
"04";LTE6;Autobahn;30;Infrastruktur;100.00
"04";LTE6;Bahnstrecken;30;Infrastruktur;100.00
"04";LTE6;Bundesstraßen;30;Infrastruktur;100.00
"04";LTE6;Gewässer;20;Gemeindefläche;100.00
"04";LTE6;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"04";LTE6;Kreisstraßen;30;Infrastruktur;100.00
"04";LTE6;Landstraßen;30;Infrastruktur;100.00
"04";LTE6;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"04";LTE6;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"04";LTE6;Wasserstraßen;30;Infrastruktur;100.00
"04";LTE6;Wohnbaufläche;20;Gemeindefläche;100.00
"04";Mobil Alle;Autobahn;30;Infrastruktur;100.00
"04";Mobil Alle;Bahnstrecken;30;Infrastruktur;100.00
"04";Mobil Alle;Bundesstraßen;30;Infrastruktur;100.00
"04";Mobil Alle;Gewässer;20;Gemeindefläche;100.00
"04";Mobil Alle;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"04";Mobil Alle;Kreisstraßen;30;Infrastruktur;100.00
"04";Mobil Alle;Landstraßen;30;Infrastruktur;100.00
"04";Mobil Alle;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"04";Mobil Alle;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"04";Mobil Alle;Wasserstraßen;30;Infrastruktur;100.00
"04";Mobil Alle;Wohnbaufläche;20;Gemeindefläche;100.00
"05";"5G2";Autobahn;30;Infrastruktur;97.56
"05";"5G2";Bahnstrecken;30;Infrastruktur;90.15
"05";"5G2";Bundesstraßen;30;Infrastruktur;82.83
"05";"5G2";Gewässer;20;Gemeindefläche;77.66
"05";"5G2";Gewerbliche Nutzfläche;20;Gemeindefläche;90.22
"05";"5G2";Kreisstraßen;30;Infrastruktur;77.47
"05";"5G2";Landstraßen;30;Infrastruktur;80.17
"05";"5G2";Landwirtschaftliche Flächen;20;Gemeindefläche;75.03
"05";"5G2";Wald-, Wiesenflächen;20;Gemeindefläche;46.78
"05";"5G2";Wasserstraßen;30;Infrastruktur;89.78
"05";"5G2";Wohnbaufläche;20;Gemeindefläche;86.66
"05";LTE10;Autobahn;30;Infrastruktur;99.93
"05";LTE10;Bahnstrecken;30;Infrastruktur;99.91
"05";LTE10;Bundesstraßen;30;Infrastruktur;99.81
"05";LTE10;Gewässer;20;Gemeindefläche;99.75
"05";LTE10;Gewerbliche Nutzfläche;20;Gemeindefläche;99.97
"05";LTE10;Kreisstraßen;30;Infrastruktur;99.89
"05";LTE10;Landstraßen;30;Infrastruktur;99.89
"05";LTE10;Landwirtschaftliche Flächen;20;Gemeindefläche;99.81
"05";LTE10;Wald-, Wiesenflächen;20;Gemeindefläche;99.23
"05";LTE10;Wasserstraßen;30;Infrastruktur;99.77
"05";LTE10;Wohnbaufläche;20;Gemeindefläche;99.95
"05";LTE2;Autobahn;30;Infrastruktur;100.00
"05";LTE2;Bahnstrecken;30;Infrastruktur;99.94
"05";LTE2;Bundesstraßen;30;Infrastruktur;99.94
"05";LTE2;Gewässer;20;Gemeindefläche;99.92
"05";LTE2;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"05";LTE2;Kreisstraßen;30;Infrastruktur;99.95
"05";LTE2;Landstraßen;30;Infrastruktur;99.96
"05";LTE2;Landwirtschaftliche Flächen;20;Gemeindefläche;99.93
"05";LTE2;Wald-, Wiesenflächen;20;Gemeindefläche;99.52
"05";LTE2;Wasserstraßen;30;Infrastruktur;100.00
"05";LTE2;Wohnbaufläche;20;Gemeindefläche;99.99
"05";LTE6;Autobahn;30;Infrastruktur;100.00
"05";LTE6;Bahnstrecken;30;Infrastruktur;99.94
"05";LTE6;Bundesstraßen;30;Infrastruktur;99.93
"05";LTE6;Gewässer;20;Gemeindefläche;99.90
"05";LTE6;Gewerbliche Nutzfläche;20;Gemeindefläche;99.99
"05";LTE6;Kreisstraßen;30;Infrastruktur;99.94
"05";LTE6;Landstraßen;30;Infrastruktur;99.96
"05";LTE6;Landwirtschaftliche Flächen;20;Gemeindefläche;99.92
"05";LTE6;Wald-, Wiesenflächen;20;Gemeindefläche;99.48
"05";LTE6;Wasserstraßen;30;Infrastruktur;99.98
"05";LTE6;Wohnbaufläche;20;Gemeindefläche;99.98
"05";Mobil Alle;Autobahn;30;Infrastruktur;100.00
"05";Mobil Alle;Bahnstrecken;30;Infrastruktur;99.94
"05";Mobil Alle;Bundesstraßen;30;Infrastruktur;99.94
"05";Mobil Alle;Gewässer;20;Gemeindefläche;99.92
"05";Mobil Alle;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"05";Mobil Alle;Kreisstraßen;30;Infrastruktur;99.95
"05";Mobil Alle;Landstraßen;30;Infrastruktur;99.96
"05";Mobil Alle;Landwirtschaftliche Flächen;20;Gemeindefläche;99.93
"05";Mobil Alle;Wald-, Wiesenflächen;20;Gemeindefläche;99.52
"05";Mobil Alle;Wasserstraßen;30;Infrastruktur;100.00
"05";Mobil Alle;Wohnbaufläche;20;Gemeindefläche;99.99
"06";"5G2";Autobahn;30;Infrastruktur;96.06
"06";"5G2";Bahnstrecken;30;Infrastruktur;86.79
"06";"5G2";Bundesstraßen;30;Infrastruktur;78.27
"06";"5G2";Gewässer;20;Gemeindefläche;70.56
"06";"5G2";Gewerbliche Nutzfläche;20;Gemeindefläche;90.21
"06";"5G2";Kreisstraßen;30;Infrastruktur;64.95
"06";"5G2";Landstraßen;30;Infrastruktur;64.93
