"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_200_1";"verf_200_2";"verf_200_6";"verf_200_16";"verf_200_30";"verf_200_50";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_16";"verf_300_30";"verf_300_50";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_plc_1";"verf_plc_2";"verf_plc_6";"verf_plc_16";"verf_plc_30";"verf_plc_50";"verf_umts_1";"verf_umts_2";"verf_lte_1";"verf_lte_2";"verf_lte_6";"verf_wlan_1";"verf_wlan_2";"verf_wlan_6";"verf_wlan_16";"verf_wlan_30";"verf_wlan_50";"verf_wimax_1";"verf_wimax_2";"verf_wimax_6";"verf_wimax_16";"verf_wimax_30";"verf_wimax_50"
"01";96.37;95.46;93.15;89.92;87.76;85.27;97.57;97.41;94.65;11.92;3.87;3.87;99.00;99.00;98.75;90.59;87.76;85.53;95.25;93.67;89.14;83.13;71.77;64.64;20.52;20.52;20.52;20.00;20.52;20.52;67.26;67.26;67.26;67.26;67.26;67.26;0.00;0.00;0.00;0.00;0.00;0.00;89.06;42.58;97.32;97.32;94.23;11.92;11.92;11.92;11.92;3.87;3.87;0.47;0.47;0.47;0.00;0.00;0.00
"02";100.00;100.00;100.00;99.00;98.00;97.00;100.00;100.00;99.00;0.00;0.00;0.00;100.00;100.00;100.00;99.00;98.00;97.00;100.00;100.00;100.00;99.00;92.00;84.00;71.00;71.00;71.00;71.00;71.00;71.00;87.00;87.00;87.00;87.00;87.00;87.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;42.00;100.00;100.00;99.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03";96.30;96.07;93.50;89.87;85.82;80.62;97.81;97.50;95.40;0.49;0.23;0.23;98.96;98.96;98.68;90.06;85.82;80.62;96.21;95.64;92.79;87.37;77.90;67.22;4.75;4.75;4.75;4.00;4.75;4.75;63.36;63.36;63.36;63.36;63.36;63.36;0.45;0.06;0.00;0.00;0.00;0.00;88.36;44.11;97.07;97.07;95.00;4.14;4.14;2.91;0.49;0.23;0.23;6.63;6.63;5.42;0.00;0.00;0.00
"04";99.34;99.34;98.17;97.01;95.18;92.35;99.50;99.50;98.34;0.00;0.00;0.00;99.83;99.83;99.83;97.01;95.18;92.35;99.34;99.17;98.01;96.18;86.52;71.85;1.82;1.82;1.82;1.00;1.82;1.82;88.36;88.36;88.36;88.36;88.36;88.36;0.00;0.00;0.00;0.00;0.00;0.00;97.68;43.50;99.50;99.50;98.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05";98.19;97.89;96.90;93.83;90.41;87.31;98.85;98.34;96.29;2.06;1.03;0.47;99.62;99.29;99.19;93.91;90.43;87.34;98.12;97.60;95.75;91.04;81.01;73.18;7.74;7.74;7.74;7.00;7.74;7.74;69.74;69.74;69.74;69.74;69.74;69.74;0.00;0.00;0.00;0.00;0.00;0.00;96.98;45.63;98.10;98.10;96.07;1.42;1.42;1.37;1.29;0.78;0.47;0.98;0.98;0.85;0.63;0.26;0.00
"06";97.50;97.16;95.59;93.11;90.03;84.34;98.02;97.88;96.28;10.01;3.76;3.76;99.00;98.86;98.50;93.44;90.18;84.34;97.08;96.58;94.51;91.25;83.63;71.71;6.61;6.61;6.61;6.00;6.61;6.61;61.64;61.64;61.64;61.64;61.64;61.64;0.00;0.00;0.00;0.00;0.00;0.00;91.95;46.95;96.83;96.83;95.18;18.19;18.19;14.96;10.01;3.76;3.76;2.25;2.25;1.21;0.00;0.00;0.00
"07";96.73;96.16;93.98;89.40;86.30;80.25;96.51;95.51;93.59;4.28;0.95;0.00;99.00;98.87;98.30;90.18;86.52;80.38;95.25;94.03;89.02;80.06;70.50;59.56;1.87;1.87;1.87;1.00;1.87;1.87;58.59;58.59;58.59;58.59;58.59;57.97;0.00;0.00;0.00;0.00;0.00;0.00;87.08;46.13;95.16;95.16;92.73;5.02;4.58;4.45;3.67;0.65;0.00;0.61;0.31;0.31;0.31;0.31;0.00
"08";97.69;97.20;94.85;90.86;86.94;82.50;96.86;95.23;91.91;4.77;0.31;0.31;98.88;98.60;98.06;91.52;87.07;82.62;96.63;95.64;91.75;84.31;72.66;62.51;1.36;1.36;1.36;1.00;1.36;1.36;66.03;66.03;66.03;66.03;65.99;65.99;3.08;0.00;0.00;0.00;0.00;0.00;88.76;43.72;94.58;94.58;91.37;8.15;5.36;4.89;4.77;0.31;0.31;0.11;0.11;0.00;0.00;0.00;0.00
"09";97.90;97.77;96.34;93.59;89.95;83.08;97.17;96.83;93.92;12.48;7.43;3.46;99.00;99.00;98.90;94.45;90.77;83.59;97.61;96.96;95.10;88.63;78.08;63.99;10.44;10.44;10.44;10.00;10.44;10.44;61.32;61.32;61.32;61.27;61.01;60.88;0.10;0.00;0.00;0.00;0.00;0.00;86.82;44.35;96.04;96.04;92.99;12.50;12.31;12.28;11.02;6.01;2.04;3.14;3.14;3.14;1.55;1.48;1.48
"10";98.00;98.00;97.00;93.00;85.00;79.00;96.00;94.00;92.00;1.00;0.00;0.00;99.00;99.00;98.00;93.00;85.00;79.00;97.00;96.00;92.00;82.00;63.00;52.00;2.00;2.00;2.00;2.00;2.00;2.00;62.00;62.00;62.00;62.00;62.00;62.00;0.00;0.00;0.00;0.00;0.00;0.00;91.00;47.00;93.00;93.00;92.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
