"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_200_1";"verf_200_2";"verf_200_6";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_16";"verf_300_30";"verf_300_50";"verf_300_100";"verf_300_200";"verf_300_400";"verf_300_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_2g";"verf_umts_1";"verf_umts_2";"verf_lte_1";"verf_lte_2";"verf_lte_6"
"01";98.27;97.58;95.17;92.61;91.14;89.99;85.35;80.62;70.68;55.66;98.52;98.34;95.73;99.34;99.20;98.72;92.61;91.14;89.99;85.35;80.62;70.68;55.66;97.12;96.00;91.85;86.70;80.43;76.17;62.72;37.29;22.47;22.47;22.47;22.47;22.47;22.47;22.47;22.47;22.47;22.47;68.99;68.99;68.99;68.99;68.99;68.99;68.60;68.60;58.26;38.74;100.00;90.31;77.45;98.23;98.23;95.73
"02";100.00;100.00;100.00;99.33;98.68;97.93;96.23;94.66;94.17;94.16;100.00;100.00;99.48;100.00;100.00;100.00;99.33;98.68;97.93;96.23;94.66;94.17;94.16;100.00;100.00;100.00;99.00;94.22;88.39;78.98;34.12;71.00;71.00;71.00;71.00;71.00;71.00;71.00;71.00;71.00;71.00;89.21;89.21;89.21;89.21;89.21;89.21;89.21;89.21;89.20;89.18;100.00;99.82;96.56;100.00;100.00;99.48
"03";98.58;98.20;96.18;93.37;91.13;88.67;78.01;70.47;63.71;48.88;98.35;98.06;95.08;99.02;98.82;98.08;93.37;91.13;88.67;78.01;70.47;63.71;48.88;97.89;97.35;94.51;90.18;85.95;81.68;61.10;33.14;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;65.24;65.24;65.24;65.24;65.24;65.24;64.89;64.59;61.25;45.27;99.99;89.82;79.36;97.99;97.99;95.08
"04";100.00;100.00;100.00;99.00;98.47;98.03;96.76;95.49;94.73;94.73;100.00;100.00;99.18;100.00;100.00;100.00;99.00;98.47;98.03;96.76;95.49;94.73;94.73;100.00;100.00;99.18;97.34;91.97;87.80;75.14;47.75;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;94.65;94.65;94.65;94.65;94.65;94.65;94.65;94.65;94.65;94.65;100.00;99.90;94.84;100.00;100.00;99.18
"05";99.59;99.39;98.30;96.12;94.29;93.16;86.11;80.20;74.98;17.14;99.66;99.33;96.76;99.74;99.63;99.19;96.12;94.29;93.16;86.11;80.20;74.98;17.14;99.38;99.10;97.37;93.44;87.60;84.15;66.10;39.97;10.92;10.92;10.92;10.92;10.92;10.92;10.92;10.92;10.92;10.92;73.18;73.18;73.18;73.18;73.18;73.18;73.08;73.07;72.36;10.46;100.00;98.10;89.21;99.12;99.12;96.76
"06";98.86;98.49;97.13;95.28;93.47;91.34;83.36;74.74;66.04;20.16;98.27;97.92;96.38;99.16;98.98;98.55;95.28;93.47;91.34;83.36;74.74;66.04;20.16;98.46;97.99;96.24;93.68;88.79;83.57;67.92;45.10;8.51;8.51;8.51;8.51;8.51;8.51;8.51;8.51;8.51;8.51;64.71;64.71;64.71;64.71;64.71;64.71;64.34;64.34;64.34;11.84;99.96;93.57;84.77;97.80;97.80;96.38
"07";98.41;97.95;95.92;93.03;91.11;88.11;72.68;65.38;51.48;39.05;96.90;96.18;94.02;99.33;99.18;98.48;93.03;91.11;88.11;72.68;65.38;51.48;39.05;97.13;96.24;92.84;87.66;83.03;77.93;56.22;35.07;3.71;3.71;3.71;3.71;3.71;3.71;3.71;3.71;3.71;3.71;60.39;60.39;60.39;60.39;60.39;60.01;57.69;57.51;50.32;37.44;99.93;88.17;73.96;95.85;95.85;94.02
"08";99.11;98.76;97.20;94.57;92.25;90.01;83.10;76.53;70.20;7.38;97.20;96.40;93.77;99.32;99.09;98.32;94.57;92.25;90.01;83.10;76.53;70.20;7.38;98.46;97.76;95.09;90.23;82.11;75.67;61.40;38.46;4.16;4.16;4.16;4.16;4.16;4.16;4.16;4.16;4.16;4.16;69.44;69.44;69.44;69.44;69.44;69.43;69.33;69.33;69.30;4.27;99.96;90.06;71.42;96.21;96.21;93.77
"09";99.44;99.29;98.56;96.74;94.93;92.19;83.97;71.69;59.80;53.24;97.35;97.04;94.08;99.56;99.46;99.00;96.74;94.93;92.19;83.97;71.69;59.80;53.24;99.05;98.78;97.45;93.83;89.12;84.28;70.43;45.21;14.22;14.22;14.22;14.22;14.22;14.22;14.22;14.22;14.22;14.22;63.48;63.48;63.48;63.45;63.24;63.07;61.81;61.68;56.85;49.97;99.95;89.01;81.48;96.76;96.76;94.08
"10";99.88;99.82;99.48;98.52;97.08;94.88;82.91;72.13;62.43;48.87;97.47;96.47;93.97;99.88;99.82;99.52;98.52;97.08;94.88;82.91;72.13;62.43;48.87;99.33;98.99;97.64;93.92;91.52;88.67;68.76;38.21;2.61;2.61;2.61;2.61;2.61;2.61;2.61;2.61;2.61;2.61;65.35;65.35;65.35;65.35;65.35;65.35;65.24;65.14;61.59;47.55;99.93;91.96;77.61;95.99;95.99;93.97
"11";100.00;100.00;100.00;99.01;98.39;97.60;95.87;93.87;90.22;83.25;100.00;100.00;99.96;100.00;100.00;100.00;99.01;98.39;97.60;95.87;93.87;90.22;83.25;100.00;100.00;99.00;98.00;94.37;91.01;82.13;52.08;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;3.11;92.63;92.63;92.63;92.63;92.63;92.58;92.58;92.57;89.81;82.77;100.00;99.95;99.13;100.00;100.00;99.96
"12";98.42;98.02;96.38;92.53;89.03;85.61;67.22;51.02;32.34;16.41;96.65;96.17;93.09;98.97;98.80;98.10;92.53;89.03;85.61;67.22;51.02;32.34;16.41;98.19;97.70;95.75;90.23;85.25;80.64;58.01;30.92;5.80;5.80;5.80;5.80;5.80;5.80;5.80;5.80;5.80;5.80;45.15;45.15;45.15;45.14;44.82;44.80;39.29;38.71;30.26;12.51;99.99;84.53;72.78;95.75;95.75;93.09
"13";95.65;94.89;89.77;80.37;77.45;75.22;67.33;58.57;43.06;26.86;96.61;96.42;93.67;97.89;97.70;96.65;80.37;77.45;75.22;67.33;58.57;43.06;26.86;95.00;94.14;88.03;74.12;68.76;65.96;55.05;34.70;9.21;9.21;9.21;9.21;9.21;9.21;9.21;9.21;9.21;9.21;53.87;53.87;53.87;53.87;53.64;53.49;48.97;46.52;37.68;21.10;100.00;82.28;71.16;96.37;96.37;93.67
