"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_200_1";"verf_200_2";"verf_200_6";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_16";"verf_300_30";"verf_300_50";"verf_300_100";"verf_300_200";"verf_300_400";"verf_300_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_1000";"verf_2g";"verf_umts_1";"verf_lte_2";"verf_lte_6";"ags"
98.50;97.94;95.82;93.59;92.46;91.62;87.53;83.33;78.22;70.65;98.56;98.43;96.06;99.95;99.94;99.74;93.90;92.49;91.67;87.53;83.33;78.22;70.65;97.12;96.02;91.92;86.99;82.03;78.97;66.72;42.97;69.52;69.52;69.52;69.52;69.52;69.52;69.32;69.32;64.85;53.33;26.26;100.00;90.19;98.41;96.06;"01"
100.00;100.00;100.00;99.44;98.83;98.18;96.66;95.16;94.61;94.60;100.00;99.99;99.54;100.00;100.00;100.00;99.44;98.83;98.18;96.66;95.16;94.61;94.60;100.00;100.00;100.00;99.00;95.33;91.07;82.60;41.00;89.87;89.87;89.87;89.87;89.87;89.87;89.87;89.87;89.86;89.84;71.00;100.00;99.82;100.00;99.54;"02"
98.74;98.42;96.71;94.43;92.94;90.76;80.44;72.31;65.44;51.25;98.43;98.37;95.50;99.96;99.95;99.79;94.53;92.97;90.80;80.44;72.31;65.44;51.25;97.96;97.48;94.79;90.69;87.68;84.20;65.26;37.14;65.55;65.55;65.55;65.55;65.55;65.55;65.25;65.15;62.08;45.98;10.87;100.00;89.90;98.17;95.50;"03"
100.00;100.00;99.72;99.23;98.66;98.31;97.00;95.80;95.06;95.06;100.00;100.00;99.25;100.00;100.00;100.00;99.23;98.66;98.31;97.00;95.80;95.06;95.06;100.00;100.00;99.29;97.34;92.98;89.79;79.35;51.70;94.92;94.92;94.92;94.92;94.92;94.92;94.92;94.92;94.92;94.92;3.04;100.00;99.91;100.00;99.25;"04"
99.62;99.45;98.55;96.82;95.27;94.38;87.61;81.93;76.27;48.76;99.69;99.68;97.20;100.00;99.99;99.96;96.93;95.32;94.38;87.61;81.93;76.27;48.76;99.41;99.15;97.59;94.10;89.70;87.12;70.54;46.13;73.87;73.87;73.87;73.87;73.87;73.87;73.80;73.79;73.11;43.44;11.44;100.00;98.10;99.24;97.20;"05"
98.87;98.52;97.21;95.39;93.93;92.24;84.50;75.87;66.24;25.51;98.41;98.37;96.65;99.92;99.89;99.76;95.61;93.99;92.32;84.50;75.87;66.24;25.51;98.45;97.99;96.30;93.76;89.91;86.14;71.97;51.30;64.86;64.86;64.86;64.86;64.86;64.86;64.49;64.49;64.49;17.44;8.74;99.96;93.60;98.04;96.65;"06"
98.57;98.16;96.53;94.31;92.67;90.06;76.04;68.66;54.66;43.12;97.06;96.93;94.32;99.87;99.83;99.61;94.77;92.93;90.13;76.04;68.66;54.66;43.12;97.31;96.61;93.78;89.77;86.12;82.26;63.01;42.68;60.51;60.51;60.51;60.51;60.51;60.14;57.88;57.73;50.86;38.41;3.77;99.93;88.20;96.16;94.32;"07"
99.24;98.96;97.68;95.44;93.60;91.84;84.77;77.89;70.79;8.20;97.37;97.24;94.22;99.90;99.87;99.63;95.73;93.69;91.93;84.77;77.89;70.79;8.20;98.58;97.98;95.60;91.09;84.42;79.34;66.61;44.70;69.58;69.58;69.58;69.58;69.58;69.58;69.49;69.49;69.45;4.28;4.97;99.95;90.09;96.68;94.22;"08"
99.45;99.32;98.69;97.16;95.74;93.75;85.66;73.04;61.28;54.63;97.57;97.48;94.73;99.96;99.94;99.85;97.60;96.19;93.97;85.66;73.04;61.28;54.63;99.04;98.79;97.54;94.13;90.38;86.94;74.24;49.59;63.63;63.63;63.63;63.60;63.42;63.27;62.34;62.03;58.08;50.90;15.53;99.95;89.22;97.18;94.73;"09"
99.88;99.85;99.67;99.36;98.55;96.72;84.21;73.25;62.91;49.23;98.38;98.28;96.07;100.00;100.00;99.99;99.36;98.55;96.72;84.21;73.25;62.91;49.23;99.40;99.14;98.28;96.46;95.12;92.86;73.62;44.37;65.82;65.82;65.82;65.82;65.82;65.82;65.73;65.67;62.06;47.90;2.64;99.94;92.45;97.87;96.07;"10"
