"ags";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_8";"verf_300_10";"verf_300_16";"verf_300_30";"verf_300_50";"verf_300_100";"verf_300_200";"verf_300_400";"verf_300_1000";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_200_1";"verf_200_2";"verf_200_6";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_umts_1";"verf_lte_2";"verf_lte_6"
"01";100.00;100.00;99.88;98.39;96.93;94.32;93.04;92.32;88.76;85.08;80.84;74.04;98.62;98.09;96.08;95.30;94.79;94.05;93.00;92.27;88.76;85.08;80.84;74.04;99.98;99.98;99.03;97.19;96.10;92.08;89.13;87.56;87.28;82.58;79.90;68.30;45.86;69.98;69.98;69.98;69.62;69.62;69.98;69.98;69.98;69.84;69.84;65.72;54.60;30.78;30.78;30.78;30.78;90.33;99.98;99.03
"02";100.00;100.00;100.00;99.88;99.75;99.50;98.98;98.43;97.32;96.27;95.79;95.79;100.00;100.00;100.00;99.72;99.65;99.50;98.98;98.43;97.32;96.27;95.79;95.79;100.00;100.00;100.00;100.00;100.00;100.00;99.06;98.75;99.00;96.45;94.18;86.93;52.72;91.03;91.03;91.03;91.03;91.03;91.03;91.03;91.03;91.03;91.03;91.00;90.99;80.21;80.17;80.15;80.15;99.76;100.00;100.00
"03";99.99;99.99;99.90;98.55;97.43;95.52;94.14;92.21;82.32;74.16;67.27;53.88;98.96;98.70;97.34;96.55;96.08;95.46;94.13;92.19;82.32;74.16;67.27;53.88;99.90;99.90;98.93;98.16;97.71;95.31;92.80;91.76;91.64;89.02;85.87;67.54;39.68;65.97;65.97;65.97;65.49;65.49;65.97;65.97;65.97;65.71;65.64;62.87;47.50;12.90;12.90;12.89;12.85;89.46;99.90;98.93
"04";100.00;100.00;100.00;99.74;99.47;99.23;98.67;98.32;97.03;96.09;95.47;95.47;100.00;100.00;99.72;99.40;99.25;99.23;98.67;98.32;97.03;96.09;95.47;95.47;100.00;100.00;100.00;100.00;100.00;99.29;98.08;97.32;97.33;93.22;90.32;82.14;58.04;94.92;94.92;94.92;94.80;94.80;94.92;94.92;94.92;94.92;94.92;94.92;94.92;12.29;12.29;12.29;12.29;99.87;100.00;100.00
"05";100.00;100.00;99.98;99.19;98.55;97.43;96.13;95.44;89.12;83.87;77.78;62.00;99.67;99.52;98.78;98.25;97.89;97.34;96.09;95.44;89.12;83.87;77.78;62.00;99.95;99.95;99.70;99.45;99.21;97.78;95.64;94.68;94.69;91.35;89.49;73.63;51.04;74.34;74.34;74.34;74.09;74.09;74.34;74.34;74.34;74.31;74.31;73.54;56.44;14.04;13.93;13.93;13.71;97.75;99.93;99.70
"06";99.99;99.99;99.96;99.49;99.07;98.45;97.29;95.87;87.51;77.24;67.30;51.45;99.55;99.43;98.97;98.59;98.42;98.29;97.26;95.84;87.51;77.24;67.30;51.45;99.68;99.68;98.90;99.19;99.00;98.19;96.17;95.66;96.72;93.64;90.58;76.28;53.74;65.62;65.62;65.62;65.02;65.02;65.62;65.62;65.62;65.38;65.38;65.38;47.09;9.49;9.49;9.49;9.49;93.45;99.68;98.90
"07";99.98;99.97;99.86;98.93;98.03;96.68;95.54;92.86;80.99;72.55;58.69;49.18;99.07;98.81;97.75;97.06;96.71;96.40;95.40;92.81;80.99;72.55;58.69;49.18;99.25;99.24;97.75;97.83;97.29;94.96;92.57;91.67;91.88;89.34;85.41;67.50;45.59;60.85;60.85;60.85;58.21;58.21;60.85;60.85;60.49;58.38;58.28;51.91;41.46;8.26;8.26;8.23;8.23;87.60;99.18;97.75
"08";99.97;99.96;99.82;98.76;97.86;96.40;94.70;93.20;86.10;79.43;71.78;55.03;99.33;99.11;98.09;97.32;96.84;96.15;94.61;93.11;86.10;79.43;71.78;55.03;99.47;99.47;98.20;98.68;98.17;96.07;93.16;91.79;91.96;86.31;82.13;69.75;48.51;70.24;70.24;70.24;69.93;69.93;70.24;70.24;70.24;70.18;70.18;70.11;52.72;5.86;5.85;5.81;5.71;89.64;99.40;98.20
"09";99.99;99.99;99.94;99.31;98.80;98.12;97.06;95.01;87.37;75.32;62.46;56.25;99.57;99.47;99.01;98.47;98.15;97.79;96.70;94.83;87.37;75.32;62.46;56.25;99.69;99.69;98.37;99.14;98.92;97.84;95.42;94.38;94.78;91.75;88.80;77.07;53.58;64.10;64.10;64.10;62.79;62.79;64.09;63.92;63.77;63.02;62.75;58.80;51.82;17.13;16.88;16.63;16.61;89.06;99.68;98.37
"10";100.00;100.00;99.99;99.14;98.88;99.45;98.80;97.15;84.67;73.82;63.37;49.75;99.91;99.89;99.73;98.95;98.75;99.45;98.80;97.15;84.67;73.82;63.37;49.75;99.38;99.37;98.39;99.57;99.42;98.58;97.37;96.88;97.20;96.09;93.89;74.37;46.31;65.94;65.94;65.94;65.25;65.25;65.94;65.94;65.94;65.87;65.83;62.20;48.13;3.22;3.18;2.68;2.68;91.84;99.35;98.39
"11";100.00;100.00;100.00;99.21;99.07;99.26;98.71;98.22;96.93;95.64;93.93;92.06;100.00;100.00;100.00;99.21;99.07;99.26;98.71;98.22;96.93;95.64;93.93;92.06;100.00;100.00;100.00;100.00;100.00;99.00;98.00;97.26;98.00;94.45;91.77;84.80;62.10;94.51;94.51;94.51;92.51;92.51;94.51;94.51;94.51;94.51;94.51;93.64;91.56;7.97;7.97;7.97;7.97;99.96;100.00;100.00
"12";99.99;99.98;99.87;97.88;96.54;94.87;91.68;89.04;71.64;56.27;36.85;22.05;98.70;98.41;97.26;95.63;94.82;94.21;91.68;89.04;71.64;56.27;36.85;22.05;99.45;99.45;97.30;98.48;98.10;96.45;92.82;91.49;91.84;87.90;84.30;63.24;39.24;46.59;46.59;46.59;40.39;40.39;46.59;46.31;46.29;41.03;39.80;33.77;16.28;8.96;8.92;8.90;7.37;84.17;99.44;97.30
"13";99.99;99.99;99.57;95.07;90.70;82.78;79.57;77.81;71.06;63.51;51.86;43.16;96.32;95.60;90.93;88.02;85.82;82.21;79.57;77.81;71.06;63.51;51.86;43.16;99.82;99.82;97.70;95.63;94.78;89.01;83.90;80.05;75.74;70.66;68.33;58.69;42.80;54.91;54.91;54.91;52.01;52.01;54.91;54.67;54.55;52.57;48.22;43.17;34.16;12.73;12.73;12.69;12.69;82.33;99.82;97.70
"14";99.99;99.99;99.92;97.31;95.25;92.05;88.95;87.27;79.00;66.07;52.83;42.47;97.68;97.25;95.25;93.63;92.51;91.05;88.86;87.25;79.00;66.07;52.83;42.47;99.74;99.74;98.75;96.99;96.25;92.98;89.83;87.62;85.48;81.57;79.27;68.72;47.19;54.76;54.76;54.75;51.49;51.49;54.53;54.12;53.98;51.51;49.30;45.98;30.50;16.38;16.38;16.38;15.71;89.05;99.69;98.75
"15";99.98;99.98;99.80;96.48;93.78;89.10;85.00;82.86;73.70;57.30;31.84;12.01;97.64;97.03;94.04;92.08;90.44;87.54;85.00;82.86;73.70;57.30;31.84;12.01;99.69;99.69;97.87;97.12;96.50;92.55;88.92;86.30;83.79;79.69;76.93;64.97;40.28;39.53;39.53;39.52;38.14;38.14;39.52;39.52;39.52;39.02;38.75;26.05;1.85;10.37;10.37;10.37;10.37;82.93;99.68;97.87
"16";99.97;99.97;99.74;97.73;95.91;92.67;90.63;89.20;78.07;61.31;41.05;25.68;98.38;97.93;96.22;94.93;93.98;92.48;90.63;89.20;78.07;61.31;41.05;25.68;99.24;99.23;96.79;98.08;97.52;95.40;91.73;90.25;90.17;87.27;85.65;72.09;45.46;45.77;45.77;45.75;43.16;43.16;45.73;45.54;45.52;43.36;42.76;38.79;21.26;4.79;4.79;4.79;4.09;80.01;99.23;96.79
