"ags";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_8";"verf_300_10";"verf_300_16";"verf_300_30";"verf_300_50";"verf_300_100";"verf_300_200";"verf_300_400";"verf_300_1000";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_200_1";"verf_200_2";"verf_200_6";"verf_200_10";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_lte_2";"verf_lte_6";"verf_lte_10";"verf_5g_2"
"01";100.00;100.00;100.00;100.00;100.00;96.62;93.40;92.99;90.30;85.97;81.82;79.65;99.35;98.93;98.53;96.73;96.61;96.44;93.37;92.95;90.30;85.97;81.82;79.65;100.00;100.00;100.00;99.99;98.59;97.47;96.33;91.84;91.47;90.99;83.47;82.13;72.24;49.61;70.49;70.49;70.49;70.49;70.49;70.49;70.49;70.49;70.38;70.38;68.31;64.98;31.69;31.69;31.69;31.68;100.00;100.00;99.99;81.07
"02";100.00;100.00;100.00;100.00;100.00;99.83;99.31;98.92;98.15;96.99;96.52;96.51;100.00;100.00;100.00;99.90;99.87;99.83;99.31;98.92;98.15;96.99;96.52;96.51;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.49;99.29;99.00;97.34;95.67;89.83;59.25;92.25;92.25;92.25;92.25;92.25;92.25;92.25;92.25;92.25;92.25;92.22;92.21;81.66;81.62;81.60;81.60;100.00;100.00;100.00;99.09
"03";99.99;99.99;99.99;99.98;99.98;97.89;95.14;93.62;84.97;76.53;71.00;66.79;99.58;99.33;99.10;98.13;98.03;97.87;95.13;93.61;84.97;76.53;71.00;66.79;99.98;99.98;99.98;99.97;99.18;98.67;97.82;95.69;95.28;94.72;89.88;87.14;70.03;42.08;66.61;66.61;66.61;66.61;66.61;66.61;66.61;66.60;66.39;66.32;65.54;60.70;16.12;16.11;16.11;15.98;99.98;99.98;99.97;83.24
"04";100.00;100.00;100.00;100.00;100.00;99.29;98.77;98.55;97.64;96.69;96.01;95.98;100.00;100.00;99.82;99.55;99.45;99.29;98.77;98.55;97.64;96.69;96.01;95.98;100.00;100.00;100.00;100.00;100.00;100.00;99.52;98.57;98.03;97.50;95.64;94.43;89.05;64.72;95.40;95.40;95.40;95.40;95.40;95.40;95.40;95.40;95.40;95.40;95.40;95.33;12.54;12.54;12.54;12.54;100.00;100.00;100.00;98.47
"05";100.00;100.00;100.00;100.00;100.00;98.91;96.89;96.50;93.21;85.38;78.89;65.67;99.87;99.77;99.58;99.08;98.99;98.86;96.85;96.50;93.21;85.38;78.89;65.67;100.00;100.00;100.00;99.99;99.74;99.55;98.88;97.62;97.23;96.72;93.13;92.12;83.95;55.75;74.49;74.49;74.49;74.49;74.49;74.49;74.49;74.49;74.46;74.46;74.17;59.79;16.55;16.20;16.17;15.96;100.00;100.00;99.99;93.09
"06";100.00;100.00;100.00;100.00;100.00;99.04;97.57;96.60;89.49;78.82;67.51;53.50;99.72;99.61;99.48;99.06;99.00;98.92;97.56;96.57;89.49;78.82;67.51;53.50;99.99;99.99;99.99;99.97;99.41;99.22;98.79;97.92;97.67;97.43;95.07;93.38;81.16;58.41;65.68;65.68;65.68;65.68;65.68;65.68;65.68;65.68;65.45;65.45;65.45;49.98;8.04;8.04;8.04;8.04;99.99;99.99;99.97;88.62
"07";100.00;100.00;100.00;100.00;100.00;98.65;96.53;94.70;84.25;74.73;62.05;57.33;99.66;99.52;99.24;98.68;98.60;98.49;96.42;94.66;84.25;74.73;62.05;57.33;99.94;99.94;99.94;99.88;98.86;98.41;97.43;95.90;95.54;95.01;90.90;88.26;72.36;49.12;61.32;61.32;61.32;61.32;61.32;61.32;61.32;60.95;58.92;58.84;56.75;51.85;9.57;9.57;9.57;9.57;99.94;99.94;99.88;78.92
"08";100.00;100.00;100.00;100.00;100.00;98.29;95.72;94.94;88.93;81.39;72.69;59.49;99.70;99.52;99.24;98.44;98.31;98.12;95.64;94.86;88.93;81.39;72.69;59.49;99.97;99.97;99.96;99.95;99.15;98.70;97.58;95.67;95.26;94.65;89.46;87.53;76.98;55.20;70.72;70.72;70.72;70.72;70.72;70.72;70.72;70.72;70.67;70.67;70.60;56.77;7.43;7.42;7.37;7.23;99.97;99.96;99.95;78.62
"09";99.98;99.98;99.98;99.98;99.98;99.27;97.65;96.25;90.71;77.67;66.25;63.99;99.81;99.75;99.63;99.31;99.24;99.14;97.36;96.13;90.71;77.67;66.25;63.99;99.97;99.97;99.97;99.95;99.52;99.34;98.90;97.97;97.68;97.26;93.31;91.26;82.01;57.66;64.68;64.68;64.68;64.67;64.67;64.67;64.51;64.36;63.87;63.59;62.39;59.84;18.17;17.91;17.81;17.43;99.97;99.97;99.95;85.69
"10";100.00;100.00;100.00;100.00;100.00;99.70;99.12;98.02;87.89;74.67;66.72;61.84;99.95;99.94;99.84;99.77;99.75;99.70;99.12;98.02;87.89;74.67;66.72;61.84;100.00;100.00;99.99;99.97;99.66;99.57;98.92;98.56;98.31;97.86;96.82;95.25;78.71;48.17;66.28;66.28;66.28;66.28;66.28;66.28;66.28;66.28;66.20;66.18;65.62;60.40;3.45;3.42;3.36;3.36;100.00;99.99;99.97;85.28
