AGS;leitungsg. Technologien ≥ 1 Mbit/s;leitungsg. Technologien ≥ 2 Mbit/s;leitungsg. Technologien ≥ 6 Mbit/s;leitungsg. Technologien ≥ 8 Mbit/s;leitungsg. Technologien ≥ 10 Mbit/s;leitungsg. Technologien ≥ 16 Mbit/s;leitungsg. Technologien ≥ 30 Mbit/s;leitungsg. Technologien ≥ 50 Mbit/s;leitungsg. Technologien ≥ 100 Mbit/s;leitungsg. Technologien ≥ 200 Mbit/s;leitungsg. Technologien ≥ 400 Mbit/s;leitungsg. Technologien ≥ 1000 Mbit/s;DSL ≥ 1 Mbit/s;DSL ≥ 2 Mbit/s;DSL ≥ 6 Mbit/s;DSL ≥ 8 Mbit/s;DSL ≥ 10 Mbit/s;DSL ≥ 16 Mbit/s;DSL ≥ 30 Mbit/s;DSL ≥ 50 Mbit/s;DSL ≥ 100 Mbit/s;DSL ≥ 200 Mbit/s;CATV ≥ 1 Mbit/s;CATV ≥ 2 Mbit/s;CATV ≥ 6 Mbit/s;CATV ≥ 8 Mbit/s;CATV ≥ 10 Mbit/s;CATV ≥ 16 Mbit/s;CATV ≥ 30 Mbit/s;CATV ≥ 50 Mbit/s;CATV ≥ 100 Mbit/s;CATV ≥ 200 Mbit/s;CATV ≥ 400 Mbit/s;CATV ≥ 1000 Mbit/s;FTTH/B ≥ 100 Mbit/s;FTTH/B ≥ 200 Mbit/s;FTTH/B ≥ 400 Mbit/s;FTTH/B ≥ 1000 Mbit/s
01001000;100.00;100.00;100.00;99.99;99.99;99.98;99.74;99.74;98.94;96.50;91.58;91.58;99.84;99.84;99.84;99.84;99.81;99.29;98.79;98.68;93.47;79.25;89.69;89.69;89.69;89.69;89.69;89.69;89.69;89.69;89.69;89.69;89.69;89.69;5.17;5.17;5.17;5.17
01002000;99.97;99.97;99.97;99.97;99.97;99.96;99.08;98.77;97.86;95.95;84.67;78.02;99.97;99.97;99.97;99.97;99.88;99.52;98.05;97.21;94.05;83.64;89.55;89.55;89.55;89.55;89.55;89.55;89.55;89.55;89.55;89.55;78.35;69.68;21.15;21.15;21.15;21.15
01003000;99.95;99.95;99.88;99.82;99.82;99.77;99.18;98.88;97.94;95.05;92.98;90.03;99.87;99.78;99.60;99.42;99.40;99.22;97.34;96.39;91.47;75.21;92.27;92.27;92.27;92.27;92.27;92.27;92.27;92.27;92.27;92.27;92.27;89.27;4.61;4.61;4.61;4.61
01004000;99.90;99.88;99.83;99.57;99.53;99.07;95.97;95.75;90.78;86.85;84.11;84.11;99.73;99.69;99.58;98.50;98.32;95.97;91.57;90.67;84.49;69.30;83.20;83.20;83.20;83.20;83.20;83.20;83.20;83.20;83.20;83.20;83.18;83.18;1.56;1.56;1.56;1.56
01051001;98.36;98.36;98.36;98.36;98.05;97.27;94.72;94.13;82.26;65.03;0.00;0.00;98.36;98.36;98.36;98.36;98.05;97.27;94.72;94.13;82.26;65.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051002;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;50.00;0.00;0.00;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;83.33;50.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051003;100.00;100.00;98.69;95.80;95.73;95.54;95.01;95.01;0.00;0.00;0.00;0.00;100.00;100.00;94.74;31.58;31.48;26.32;1.34;1.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051004;100.00;100.00;100.00;100.00;100.00;100.00;90.32;83.87;57.61;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;90.32;83.87;57.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051005;100.00;100.00;66.67;66.67;66.67;38.27;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;66.67;66.67;66.67;38.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051006;100.00;100.00;100.00;97.44;97.44;97.44;72.57;68.21;53.85;22.73;0.00;0.00;100.00;100.00;100.00;97.44;97.44;97.44;72.57;68.21;53.85;22.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
