AGS;leitungsg. Technologien ≥ 1 Mbit/s;leitungsg. Technologien ≥ 2 Mbit/s;leitungsg. Technologien ≥ 6 Mbit/s;leitungsg. Technologien ≥ 16 Mbit/s;leitungsg. Technologien ≥ 30 Mbit/s;leitungsg. Technologien ≥ 50 Mbit/s;leitungsg. Technologien ≥ 100 Mbit/s;leitungsg. Technologien ≥ 200 Mbit/s;leitungsg. Technologien ≥ 400 Mbit/s;leitungsg. Technologien ≥ 1000 Mbit/s;DSL ≥ 1 Mbit/s;DSL ≥ 2 Mbit/s;DSL ≥ 6 Mbit/s;DSL ≥ 16 Mbit/s;DSL ≥ 30 Mbit/s;DSL ≥ 50 Mbit/s;DSL ≥ 100 Mbit/s;DSL ≥ 200 Mbit/s;CATV ≥ 1 Mbit/s;CATV ≥ 2 Mbit/s;CATV ≥ 6 Mbit/s;CATV ≥ 16 Mbit/s;CATV ≥ 30 Mbit/s;CATV ≥ 50 Mbit/s;CATV ≥ 100 Mbit/s;CATV ≥ 200 Mbit/s;CATV ≥ 400 Mbit/s;CATV ≥ 1000 Mbit/s;FTTH/B ≥ 100 Mbit/s;FTTH/B ≥ 200 Mbit/s;FTTH/B ≥ 400 Mbit/s;FTTH/B ≥ 1000 Mbit/s
01001000;100.00;100.00;99.95;99.78;99.60;99.52;96.81;95.63;89.80;89.80;99.80;99.80;99.37;98.56;98.23;97.88;90.28;77.17;89.72;89.72;89.72;89.72;89.72;89.72;89.72;89.72;89.72;89.72;2.90;2.90;2.90;2.90
01002000;99.97;99.97;99.97;99.86;97.50;96.72;94.92;93.17;80.32;72.69;99.96;99.96;99.87;98.24;95.89;88.29;82.53;71.34;89.55;89.55;89.55;89.55;89.55;89.55;89.55;89.55;77.05;67.96;17.08;17.08;17.08;17.08
01003000;99.92;99.51;99.35;99.04;98.39;97.87;96.15;94.29;92.72;86.06;99.37;99.11;98.76;97.41;96.35;90.35;83.46;66.17;92.31;92.31;92.31;92.31;92.31;92.31;92.31;92.31;92.31;85.52;4.19;4.19;4.19;4.19
01004000;99.85;99.84;99.49;97.84;95.19;94.88;88.65;86.01;83.24;83.24;99.58;99.38;97.80;91.39;89.72;81.15;72.01;56.93;83.22;83.22;83.22;83.22;83.22;83.22;83.22;83.22;83.20;83.20;0.43;0.43;0.43;0.43
01051001;98.36;98.36;98.36;95.32;94.17;93.04;78.24;65.03;0.00;0.00;98.36;98.36;98.36;95.32;94.17;93.04;78.24;65.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051002;75.00;75.00;41.67;33.33;30.67;30.67;30.67;30.67;0.00;0.00;75.00;75.00;41.67;33.33;30.67;30.67;30.67;30.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051003;100.00;100.00;95.27;95.01;95.01;95.01;0.00;0.00;0.00;0.00;100.00;100.00;6.61;1.34;1.34;1.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051004;100.00;100.00;100.00;90.32;90.32;75.41;35.45;0.00;0.00;0.00;100.00;100.00;100.00;90.32;90.32;75.41;35.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051005;100.00;100.00;66.67;38.27;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;66.67;38.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051006;100.00;100.00;92.31;89.32;72.57;61.45;53.85;22.73;0.00;0.00;100.00;100.00;92.31;89.32;72.57;61.45;53.85;22.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051008;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051010;100.00;100.00;90.22;88.97;88.97;88.97;12.50;12.50;12.50;0.00;100.00;100.00;48.66;17.71;9.90;9.90;0.00;0.00;12.50;12.50;12.50;12.50;12.50;12.50;12.50;12.50;12.50;0.00;0.00;0.00;0.00;0.00
01051011;98.00;97.62;95.44;92.78;91.83;91.48;89.89;87.88;87.09;0.16;98.00;97.62;95.26;92.25;91.28;90.93;87.01;80.32;87.09;87.09;87.09;87.09;87.09;87.09;87.09;87.09;87.09;0.00;0.16;0.16;0.16;0.16
01051012;90.24;87.38;80.95;80.95;80.95;80.95;66.39;50.54;0.00;0.00;90.24;87.38;72.91;69.51;68.94;68.94;66.39;50.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051013;100.00;100.00;100.00;98.74;95.91;95.49;93.81;90.25;86.72;69.91;100.00;100.00;100.00;98.69;95.85;95.43;91.31;77.97;86.72;86.72;86.72;86.72;86.72;86.72;86.72;86.72;86.72;69.91;3.51;3.51;3.51;3.51
01051014;100.00;100.00;100.00;100.00;100.00;100.00;94.44;94.44;50.00;27.78;100.00;100.00;100.00;100.00;100.00;100.00;94.44;94.44;50.00;50.00;50.00;50.00;50.00;50.00;50.00;50.00;50.00;27.78;0.00;0.00;0.00;0.00
01051015;100.00;100.00;94.59;89.19;83.78;78.09;68.83;48.72;0.00;0.00;100.00;100.00;94.59;89.19;83.78;78.09;68.83;48.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051016;100.00;100.00;100.00;90.69;89.70;89.11;88.77;88.69;88.69;0.51;100.00;100.00;100.00;82.67;81.26;79.99;75.14;66.16;88.69;88.69;88.69;88.69;88.69;88.69;88.69;88.69;88.69;0.51;0.00;0.00;0.00;0.00
01051017;100.00;100.00;3.00;3.00;3.00;3.00;0.00;0.00;0.00;0.00;100.00;100.00;3.00;3.00;3.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051019;96.56;92.27;9.00;5.30;5.30;5.30;0.00;0.00;0.00;0.00;96.56;92.27;9.00;5.30;5.30;5.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051020;100.00;100.00;100.00;100.00;100.00;100.00;77.13;70.86;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;77.13;70.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051021;100.00;100.00;96.15;78.27;70.79;57.35;41.03;37.57;35.38;30.77;100.00;100.00;96.15;78.27;70.79;57.35;41.03;34.13;35.38;35.38;35.38;35.38;35.38;35.38;35.38;35.38;35.38;30.77;0.00;0.00;0.00;0.00
01051022;100.00;100.00;100.00;100.00;87.40;86.77;45.00;36.87;0.00;0.00;100.00;100.00;100.00;100.00;87.40;86.77;45.00;36.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051023;100.00;100.00;100.00;95.83;85.77;81.04;54.52;38.87;0.00;0.00;100.00;100.00;100.00;95.83;85.77;81.04;54.52;38.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051024;100.00;100.00;96.23;90.57;84.91;84.81;75.08;63.06;0.00;0.00;100.00;100.00;96.23;90.57;84.91;83.02;75.08;63.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051026;100.00;100.00;100.00;95.77;95.77;95.77;68.92;45.68;0.00;0.00;100.00;100.00;100.00;88.46;88.46;88.46;68.92;45.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051027;96.77;96.77;93.55;53.98;38.71;38.71;38.71;33.94;0.00;0.00;96.77;96.77;93.55;53.98;38.71;38.71;38.71;33.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051028;100.00;100.00;85.00;50.00;50.00;48.34;14.29;0.00;0.00;0.00;100.00;100.00;85.00;50.00;50.00;48.34;14.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051030;91.67;91.67;8.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;91.67;91.67;8.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051032;100.00;100.00;100.00;100.00;100.00;100.00;64.89;12.11;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;64.89;12.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051033;92.31;46.15;7.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;92.31;46.15;7.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051034;99.62;99.54;97.91;97.36;97.00;96.83;36.33;20.02;0.00;0.00;93.69;92.74;70.89;59.92;52.86;51.37;36.33;20.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051035;100.00;40.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;40.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051036;100.00;100.00;2.19;2.19;2.19;2.19;0.00;0.00;0.00;0.00;100.00;100.00;2.19;2.19;2.19;2.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051037;97.51;97.15;95.72;95.72;95.37;95.01;0.00;0.00;0.00;0.00;84.50;47.27;15.49;15.49;8.34;6.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051038;100.00;100.00;14.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;14.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051039;92.00;92.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;92.00;92.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051043;81.25;81.25;56.25;25.00;12.50;12.50;5.21;0.00;0.00;0.00;81.25;81.25;56.25;25.00;12.50;12.50;5.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051044;100.00;100.00;100.00;99.62;99.06;97.88;95.31;93.15;89.01;71.27;100.00;100.00;99.96;99.53;98.97;97.63;93.48;74.31;89.01;89.01;89.01;89.01;89.01;89.01;89.01;89.01;89.01;71.27;0.09;0.09;0.09;0.09
01051045;56.25;56.25;56.25;39.58;24.68;24.68;0.00;0.00;0.00;0.00;56.25;56.25;56.25;39.58;24.68;24.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051046;100.00;100.00;100.00;96.04;85.52;85.35;58.61;44.21;0.00;0.00;100.00;100.00;100.00;89.13;72.41;68.97;58.61;44.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051047;28.80;12.35;2.58;2.58;2.58;2.58;0.00;0.00;0.00;0.00;28.80;12.35;2.58;2.58;2.58;2.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051048;99.06;99.06;94.79;93.22;92.36;90.60;71.83;15.68;0.00;0.00;97.44;97.44;94.07;93.22;92.36;90.60;71.83;15.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051049;99.00;99.00;96.96;89.96;86.11;84.98;73.84;61.43;0.00;0.00;99.00;99.00;96.96;89.96;86.11;84.98;73.84;61.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051050;100.00;100.00;100.00;75.00;9.27;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;75.00;9.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051051;100.00;100.00;88.25;85.55;85.55;85.55;13.22;10.65;0.00;0.00;100.00;100.00;30.66;27.96;27.96;27.96;13.22;10.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051052;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051053;91.67;84.93;2.41;2.41;2.41;2.41;0.00;0.00;0.00;0.00;91.67;84.93;2.41;2.41;2.41;2.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051054;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
