"AGS","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 8 Mbit/s","leitungsg. Technologien ≥ 10 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 8 Mbit/s","DSL ≥ 10 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 8 Mbit/s","CATV ≥ 10 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 100 Mbit/s","FTTH/B ≥ 200 Mbit/s","FTTH/B ≥ 400 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"01001000",100.00,100.00,100.00,100.00,100.00,100.00,99.76,99.76,99.14,96.86,93.47,93.47,99.91,99.91,99.91,99.88,99.85,99.34,98.82,98.70,93.87,79.52,91.49,91.49,91.49,91.49,91.49,91.49,91.49,91.49,91.49,91.49,91.49,91.49,5.47,5.47,5.47,5.47
"01002000",99.95,99.95,99.95,99.95,99.95,99.94,98.94,98.64,97.82,96.24,86.61,81.06,99.95,99.95,99.95,99.95,99.87,99.55,97.94,97.15,94.53,85.57,89.51,89.51,89.51,89.51,89.51,89.51,89.51,89.51,89.51,89.51,80.64,73.38,22.79,22.79,22.79,22.79
"01003000",99.89,99.89,99.83,99.79,99.79,99.76,99.24,99.06,98.29,95.35,93.20,90.60,99.62,99.55,99.40,99.24,99.23,99.05,97.28,96.61,92.05,76.42,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,92.67,89.97,5.10,5.10,5.10,5.10
"01004000",99.94,99.89,99.89,99.60,99.56,99.19,96.06,95.84,91.10,87.16,84.46,84.46,99.94,99.87,99.83,98.73,98.62,96.71,91.92,91.08,84.85,69.75,83.48,83.48,83.48,83.48,83.48,83.48,83.48,83.48,83.48,83.48,83.46,83.46,1.66,1.66,1.66,1.66
"01051001",100.00,100.00,100.00,100.00,100.00,100.00,96.17,95.55,82.49,63.59,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,96.17,95.55,82.49,63.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"01051002",100.00,100.00,100.00,100.00,100.00,100.00,83.33,83.33,83.33,50.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,83.33,83.33,83.33,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"01051003",100.00,100.00,100.00,95.84,95.84,95.84,95.01,95.01,0.00,0.00,0.00,0.00,100.00,100.00,100.00,33.33,33.33,33.33,1.42,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"01051004",100.00,100.00,100.00,100.00,100.00,100.00,87.50,84.38,58.27,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,87.50,84.38,58.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"01051005",100.00,100.00,66.67,66.67,66.67,66.67,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,66.67,66.67,66.67,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"01051006",100.00,100.00,100.00,97.50,97.50,97.50,73.26,69.00,55.00,23.97,0.00,0.00,100.00,100.00,100.00,97.50,97.50,97.50,73.26,69.00,55.00,23.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"01051008",100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"01051010",100.00,100.00,100.00,100.00,100.00,100.00,88.11,88.11,14.29,14.29,14.29,0.00,100.00,100.00,100.00,100.00,100.00,100.00,11.31,11.31,0.00,0.00,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,0.00,0.00,0.00,0.00,0.00
"01051011",99.90,99.51,99.23,97.27,97.27,97.13,93.50,93.50,91.42,89.58,88.06,64.89,99.90,99.51,99.05,97.09,97.09,96.78,93.14,93.14,89.60,82.55,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,86.92,63.55,1.49,1.49,1.49,1.49
