AGS;leitungsg. Technologien ≥ 1 Mbit/s;leitungsg. Technologien ≥ 2 Mbit/s;leitungsg. Technologien ≥ 6 Mbit/s;leitungsg. Technologien ≥ 8 Mbit/s;leitungsg. Technologien ≥ 10 Mbit/s;leitungsg. Technologien ≥ 16 Mbit/s;leitungsg. Technologien ≥ 30 Mbit/s;leitungsg. Technologien ≥ 50 Mbit/s;leitungsg. Technologien ≥ 100 Mbit/s;leitungsg. Technologien ≥ 200 Mbit/s;leitungsg. Technologien ≥ 400 Mbit/s;leitungsg. Technologien ≥ 1000 Mbit/s;DSL ≥ 1 Mbit/s;DSL ≥ 2 Mbit/s;DSL ≥ 6 Mbit/s;DSL ≥ 8 Mbit/s;DSL ≥ 10 Mbit/s;DSL ≥ 16 Mbit/s;DSL ≥ 30 Mbit/s;DSL ≥ 50 Mbit/s;DSL ≥ 100 Mbit/s;DSL ≥ 200 Mbit/s;CATV ≥ 1 Mbit/s;CATV ≥ 2 Mbit/s;CATV ≥ 6 Mbit/s;CATV ≥ 8 Mbit/s;CATV ≥ 10 Mbit/s;CATV ≥ 16 Mbit/s;CATV ≥ 30 Mbit/s;CATV ≥ 50 Mbit/s;CATV ≥ 100 Mbit/s;CATV ≥ 200 Mbit/s;CATV ≥ 400 Mbit/s;CATV ≥ 1000 Mbit/s;FTTH/B ≥ 100 Mbit/s;FTTH/B ≥ 200 Mbit/s;FTTH/B ≥ 400 Mbit/s;FTTH/B ≥ 1000 Mbit/s
01001000;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;98.90;96.59;72.63;72.63;99.39;99.39;99.39;99.39;99.21;98.52;98.19;98.19;92.37;79.73;63.90;63.90;63.90;63.90;63.90;63.90;63.90;63.90;63.90;63.90;63.90;63.90;10.02;10.02;10.02;10.02
01002000;100.00;100.00;100.00;100.00;100.00;100.00;97.16;95.93;94.12;89.88;69.68;61.46;100.00;100.00;100.00;100.00;100.00;99.99;94.79;91.73;86.13;69.44;62.72;62.72;62.72;62.72;62.72;62.72;62.72;62.72;62.72;62.72;45.39;30.29;37.58;37.58;37.58;37.58
01003000;99.94;99.94;99.82;99.80;99.80;99.73;98.75;97.42;94.28;83.59;77.23;74.84;99.94;99.88;99.42;99.36;99.29;98.84;96.69;94.29;83.85;59.51;74.86;74.86;74.86;74.86;74.86;74.86;74.86;74.86;74.86;74.86;74.86;72.46;13.54;13.54;13.54;13.54
01004000;99.85;99.85;99.66;98.92;98.85;97.87;85.77;85.12;68.85;54.95;47.45;47.45;99.20;99.20;98.90;95.00;94.75;92.85;79.09;76.97;63.13;40.70;44.22;44.22;44.22;44.22;44.22;44.22;44.22;44.22;44.22;44.22;44.22;44.22;4.18;4.18;4.18;4.18
01051001;95.65;95.65;95.65;95.65;95.65;95.65;95.65;95.65;47.83;33.61;0.00;0.00;95.65;95.65;95.65;95.65;95.65;95.65;95.65;95.65;47.83;33.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01051004;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051011;100.00;100.00;100.00;100.00;100.00;100.00;93.44;93.44;91.41;81.27;70.87;32.57;100.00;100.00;100.00;100.00;100.00;100.00;93.27;93.27;86.87;64.29;61.03;61.03;61.03;61.03;61.03;61.03;61.03;61.03;61.03;61.03;61.03;22.73;9.84;9.84;9.84;9.84
01051013;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;33.33;33.33;12.27;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;22.08;33.33;33.33;33.33;33.33;33.33;33.33;33.33;33.33;33.33;33.33;33.33;12.27;0.00;0.00;0.00;0.00
01051024;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;66.93;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;66.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
