AGS;leitungsg. Technologien ≥ 1 Mbit/s;leitungsg. Technologien ≥ 2 Mbit/s;leitungsg. Technologien ≥ 6 Mbit/s;leitungsg. Technologien ≥ 16 Mbit/s;leitungsg. Technologien ≥ 30 Mbit/s;leitungsg. Technologien ≥ 50 Mbit/s;leitungsg. Technologien ≥ 100 Mbit/s;leitungsg. Technologien ≥ 200 Mbit/s;leitungsg. Technologien ≥ 400 Mbit/s;leitungsg. Technologien ≥ 1000 Mbit/s;DSL ≥ 1 Mbit/s;DSL ≥ 2 Mbit/s;DSL ≥ 6 Mbit/s;DSL ≥ 16 Mbit/s;DSL ≥ 30 Mbit/s;DSL ≥ 50 Mbit/s;DSL ≥ 100 Mbit/s;DSL ≥ 200 Mbit/s;CATV ≥ 1 Mbit/s;CATV ≥ 2 Mbit/s;CATV ≥ 6 Mbit/s;CATV ≥ 16 Mbit/s;CATV ≥ 30 Mbit/s;CATV ≥ 50 Mbit/s;CATV ≥ 100 Mbit/s;CATV ≥ 200 Mbit/s;CATV ≥ 400 Mbit/s;CATV ≥ 1000 Mbit/s;FTTH/B ≥ 100 Mbit/s;FTTH/B ≥ 200 Mbit/s;FTTH/B ≥ 400 Mbit/s;FTTH/B ≥ 1000 Mbit/s
01001000;99.99;99.99;99.77;99.77;99.65;99.37;93.06;92.74;64.05;64.05;99.28;99.28;96.98;95.84;95.79;95.51;85.39;75.17;64.05;64.05;64.05;64.05;64.05;64.05;64.05;64.05;64.05;64.05;0.40;0.40;0.40;0.40
01002000;100.00;100.00;99.98;99.56;90.61;87.75;81.97;76.84;52.97;42.51;99.95;99.95;99.51;96.08;87.53;82.23;66.68;51.13;63.08;63.08;63.08;63.08;63.08;63.08;63.08;63.08;45.72;31.63;16.17;16.17;16.17;16.17
01003000;99.92;99.56;99.42;98.98;97.48;95.61;89.07;81.87;76.69;73.44;99.56;99.27;98.66;97.65;94.85;91.16;75.38;56.45;74.81;74.81;74.81;74.81;74.81;74.81;74.81;74.81;74.81;71.56;13.00;13.00;13.00;13.00
01004000;99.85;99.80;98.60;93.25;83.07;82.07;61.27;52.19;44.46;44.46;98.88;98.12;92.76;78.32;75.78;71.95;53.82;36.05;44.31;44.31;44.31;44.31;44.31;44.31;44.31;44.31;44.31;44.31;0.15;0.15;0.15;0.15
01051001;95.65;95.65;95.65;95.65;95.65;95.65;34.76;33.61;0.00;0.00;95.65;95.65;95.65;95.65;95.65;95.65;34.76;33.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051002;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051004;100.00;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051011;88.52;88.52;88.52;83.61;78.69;78.61;76.66;66.92;61.44;0.00;88.52;88.52;88.52;83.61;78.52;78.45;65.57;49.54;61.44;61.44;61.44;61.44;61.44;61.44;61.44;61.44;61.44;0.00;0.00;0.00;0.00;0.00
01051013;100.00;100.00;100.00;100.00;100.00;100.00;100.00;42.86;42.86;35.71;100.00;100.00;100.00;100.00;100.00;100.00;71.43;10.11;42.86;42.86;42.86;42.86;42.86;42.86;42.86;42.86;42.86;35.71;0.00;0.00;0.00;0.00
01051024;100.00;100.00;100.00;100.00;100.00;100.00;66.93;66.93;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;66.93;66.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051034;100.00;100.00;100.00;98.00;98.00;98.00;60.00;0.00;0.00;0.00;100.00;100.00;100.00;60.00;60.00;60.00;60.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051038;100.00;100.00;100.00;100.00;100.00;92.80;45.80;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;92.80;45.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051044;100.00;100.00;100.00;97.22;94.47;86.34;72.62;61.41;37.33;18.00;100.00;100.00;100.00;97.22;94.16;86.02;71.56;50.95;37.33;37.33;37.33;37.33;37.33;37.33;37.33;37.33;37.33;18.00;0.00;0.00;0.00;0.00
01051046;100.00;100.00;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051048;99.57;99.57;77.83;74.20;74.20;69.57;0.00;0.00;0.00;0.00;91.30;91.30;74.20;74.20;74.20;69.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051049;100.00;100.00;100.00;100.00;40.00;40.00;40.00;20.00;0.00;0.00;100.00;100.00;100.00;100.00;40.00;40.00;40.00;20.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051051;100.00;100.00;95.01;95.01;95.01;95.01;18.80;18.80;0.00;0.00;100.00;100.00;36.70;36.70;36.70;36.70;18.80;18.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051057;100.00;100.00;95.01;95.01;95.01;95.01;0.00;0.00;0.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051062;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051065;100.00;100.00;100.00;100.00;100.00;100.00;90.00;90.00;90.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;60.00;0.00;90.00;90.00;90.00;90.00;90.00;90.00;90.00;90.00;90.00;0.00;0.00;0.00;0.00;0.00
01051071;100.00;100.00;100.00;100.00;100.00;92.80;45.80;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;92.80;45.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051072;100.00;100.00;100.00;100.00;100.00;100.00;93.75;93.75;84.79;59.37;100.00;100.00;100.00;100.00;100.00;90.48;77.93;60.22;84.79;84.79;84.79;84.79;84.79;84.79;84.79;84.79;84.79;59.37;0.00;0.00;0.00;0.00
01051074;100.00;100.00;100.00;100.00;100.00;89.71;86.84;81.02;59.22;32.38;100.00;100.00;100.00;100.00;100.00;89.71;83.89;73.42;56.25;56.25;56.25;56.25;56.25;56.25;56.25;56.25;56.25;29.41;2.97;2.97;2.97;2.97
01051075;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051082;33.33;33.33;33.33;33.33;33.33;25.00;0.00;0.00;0.00;0.00;33.33;33.33;33.33;33.33;33.33;25.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051087;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00
01051097;100.00;100.00;100.00;100.00;100.00;100.00;56.39;44.14;4.24;4.24;100.00;100.00;100.00;100.00;100.00;100.00;56.39;44.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.24;4.24;4.24;4.24
01051099;100.00;100.00;100.00;100.00;100.00;20.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;20.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051105;100.00;100.00;100.00;100.00;100.00;100.00;75.00;50.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;75.00;50.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051113;100.00;100.00;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051114;100.00;100.00;100.00;100.00;33.33;33.33;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;33.33;33.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051122;100.00;100.00;100.00;100.00;100.00;100.00;85.44;38.89;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;85.44;38.89;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01051127;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;16.67;16.67;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;16.67;16.67;16.67;16.67;16.67;16.67;16.67;16.67;16.67;16.67;0.00;0.00;0.00;0.00
