"AGS","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 8 Mbit/s","leitungsg. Technologien ≥ 10 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 8 Mbit/s","DSL ≥ 10 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 8 Mbit/s","CATV ≥ 10 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 100 Mbit/s","FTTH/B ≥ 200 Mbit/s","FTTH/B ≥ 400 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"01001000",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.03,96.66,80.67,80.67,99.49,99.49,99.49,99.49,99.31,98.63,98.28,98.28,92.61,79.70,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,10.08,10.08,10.08,10.08
"01002000",99.90,99.90,99.90,99.90,99.90,99.90,96.67,95.46,93.85,90.66,71.07,63.54,99.90,99.90,99.90,99.90,99.90,99.89,94.36,91.55,87.46,73.95,62.73,62.73,62.73,62.73,62.73,62.73,62.73,62.73,62.73,62.73,47.17,33.08,37.57,37.57,37.57,37.57
"01003000",99.94,99.94,99.88,99.88,99.88,99.88,99.08,98.41,95.83,84.71,78.16,76.11,99.01,98.95,98.63,98.58,98.50,98.10,96.12,94.83,85.27,60.09,76.51,76.51,76.51,76.51,76.51,76.51,76.51,76.51,76.51,76.51,76.51,74.46,13.57,13.57,13.57,13.57
"01004000",100.00,99.88,99.88,99.00,98.97,98.23,85.76,85.07,69.51,55.46,47.84,47.84,100.00,99.78,99.78,95.82,95.75,94.89,79.25,77.33,63.90,41.37,44.43,44.43,44.43,44.43,44.43,44.43,44.43,44.43,44.43,44.43,44.43,44.43,4.36,4.36,4.36,4.36
"01051001",100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.71,47.83,26.49,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,97.71,47.83,26.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"01051004",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"01051011",100.00,100.00,100.00,100.00,100.00,100.00,91.94,91.94,90.32,79.95,69.72,32.04,100.00,100.00,100.00,100.00,100.00,100.00,91.77,91.77,85.86,63.25,60.05,60.05,60.05,60.05,60.05,60.05,60.05,60.05,60.05,60.05,60.05,22.37,9.68,9.68,9.68,9.68
"01051013",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,46.15,46.15,27.37,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,28.47,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,46.15,27.37,0.00,0.00,0.00,0.00
"01051024",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,66.93,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,66.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"01051034",100.00,100.00,100.00,100.00,100.00,100.00,99.00,99.00,80.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,80.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
