"AGS","alle Technologien ≥ 1 Mbit/s","alle Technologien ≥ 2 Mbit/s","alle Technologien ≥ 6 Mbit/s","alle Technologien ≥ 16 Mbit/s","alle Technologien ≥ 30 Mbit/s","alle Technologien ≥ 50 Mbit/s","alle Technologien ≥ 100 Mbit/s","alle Technologien ≥ 200 Mbit/s","alle Technologien ≥ 400 Mbit/s","alle Technologien ≥ 1000 Mbit/s","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","mobile Technologien ≥ 1 Mbit/s","mobile Technologien ≥ 2 Mbit/s","mobile Technologien ≥ 6 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"16068025",100,100,100,3,3,3,0.53,0.53,0,0,3,3,3,3,3,3,0.53,0.53,0,0,100.00,100.00,100.00,3,3,3,3,3,3,0.53,0.53,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0
"09672457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01057060",100,100,100,7,7,7,1.74,0,0,0,7,7,7,7,7,7,1.74,0,0,0,100.00,100.00,100.00,7,7,7,7,7,7,1.74,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0
"16062008",100,100,100,100,100,100,0,0,0,0,100,100,100,100,100,100,0,0,0,0,100.00,100.00,100.00,100,100,100,100,100,100,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0
"09272456",100,100,100,100.00,100.00,99.99,99.99,0,0,0,100.00,100.00,100.00,100.00,100.00,99.99,99.99,0,0,0,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,99.99,99.99,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0
"03154506",100,100,100,100.00,0,0,0,0,0,0,100.00,100.00,100.00,100.00,0,0,0,0,0,0,0,0,0,100.00,100.00,100.00,100.00,0,0,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0
"16074056",100,100,100,100,100,96.34,94.11,0,0,0,100,100,100,100,100,96.34,94.11,0,0,0,0.00,0.00,0.00,100,100,100,100,100,96.34,94.11,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0
"09672456",4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09679453",100,100,100,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07140109",100,100,84,70,70,70,0,0,0,0,100,100,70,70,70,70,0,0,0,0,100.00,100.00,61.85,100,100,70,70,70,70,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0
"09780451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07232104",100,100,100,0,0,0,0,0,0,0,100,100,97,0,0,0,0,0,0,0,49.06,49.06,49.06,100,100,97,0,0,0,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0
"09678455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09574456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09679452",100,100,100,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09679451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07336068",100,100,100,88,88,72,0,0,0,0,100,100,88,88,88,72,0,0,0,0,100.00,100.00,100.00,100,100,88,88,88,72,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0
"09678454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09479462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08337059",24,24,15,1.21,1.21,1.21,0,0,0,0,10,10,1.21,1.21,1.21,1.21,0,0,0,0,2.34,2.34,2.34,10,10,1.21,1.21,1.21,1.21,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0
