AGS;alle Technologien ≥ 1 Mbit/s;alle Technologien ≥ 2 Mbit/s;alle Technologien ≥ 6 Mbit/s;alle Technologien ≥ 16 Mbit/s;alle Technologien ≥ 30 Mbit/s;alle Technologien ≥ 50 Mbit/s;alle Technologien ≥ 100 Mbit/s;alle Technologien ≥ 200 Mbit/s;alle Technologien ≥ 400 Mbit/s;alle Technologien ≥ 1000 Mbit/s;leitungsg. Technologien ≥ 1 Mbit/s;leitungsg. Technologien ≥ 2 Mbit/s;leitungsg. Technologien ≥ 6 Mbit/s;leitungsg. Technologien ≥ 16 Mbit/s;leitungsg. Technologien ≥ 30 Mbit/s;leitungsg. Technologien ≥ 50 Mbit/s;leitungsg. Technologien ≥ 100 Mbit/s;leitungsg. Technologien ≥ 200 Mbit/s;leitungsg. Technologien ≥ 400 Mbit/s;leitungsg. Technologien ≥ 1000 Mbit/s;mobile Technologien ≥ 1 Mbit/s;mobile Technologien ≥ 2 Mbit/s;mobile Technologien ≥ 6 Mbit/s;DSL ≥ 1 Mbit/s;DSL ≥ 2 Mbit/s;DSL ≥ 6 Mbit/s;DSL ≥ 16 Mbit/s;DSL ≥ 30 Mbit/s;DSL ≥ 50 Mbit/s;DSL ≥ 100 Mbit/s;DSL ≥ 200 Mbit/s;CATV ≥ 1 Mbit/s;CATV ≥ 2 Mbit/s;CATV ≥ 6 Mbit/s;CATV ≥ 16 Mbit/s;CATV ≥ 30 Mbit/s;CATV ≥ 50 Mbit/s;CATV ≥ 100 Mbit/s;CATV ≥ 200 Mbit/s;CATV ≥ 400 Mbit/s;CATV ≥ 1000 Mbit/s;FTTH/B ≥ 100 Mbit/s;FTTH/B ≥ 200 Mbit/s;FTTH/B ≥ 400 Mbit/s;FTTH/B ≥ 1000 Mbit/s
07932042;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07932082;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
03452501;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07141088;100.00;100.00;100.00;92.66;92.66;92.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;92.66;92.66;92.00;0.00;0.00;0.00;0.00;100.00;100.00;66.62;100.00;100.00;100.00;92.00;92.00;92.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
06633007;100.00;100.00;100.00;99.00;99.00;27.00;0.13;0.00;0.00;0.00;100.00;100.00;99.00;99.00;99.00;27.00;0.13;0.00;0.00;0.00;100.00;100.00;99.78;100.00;100.00;99.00;99.00;99.00;27.00;0.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
06633200;100.00;100.00;100.00;81.00;81.00;68.00;10.10;0.00;0.00;0.00;92.00;88.00;88.00;81.00;81.00;68.00;10.10;0.00;0.00;0.00;100.00;100.00;100.00;92.00;88.00;88.00;81.00;81.00;68.00;10.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07133039;100.00;100.00;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07140126;100.00;100.00;100.00;64.00;64.00;64.00;0.00;0.00;0.00;0.00;99.99;99.99;98.86;64.00;64.00;64.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;99.99;99.99;98.86;64.00;64.00;64.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07141102;100.00;100.00;100.00;96.29;82.81;55.46;19.07;0.00;0.00;0.00;100.00;100.00;98.82;96.29;82.81;55.46;19.07;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;98.82;96.29;82.81;55.46;19.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07143008;100.00;100.00;100.00;92.00;92.00;92.00;92.00;92.00;92.00;92.00;92.00;92.00;92.00;92.00;92.00;92.00;92.00;92.00;92.00;92.00;100.00;100.00;100.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;92.00;92.00;92.00;92.00
