"AGS","alle Technologien ≥ 1 Mbit/s","alle Technologien ≥ 2 Mbit/s","alle Technologien ≥ 6 Mbit/s","alle Technologien ≥ 8 Mbit/s","alle Technologien ≥ 10 Mbit/s","alle Technologien ≥ 16 Mbit/s","alle Technologien ≥ 30 Mbit/s","alle Technologien ≥ 50 Mbit/s","alle Technologien ≥ 100 Mbit/s","alle Technologien ≥ 200 Mbit/s","alle Technologien ≥ 400 Mbit/s","alle Technologien ≥ 1000 Mbit/s","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 8 Mbit/s","leitungsg. Technologien ≥ 10 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","mobile Technologien ≥ 1 Mbit/s","mobile Technologien ≥ 2 Mbit/s","mobile Technologien ≥ 6 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 8 Mbit/s","DSL ≥ 10 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 8 Mbit/s","CATV ≥ 10 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 100 Mbit/s","FTTH/B ≥ 200 Mbit/s","FTTH/B ≥ 400 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"09576453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09576454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09576455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09672465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09671456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09671457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09671458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09671459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09671460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03158501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01060014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03151501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03153504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03452501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06431200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07133039",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"07141141",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"07331035",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,95.81,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,95.81,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,95.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"07135064",100.00,100.00,100.00,100.00,100.00,98.48,98.48,66.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,98.48,98.48,98.48,98.48,66.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,97.00,97.00,97.00,97.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"08415971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09180451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09183451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07141101",100.00,100.00,100.00,100.00,100.00,93.00,93.00,88.19,0.00,0.00,0.00,0.00,99.93,99.93,99.93,93.00,93.00,93.00,93.00,88.19,0.00,0.00,0.00,0.00,100.00,100.00,100.00,99.00,99.00,98.59,93.00,93.00,93.00,93.00,87.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"09188451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09371452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09377455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09476453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09676452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09774451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09779452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09780451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02000001",100.00,100.00,100.00,100.00,100.00,99.69,99.15,98.69,98.14,96.93,96.49,96.49,99.96,99.95,99.90,99.84,99.78,99.69,99.15,98.69,98.14,96.93,96.49,96.49,100.00,100.00,100.00,99.93,99.93,99.83,99.38,99.00,98.42,96.20,94.24,90.31,64.35,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.98,87.97,87.97,89.27,89.24,89.24,89.24
"02000002",100.00,100.00,100.00,100.00,100.00,99.95,99.51,99.15,98.20,97.14,96.81,96.81,99.99,99.99,99.99,99.97,99.97,99.95,99.51,99.15,98.20,97.14,96.81,96.81,100.00,100.00,100.00,99.98,99.98,99.85,99.65,99.45,99.13,97.37,95.99,89.55,57.27,94.46,94.46,94.46,94.46,94.46,94.46,94.46,94.46,94.46,94.46,94.46,94.46,78.08,77.85,77.85,77.85
"02000003",100.00,100.00,100.00,100.00,100.00,99.95,99.67,99.30,98.93,98.61,98.47,98.46,99.98,99.98,99.98,99.97,99.96,99.95,99.67,99.30,98.93,98.61,98.47,98.46,100.00,100.00,100.00,99.96,99.96,99.94,99.82,99.71,99.52,98.30,96.89,91.58,58.36,95.46,95.46,95.46,95.46,95.46,95.46,95.46,95.46,95.46,95.46,95.34,95.30,86.78,86.77,86.70,86.70
"02000004",100.00,100.00,100.00,100.00,100.00,99.88,99.73,99.55,99.15,98.78,98.73,98.73,99.99,99.99,99.98,99.96,99.93,99.88,99.73,99.55,99.15,98.78,98.73,98.73,100.00,100.00,100.00,99.93,99.93,99.77,99.58,99.39,99.04,98.02,96.64,92.37,60.34,94.87,94.87,94.87,94.87,94.87,94.87,94.87,94.87,94.87,94.87,94.86,94.86,92.73,92.73,92.73,92.73
"02000005",100.00,100.00,100.00,100.00,100.00,99.88,99.48,98.99,98.35,97.44,97.02,97.02,99.99,99.99,99.97,99.95,99.93,99.88,99.48,98.99,98.35,97.44,97.02,97.02,100.00,100.00,100.00,99.98,99.98,99.82,99.65,99.51,99.25,98.06,96.29,89.47,57.67,92.97,92.97,92.97,92.97,92.97,92.97,92.97,92.97,92.97,92.97,92.94,92.93,73.99,73.99,73.99,73.99
"02000006",100.00,100.00,100.00,100.00,100.00,99.57,97.11,96.44,93.03,86.74,83.59,83.56,99.93,99.92,99.82,99.67,99.62,99.57,97.11,96.44,93.03,86.74,83.59,83.56,100.00,100.00,100.00,99.75,99.64,98.87,98.55,98.38,98.17,94.61,92.37,81.52,48.03,78.29,78.29,78.29,78.29,78.29,78.29,78.29,78.29,78.29,78.29,78.27,78.26,63.50,63.49,63.48,63.48
"02000007",100.00,100.00,100.00,100.00,100.00,99.60,98.92,98.53,97.78,96.34,95.96,95.94,99.96,99.95,99.81,99.70,99.66,99.60,98.92,98.53,97.78,96.34,95.96,95.94,100.00,100.00,100.00,99.75,99.62,99.16,98.86,98.70,98.45,96.43,94.38,87.87,64.82,93.47,93.47,93.47,93.47,93.47,93.47,93.47,93.45,93.45,93.45,93.44,93.42,74.17,74.16,74.16,74.16
"03255501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04011001",100.00,100.00,100.00,100.00,100.00,99.69,99.11,99.07,98.53,98.40,98.17,98.17,99.93,99.92,99.86,99.78,99.74,99.69,99.11,99.07,98.53,98.40,98.17,98.17,100.00,100.00,100.00,99.91,99.90,99.80,99.24,98.74,97.89,94.29,93.69,90.72,82.48,97.66,97.66,97.66,97.66,97.66,97.66,97.66,97.66,97.66,97.66,97.66,97.66,84.16,84.16,84.16,84.16
"04011002",100.00,100.00,100.00,100.00,100.00,99.55,99.20,98.98,98.50,97.08,95.80,95.80,99.96,99.90,99.84,99.72,99.64,99.55,99.20,98.98,98.50,97.08,95.80,95.80,100.00,100.00,100.00,99.90,99.86,99.77,99.53,99.40,99.17,98.28,97.39,94.28,76.91,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,95.48,7.98,7.98,7.98,7.98
