"AGS";"leitungsg. Technologien ≥ 1 Mbit/s";"leitungsg. Technologien ≥ 2 Mbit/s";"leitungsg. Technologien ≥ 6 Mbit/s";"leitungsg. Technologien ≥ 16 Mbit/s";"leitungsg. Technologien ≥ 30 Mbit/s";"leitungsg. Technologien ≥ 50 Mbit/s";"leitungsg. Technologien ≥ 100 Mbit/s";"leitungsg. Technologien ≥ 200 Mbit/s";"leitungsg. Technologien ≥ 400 Mbit/s";"leitungsg. Technologien ≥ 1000 Mbit/s";"DSL ≥ 1 Mbit/s";"DSL ≥ 2 Mbit/s";"DSL ≥ 6 Mbit/s";"DSL ≥ 16 Mbit/s";"DSL ≥ 30 Mbit/s";"DSL ≥ 50 Mbit/s";"DSL ≥ 100 Mbit/s";"DSL ≥ 200 Mbit/s";"CATV ≥ 1 Mbit/s";"CATV ≥ 2 Mbit/s";"CATV ≥ 6 Mbit/s";"CATV ≥ 16 Mbit/s";"CATV ≥ 30 Mbit/s";"CATV ≥ 50 Mbit/s";"CATV ≥ 100 Mbit/s";"CATV ≥ 200 Mbit/s";"CATV ≥ 400 Mbit/s";"CATV ≥ 1000 Mbit/s";"FTTH/B ≥ 100 Mbit/s";"FTTH/B ≥ 200 Mbit/s";"FTTH/B ≥ 400 Mbit/s";"FTTH/B ≥ 1000 Mbit/s"
"01001000";99.99;99.99;99.16;98.73;98.32;97.88;93.14;92.34;87.03;87.03;99.90;99.90;98.98;94.67;88.53;83.54;45.52;45.52;89.68;89.68;89.68;89.68;89.68;89.51;89.51;87.08;87.03;87.03;0.00;0.00;0.00;0.00
"01002000";99.95;99.95;99.79;97.91;95.56;93.89;88.10;88.08;41.65;0.04;99.90;99.90;99.64;94.16;83.56;67.15;34.80;34.80;85.67;85.67;85.67;85.67;85.67;85.66;85.66;85.63;41.65;0.00;0.04;0.04;0.04;0.04
"01003000";99.94;99.73;99.35;97.56;94.95;93.41;87.84;87.84;86.31;78.06;99.81;99.53;98.77;94.99;86.71;71.81;32.18;32.18;86.31;86.31;86.31;86.31;86.31;86.31;86.31;86.31;86.31;78.06;0.19;0.19;0.19;0.19
"01004000";99.81;99.77;97.75;87.94;86.87;85.90;81.22;81.22;80.26;80.26;99.78;99.75;96.44;70.81;60.31;46.91;2.66;2.66;81.20;81.20;81.20;81.20;81.20;81.15;81.15;81.15;80.26;80.26;0.00;0.00;0.00;0.00
"01051001";99.44;99.44;99.44;96.41;95.47;89.88;34.15;34.15;0.00;0.00;99.44;99.44;99.44;96.41;95.47;89.88;34.15;34.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01051002";87.67;87.67;32.83;10.67;10.67;10.67;0.00;0.00;0.00;0.00;87.67;87.67;32.83;10.67;10.67;10.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01051003";100.00;100.00;15.19;1.76;0.90;0.90;0.00;0.00;0.00;0.00;100.00;100.00;15.19;1.76;0.90;0.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01051004";100.00;100.00;100.00;91.68;77.60;48.84;0.00;0.00;0.00;0.00;100.00;100.00;100.00;91.68;77.60;48.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01051005";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01051006";100.00;100.00;93.10;86.21;57.48;48.28;0.00;0.00;0.00;0.00;100.00;100.00;93.10;86.21;57.48;48.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01051008";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01051010";100.00;100.00;47.40;19.20;19.20;19.20;14.20;14.20;14.20;0.00;100.00;100.00;47.40;9.00;9.00;9.00;0.00;0.00;14.20;14.20;14.20;14.20;14.20;14.20;14.20;14.20;14.20;0.00;0.00;0.00;0.00;0.00
"01051011";99.62;98.64;96.82;94.95;94.52;94.17;90.54;90.54;88.59;0.00;99.59;98.61;96.79;93.36;87.89;83.32;44.89;44.89;88.59;88.59;88.59;88.59;88.59;88.59;88.59;88.59;88.59;0.00;0.00;0.00;0.00;0.00
