"ags";"firmen_in_gwg_gesamt";"firmen_angeschlossen_absolut";"firmen_angeschlossen_prozent";"firmen_anschliessbar_absolut";"firmen_anschliessbar_prozent";"firmen_unangeschlossen_absolut";"firmen_unangeschlossen_prozent"
"01001000";2156;1526;70.8;62;2.9;568;26.3
"01002000";52346;51164;97.7;476;0.9;706;1.3
"01003000";1756;1298;73.9;158;9.0;300;17.1
"01004000";911;362;39.7;113;12.4;436;47.9
"01051001";28;0;0.0;0;0.0;28;100.0
"01051002";0;0;0.0;0;0.0;0;0.0
"01051003";0;0;0.0;0;0.0;0;0.0
"01051004";2;0;0.0;0;0.0;2;100.0
"01051005";0;0;0.0;0;0.0;0;0.0
"01051006";0;0;0.0;0;0.0;0;0.0
"01051008";0;0;0.0;0;0.0;0;0.0
"01051010";0;0;0.0;0;0.0;0;0.0
"01051011";122;4;3.3;0;0.0;118;96.7
"01051012";0;0;0.0;0;0.0;0;0.0
"01051013";30;0;0.0;0;0.0;30;100.0
"01051014";0;0;0.0;0;0.0;0;0.0
"01051015";0;0;0.0;0;0.0;0;0.0
"01051016";0;0;0.0;0;0.0;0;0.0
"01051017";0;0;0.0;0;0.0;0;0.0
"01051019";0;0;0.0;0;0.0;0;0.0
"01051020";0;0;0.0;0;0.0;0;0.0
"01051021";0;0;0.0;0;0.0;0;0.0
"01051022";0;0;0.0;0;0.0;0;0.0
"01051023";0;0;0.0;0;0.0;0;0.0
"01051024";4;0;0.0;0;0.0;4;100.0
"01051026";0;0;0.0;0;0.0;0;0.0
"01051027";0;0;0.0;0;0.0;0;0.0
"01051028";0;0;0.0;0;0.0;0;0.0
"01051030";0;0;0.0;0;0.0;0;0.0
"01051032";0;0;0.0;0;0.0;0;0.0
"01051033";0;0;0.0;0;0.0;0;0.0
"01051034";10;0;0.0;0;0.0;10;100.0
"01051035";0;0;0.0;0;0.0;0;0.0
"01051036";0;0;0.0;0;0.0;0;0.0
"01051037";0;0;0.0;0;0.0;0;0.0
"01051038";0;0;0.0;0;0.0;0;0.0
