"AGS";"alle Technologien ≥ 1 Mbit/s";"alle Technologien ≥ 2 Mbit/s";"alle Technologien ≥ 6 Mbit/s";"alle Technologien ≥ 16 Mbit/s";"alle Technologien ≥ 30 Mbit/s";"alle Technologien ≥ 50 Mbit/s";"alle Technologien ≥ 100 Mbit/s";"alle Technologien ≥ 200 Mbit/s";"alle Technologien ≥ 400 Mbit/s";"alle Technologien ≥ 1000 Mbit/s";"leitungsg. Technologien ≥ 1 Mbit/s";"leitungsg. Technologien ≥ 2 Mbit/s";"leitungsg. Technologien ≥ 6 Mbit/s";"leitungsg. Technologien ≥ 16 Mbit/s";"leitungsg. Technologien ≥ 30 Mbit/s";"leitungsg. Technologien ≥ 50 Mbit/s";"leitungsg. Technologien ≥ 100 Mbit/s";"leitungsg. Technologien ≥ 200 Mbit/s";"leitungsg. Technologien ≥ 400 Mbit/s";"leitungsg. Technologien ≥ 1000 Mbit/s";"mobile Technologien ≥ 1 Mbit/s";"mobile Technologien ≥ 2 Mbit/s";"mobile Technologien ≥ 6 Mbit/s";"DSL ≥ 1 Mbit/s";"DSL ≥ 2 Mbit/s";"DSL ≥ 6 Mbit/s";"DSL ≥ 16 Mbit/s";"DSL ≥ 30 Mbit/s";"DSL ≥ 50 Mbit/s";"DSL ≥ 100 Mbit/s";"DSL ≥ 200 Mbit/s";"CATV ≥ 1 Mbit/s";"CATV ≥ 2 Mbit/s";"CATV ≥ 6 Mbit/s";"CATV ≥ 16 Mbit/s";"CATV ≥ 30 Mbit/s";"CATV ≥ 50 Mbit/s";"CATV ≥ 100 Mbit/s";"CATV ≥ 200 Mbit/s";"CATV ≥ 400 Mbit/s";"CATV ≥ 1000 Mbit/s";"FTTH/B ≥ 100 Mbit/s";"FTTH/B ≥ 200 Mbit/s";"FTTH/B ≥ 400 Mbit/s";"FTTH/B ≥ 1000 Mbit/s"
"01001000";100;100;100;100;99;98;95;94;92;92;100;100;100;100;99;98;95;94;92;92;100;100;98;100;100;100;99;92;88;48;48;93;93;93;93;93;93;92;92;92;92;13;13;13;13
"01002000";100;100;100;100;98;98;93;93;41;21;100;100;100;100;98;97;93;93;41;21;100;100;100;100;100;100;100;87;74;47;47;92;92;92;92;92;92;90;90;41;0;21;21;21;21
"01003000";100;100;100;99;98;97;92;92;90;84;100;100;100;99;98;97;92;92;90;84;100;100;100;100;100;99;99;92;82;43;43;91;91;91;91;91;91;90;90;90;84;3;3;3;3
"01004000";100;100;100;99;98;98;92;89;88;88;100;100;100;99;98;98;92;89;88;88;100;100;100;100;100;100;96;68;62;4;4;92;92;92;92;92;92;89;89;88;88;28;28;28;28
"01051001";100;100;100;97;96;95;45;45;0;0;99;99;99;97;96;95;45;45;0;0;100;97;96;99;99;99;97;96;95;45;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01051002";99;99;89;16;15;15;0;0;0;0;92;92;29;16;15;15;0;0;0;0;93;93;89;92;92;29;16;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01051003";100;100;99;94;94;94;94;94;94;94;98;98;96;94;94;94;94;94;94;94;61;59;59;98;97;20;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0;94;94;94;94
"01051004";100;100;100;91;70;55;0;0;0;0;99;99;98;91;70;55;0;0;0;0;65;65;62;99;99;98;91;70;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01051005";100;100;100;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;100;100;100;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01051006";100;100;99;75;72;63;0;0;0;0;99;98;84;75;72;63;0;0;0;0;100;100;65;99;98;84;75;72;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01051008";100;90;80;1;1;1;0;0;0;0;86;35;1;1;1;1;0;0;0;0;83;83;80;86;35;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01051010";100;100;100;85;85;85;74;74;74;74;100;99;89;85;85;85;74;74;74;74;100;100;100;100;99;26;15;15;15;0;0;2;2;2;2;2;2;2;2;2;0;74;74;74;74
"01051011";100;100;100;96;96;94;90;90;88;0;99;99;97;96;96;94;90;90;88;0;100;100;100;99;99;97;95;92;88;42;42;89;89;89;89;89;89;88;88;88;0;0;0;0;0
"01051012";100;100;100;87;87;87;81;81;81;81;94;93;88;87;87;87;81;81;81;81;100;100;100;94;93;53;50;50;48;0;0;0;0;0;0;0;0;0;0;0;0;81;81;81;81
"01051013";100;100;100;99;99;99;92;92;91;0;100;100;100;99;99;99;92;92;91;0;100;100;99;100;100;100;98;98;96;20;20;93;93;93;93;93;93;91;91;91;0;0;0;0;0
"01051014";100;100;100;100;100;99;65;65;64;0;100;100;100;100;100;99;65;65;64;0;100;100;100;100;100;100;99;99;99;35;35;68;68;68;68;68;68;64;64;64;0;0;0;0;0
