"AGS";"alle Technologien ≥ 1 Mbit/s";"alle Technologien ≥ 2 Mbit/s";"alle Technologien ≥ 6 Mbit/s";"alle Technologien ≥ 16 Mbit/s";"alle Technologien ≥ 30 Mbit/s";"alle Technologien ≥ 50 Mbit/s";"alle Technologien ≥ 100 Mbit/s";"alle Technologien ≥ 200 Mbit/s";"alle Technologien ≥ 400 Mbit/s";"alle Technologien ≥ 1000 Mbit/s";"leitungsg. Technologien ≥ 1 Mbit/s";"leitungsg. Technologien ≥ 2 Mbit/s";"leitungsg. Technologien ≥ 6 Mbit/s";"leitungsg. Technologien ≥ 16 Mbit/s";"leitungsg. Technologien ≥ 30 Mbit/s";"leitungsg. Technologien ≥ 50 Mbit/s";"leitungsg. Technologien ≥ 100 Mbit/s";"leitungsg. Technologien ≥ 200 Mbit/s";"leitungsg. Technologien ≥ 400 Mbit/s";"leitungsg. Technologien ≥ 1000 Mbit/s";"mobile Technologien ≥ 1 Mbit/s";"mobile Technologien ≥ 2 Mbit/s";"mobile Technologien ≥ 6 Mbit/s";"DSL ≥ 1 Mbit/s";"DSL ≥ 2 Mbit/s";"DSL ≥ 6 Mbit/s";"DSL ≥ 16 Mbit/s";"DSL ≥ 30 Mbit/s";"DSL ≥ 50 Mbit/s";"DSL ≥ 100 Mbit/s";"DSL ≥ 200 Mbit/s";"CATV ≥ 1 Mbit/s";"CATV ≥ 2 Mbit/s";"CATV ≥ 6 Mbit/s";"CATV ≥ 16 Mbit/s";"CATV ≥ 30 Mbit/s";"CATV ≥ 50 Mbit/s";"CATV ≥ 100 Mbit/s";"CATV ≥ 200 Mbit/s";"CATV ≥ 400 Mbit/s";"CATV ≥ 1000 Mbit/s";"FTTH/B ≥ 100 Mbit/s";"FTTH/B ≥ 200 Mbit/s";"FTTH/B ≥ 400 Mbit/s";"FTTH/B ≥ 1000 Mbit/s"
"01001000";100;100;100;100;99.02;98.89;97.71;96.29;95.27;95.23;100;100;100;100;99.02;98.89;97.71;96.29;95.27;95.23;100.00;99.97;98.15;100;100;100;99;94.77;93.19;84.02;64.03;94.00;94.00;94.00;94.00;94.00;94.00;94.00;93.99;93.99;93.95;13.27;13.27;13.27;13.27
"01002000";100;100;100;100;98.92;98.67;97.19;95.89;61.62;28.13;100;100;100;100;98.75;98.37;97.19;95.89;61.62;28.13;99.95;99.74;99.10;100;100;100;100;90.24;78.40;72.82;56.84;93.53;93.53;93.53;93.53;93.53;93.53;93.53;93.53;50.60;8.48;21.45;21.45;21.45;21.45
"01003000";100;100;100;99.19;98.36;97.94;96.38;94.54;93.18;87.01;100;100;100;99.19;98.36;97.94;96.38;94.54;93.18;87.01;99.99;99.94;99.21;100;100;99;99;94.33;88.87;80.27;53.47;92.83;92.83;92.83;92.83;92.83;92.83;92.83;92.83;92.83;86.64;3;3;3;3
"01004000";100;100;100;99;98.35;98.12;96.42;95.91;95.26;95.26;100;100;100;99;98.35;98.12;96.42;95.91;95.26;95.26;100.00;100.00;100.00;100;100;100;96;73.02;66.48;53.74;28.91;93.11;93.11;93.11;93.11;93.11;93.11;93.11;93.11;92.86;92.86;28;28;28;28
"01051001";100;100;100;97.65;96.61;95.93;78.50;48.48;0;0;99.27;99.27;99.14;97.65;96.61;95.93;78.50;48.48;0;0;99.94;95.39;93.72;99.27;99.27;99.14;97.65;96.61;95.93;78.50;48.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01051002";100.00;99;91.63;19.81;18.72;18.72;0;0;0;0;92;92;36.82;19.81;18.72;18.72;0;0;0;0;92.39;84.78;79.35;92;92;36.82;19.81;18.72;18.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01051003";100;100;99;94;94;94;94;94;94;94;98;98;96;94;94;94;94;94;94;94;49.95;48.66;38.49;98;97;20;4;3.23;3.23;0;0;0;0;0;0;0;0;0;0;0;0;94;94;94;94
"01051004";100;100;100;91.55;81.37;69.53;29.38;0;0;0;99.74;99.74;98.66;91.55;81.37;69.53;29.38;0;0;0;52.74;52.74;46.02;99.74;99.74;98.66;91.55;81.37;69.53;29.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01051005";100;100;100;28.33;2.47;1.23;0;0;0;0;96.53;96.53;91.60;28.33;2.47;1.23;0;0;0;0;100.00;100.00;100.00;96.53;96.53;91.60;28.33;2.47;1.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01051006";100;100;99;75.50;72.30;67.99;47.65;18.42;0;0;99.41;98.05;84;75.50;72.30;67.99;47.65;18.42;0;0;100.00;100.00;45.81;99.41;98.05;84;75.50;72.30;67.99;47.65;18.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0
