"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_plc_1";"verf_plc_2";"verf_plc_6";"verf_plc_16";"verf_plc_30";"verf_plc_50";"verf_plc_100";"verf_plc_200";"verf_plc_400";"verf_plc_1000"
"01001";99.99;99.99;99.16;98.73;98.32;97.88;93.14;92.34;87.03;87.03;99.90;99.90;98.98;94.67;88.53;83.54;45.52;45.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;89.68;89.68;89.68;89.68;89.68;89.51;89.51;87.08;87.03;87.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01002";99.95;99.95;99.79;97.91;95.56;93.89;88.10;88.08;41.65;0.04;99.90;99.90;99.64;94.16;83.56;67.15;34.80;34.80;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;85.67;85.67;85.67;85.67;85.67;85.66;85.66;85.63;41.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01003";99.94;99.73;99.35;97.56;94.95;93.41;87.84;87.84;86.31;78.06;99.81;99.53;98.77;94.99;86.71;71.81;32.18;32.18;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;86.31;86.31;86.31;86.31;86.31;86.31;86.31;86.31;86.31;78.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01004";99.81;99.77;97.75;87.94;86.87;85.90;81.22;81.22;80.26;80.26;99.78;99.75;96.44;70.81;60.31;46.91;2.66;2.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;81.20;81.20;81.20;81.20;81.20;81.15;81.15;81.15;80.26;80.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01051";98.37;97.27;89.18;83.01;79.90;76.94;50.25;50.25;42.81;0.00;98.35;97.25;89.14;81.85;76.08;71.08;18.72;18.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;42.81;42.81;42.81;42.81;42.81;42.81;42.81;42.81;42.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01053";95.81;94.68;88.31;84.93;83.20;81.13;68.63;68.61;43.00;3.86;94.86;93.56;86.23;81.03;75.27;65.23;22.28;22.28;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;65.14;65.14;65.14;65.14;65.14;65.14;65.14;65.14;42.66;3.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01054";95.67;93.37;83.02;75.40;71.90;68.82;46.83;46.83;42.85;0.02;95.55;93.24;82.45;73.47;67.60;61.23;10.60;10.59;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;42.85;42.85;42.85;42.85;42.85;42.85;42.85;42.85;42.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01055";97.98;96.32;90.29;86.61;85.63;83.87;67.35;67.35;64.78;55.56;97.49;95.68;89.23;83.03;80.19;75.05;28.75;28.75;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;64.78;64.78;64.78;64.78;64.78;64.78;64.78;64.78;64.78;55.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01056";99.35;99.14;96.97;93.55;91.15;88.94;75.80;75.80;69.02;68.97;99.28;99.04;96.42;91.21;83.20;73.43;23.03;23.02;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;73.94;73.94;73.94;73.94;73.94;73.94;73.94;73.94;68.92;68.87;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01057";97.85;96.76;90.58;85.61;83.92;81.50;56.32;56.32;37.61;22.40;95.93;94.59;86.47;80.05;75.37;68.30;14.49;14.49;10.59;10.59;10.59;10.59;10.59;10.59;10.59;10.59;10.59;10.59;42.52;42.52;42.52;42.52;42.52;42.52;42.52;42.52;27.08;11.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01058";95.87;94.22;84.97;77.93;74.72;70.52;54.18;54.18;45.97;27.14;95.85;94.16;84.24;74.80;65.31;52.99;15.14;15.14;0.11;0.11;0.11;0.11;0.11;0.11;0.11;0.11;0.11;0.11;50.32;50.32;50.32;50.32;50.32;50.32;50.32;50.32;45.91;27.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01059";96.24;94.25;81.72;71.42;66.87;62.17;39.70;39.67;26.43;24.27;96.21;94.22;81.59;68.87;62.10;55.48;11.53;11.50;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;36.30;36.30;36.30;36.30;36.30;36.30;36.30;36.30;26.43;24.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01060";96.92;95.80;86.52;78.66;77.13;75.57;66.40;66.40;41.71;16.51;95.52;93.96;79.02;55.81;51.93;47.99;10.09;10.09;13.80;13.80;13.80;13.80;13.80;13.80;13.80;13.80;13.80;13.80;57.43;57.43;57.43;57.43;57.43;57.43;57.43;57.43;34.33;4.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01061";95.55;92.64;83.20;75.12;72.87;71.44;57.74;57.74;54.08;6.49;94.77;91.29;78.49;68.16;62.52;53.38;16.60;16.60;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;54.01;54.01;54.01;54.01;54.01;54.01;54.01;54.01;54.01;6.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01062";98.77;98.08;95.06;92.67;91.26;88.96;73.57;73.56;37.60;19.18;97.95;97.02;93.21;89.96;84.30;74.34;15.61;15.61;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;69.35;69.35;69.35;69.35;69.35;69.35;69.35;69.35;37.58;18.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"02000";99.97;99.95;99.54;98.44;96.97;95.66;89.11;88.89;87.37;87.28;99.90;99.87;99.26;95.58;87.45;75.47;18.10;18.08;4.44;4.44;4.44;4.44;4.44;4.44;4.44;4.44;4.44;4.44;87.43;87.43;87.43;87.42;87.42;87.42;87.42;87.37;87.30;87.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03101";99.83;99.71;97.95;94.36;93.02;90.88;82.72;82.72;79.23;79.15;99.82;99.67;97.00;92.14;84.83;74.18;33.49;33.49;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;79.67;79.67;79.67;79.67;79.67;79.67;79.67;79.67;79.23;79.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03102";99.54;99.54;97.72;95.87;92.93;90.95;82.16;82.16;22.92;0.00;99.52;99.52;97.65;95.44;88.28;80.70;52.26;52.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;75.74;75.74;75.74;75.74;75.74;75.74;75.74;75.74;22.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03103";98.57;97.65;92.47;83.02;81.77;80.98;77.16;77.16;76.56;0.03;96.18;94.19;83.61;59.10;48.11;35.86;13.63;13.63;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;76.55;76.55;76.55;76.55;76.55;76.55;76.55;76.55;76.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03151";98.62;97.72;89.69;81.03;78.46;73.49;43.77;43.77;36.98;30.08;98.15;96.76;85.77;68.18;65.28;59.62;15.79;15.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;36.98;36.98;36.98;36.98;36.98;36.98;36.98;36.98;36.98;30.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03152";98.99;98.77;95.71;92.81;90.53;86.83;67.26;67.26;59.73;59.73;98.67;98.26;94.84;90.41;84.88;77.10;38.89;38.89;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;59.71;59.71;59.71;59.71;59.71;59.71;59.71;59.71;59.71;59.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03153";99.94;99.94;98.96;96.02;94.68;92.61;73.78;70.34;53.88;53.88;99.92;99.91;98.65;93.68;89.64;84.51;30.99;30.99;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;67.22;67.22;67.22;67.22;67.22;67.22;67.22;63.50;53.76;53.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03154";93.99;92.54;83.37;80.88;78.14;74.44;56.54;56.54;1.74;1.74;92.50;90.58;81.08;77.80;73.69;68.24;27.80;27.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;47.88;47.88;47.88;47.88;47.88;47.88;47.88;47.88;1.74;1.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03155";98.08;96.48;87.50;83.78;82.38;79.63;61.99;61.99;34.68;4.34;97.49;95.70;85.34;77.80;70.62;60.97;8.93;8.93;0.10;0.10;0.10;0.10;0.10;0.10;0.10;0.10;0.10;0.10;58.75;58.75;58.75;58.75;58.75;58.75;58.75;58.75;34.68;4.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03156";99.75;99.68;99.08;96.82;94.11;89.35;67.04;61.90;57.39;57.39;99.67;99.42;97.91;94.93;89.10;77.37;12.44;12.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;65.38;65.38;65.38;65.38;65.38;65.38;65.38;57.39;57.39;57.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03157";96.72;94.96;84.45;75.54;73.37;71.02;63.40;63.40;55.07;55.07;96.13;93.50;80.82;67.55;62.62;57.92;22.97;22.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.15;60.15;60.15;60.15;60.15;60.15;60.15;60.15;55.07;55.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03158";94.58;90.78;74.46;62.89;58.88;54.92;52.96;52.96;5.29;4.81;93.77;88.21;65.96;22.82;13.22;4.80;0.45;0.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;52.65;52.65;52.65;52.65;52.65;52.65;52.65;52.65;5.29;4.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03241";99.06;98.39;95.38;92.72;91.18;89.63;82.79;82.72;74.70;56.64;98.79;97.93;93.93;88.18;83.14;77.39;54.24;54.23;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;78.02;78.02;78.02;78.02;78.02;78.02;78.02;77.96;74.69;56.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03251";99.34;98.17;91.28;83.96;82.27;78.35;61.57;56.24;46.25;31.34;99.26;97.95;90.62;82.41;79.99;73.13;30.38;17.20;6.35;6.35;6.35;6.35;6.35;6.35;6.35;6.35;6.35;6.35;47.86;47.86;47.86;47.86;47.86;47.86;47.86;47.86;41.36;26.36;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03252";99.56;98.85;93.21;85.84;83.28;79.32;60.62;60.61;56.33;0.02;99.52;98.73;92.62;84.39;78.63;70.48;11.85;11.78;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;56.33;56.33;56.33;56.33;56.33;56.33;56.33;56.33;56.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03254";96.48;93.76;87.01;82.70;80.38;77.89;63.98;63.27;55.01;55.01;96.37;93.51;85.96;78.12;72.63;66.31;28.12;28.12;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;55.71;55.71;55.71;55.71;55.71;55.71;55.71;55.00;55.00;55.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03255";98.36;97.12;91.57;86.80;83.42;79.11;52.73;52.73;3.20;0.00;98.31;96.75;90.85;80.41;73.68;62.13;6.96;6.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;49.29;49.29;49.29;49.29;49.29;49.29;49.29;49.29;3.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03256";96.64;93.65;77.62;64.58;62.65;61.28;52.12;52.12;25.11;0.00;95.73;92.65;74.18;58.49;55.67;52.29;22.76;22.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;47.41;47.41;47.41;47.41;47.41;47.41;47.41;47.41;25.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03257";99.84;99.56;97.33;93.53;90.23;83.58;58.30;58.30;52.97;42.92;99.58;99.19;96.76;92.08;83.81;72.64;21.52;21.52;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;0.13;52.97;52.97;52.97;52.97;52.97;52.97;52.97;52.97;52.97;42.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03351";98.83;97.90;92.09;88.28;85.95;83.01;60.41;60.41;50.48;42.01;97.97;96.43;89.37;84.69;79.82;74.55;34.48;34.48;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;50.48;50.48;50.48;50.48;50.48;50.48;50.48;50.48;50.48;42.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03352";99.68;99.26;96.56;95.02;94.00;89.00;69.51;61.01;60.15;53.60;99.35;98.87;95.79;93.16;90.62;81.39;29.57;15.02;23.13;23.13;23.13;23.13;23.13;23.13;23.13;23.13;23.13;23.13;55.22;55.22;55.22;55.22;55.22;55.22;55.22;55.22;55.22;48.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
