"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000"
"01001";99.99;99.99;99.16;98.73;98.32;97.88;93.14;92.34;87.03;87.03;99.90;99.90;98.98;94.67;88.53;83.54;45.52;45.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;89.68;89.68;89.68;89.68;89.68;89.51;89.51;87.08;87.03;87.03
"01002";99.95;99.95;99.79;97.91;95.56;93.89;88.10;88.08;41.65;0.04;99.90;99.90;99.64;94.16;83.56;67.15;34.80;34.80;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;85.67;85.67;85.67;85.67;85.67;85.66;85.66;85.63;41.65;0.00
"01003";99.94;99.73;99.35;97.56;94.95;93.41;87.84;87.84;86.31;78.06;99.81;99.53;98.77;94.99;86.71;71.81;32.18;32.18;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;86.31;86.31;86.31;86.31;86.31;86.31;86.31;86.31;86.31;78.06
"01004";99.81;99.77;97.75;87.94;86.87;85.90;81.22;81.22;80.26;80.26;99.78;99.75;96.44;70.81;60.31;46.91;2.66;2.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;81.20;81.20;81.20;81.20;81.20;81.15;81.15;81.15;80.26;80.26
"01051";98.28;97.15;88.88;82.60;79.42;76.43;49.68;49.68;42.21;0.00;98.26;97.12;88.84;81.46;75.65;70.65;18.56;18.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;42.21;42.21;42.21;42.21;42.21;42.21;42.21;42.21;42.21;0.00
"01053";95.76;94.63;88.26;84.88;83.15;81.08;68.59;68.57;42.84;3.77;94.81;93.51;86.17;80.97;75.20;65.15;22.24;22.24;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.40;65.10;65.10;65.10;65.10;65.10;65.10;65.10;65.10;42.49;3.42
"01054";95.71;93.33;83.02;75.45;72.00;68.98;47.54;47.54;43.68;0.03;95.59;93.20;82.44;73.50;67.69;61.40;10.74;10.73;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;43.68;43.68;43.68;43.68;43.68;43.68;43.68;43.68;43.68;0.00
"01055";97.98;96.34;90.22;86.51;85.53;83.79;67.35;67.34;64.79;55.67;97.48;95.68;89.11;82.62;79.74;74.62;28.60;28.60;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;64.79;64.79;64.79;64.79;64.79;64.79;64.79;64.79;64.79;55.67
"01056";99.36;99.15;97.05;93.66;91.28;89.08;75.93;75.93;69.16;69.11;99.29;99.06;96.50;91.33;83.31;73.54;23.10;23.10;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;0.16;74.06;74.06;74.06;74.06;74.06;74.06;74.06;74.06;69.05;69.00
"01057";97.80;96.72;90.62;85.55;83.87;81.47;55.97;55.97;37.25;22.24;95.91;94.59;86.59;80.11;75.48;68.48;14.44;14.44;10.26;10.26;10.26;10.26;10.26;10.26;10.26;10.26;10.26;10.26;42.39;42.39;42.39;42.39;42.39;42.39;42.39;42.39;27.05;11.98
"01058";95.82;94.17;84.89;77.85;74.69;70.52;54.20;54.20;46.06;27.34;95.80;94.11;84.17;74.74;65.28;52.94;15.16;15.16;0.10;0.10;0.10;0.10;0.10;0.10;0.10;0.10;0.10;0.10;50.35;50.35;50.35;50.35;50.35;50.35;50.35;50.35;46.00;27.26
"01059";96.17;94.19;81.71;71.47;66.92;62.24;39.75;39.72;26.41;24.21;96.15;94.16;81.58;68.91;62.13;55.53;11.51;11.48;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;36.39;36.39;36.39;36.39;36.39;36.39;36.39;36.39;26.41;24.21
"01060";96.94;95.83;86.60;78.55;77.03;75.47;66.24;66.24;41.37;16.25;95.56;94.02;79.11;55.61;51.71;47.78;10.05;10.05;13.48;13.48;13.48;13.48;13.48;13.48;13.48;13.48;13.48;13.48;57.48;57.48;57.48;57.48;57.48;57.48;57.48;57.48;34.20;4.30
"01061";95.62;92.76;83.34;75.26;73.01;71.57;57.88;57.88;54.28;6.52;94.84;91.42;78.63;68.28;62.62;53.44;16.59;16.59;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;54.20;54.20;54.20;54.20;54.20;54.20;54.20;54.20;54.20;6.45
"01062";98.78;98.11;95.10;92.72;91.33;89.03;73.67;73.66;37.59;19.12;97.96;97.04;93.24;90.01;84.33;74.36;15.58;15.57;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;0.31;69.45;69.45;69.45;69.45;69.45;69.45;69.45;69.45;37.57;18.93
"02000";99.97;99.95;99.54;98.44;96.97;95.66;89.11;88.89;87.37;87.28;99.90;99.87;99.26;95.58;87.45;75.47;18.10;18.08;4.44;4.44;4.44;4.44;4.44;4.44;4.44;4.44;4.44;4.44;87.43;87.43;87.43;87.42;87.42;87.42;87.42;87.37;87.30;87.27
"03101";99.83;99.71;97.95;94.36;93.02;90.88;82.72;82.72;79.23;79.15;99.82;99.67;97.00;92.14;84.83;74.18;33.49;33.49;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;79.67;79.67;79.67;79.67;79.67;79.67;79.67;79.67;79.23;79.15
"03102";99.54;99.54;97.72;95.87;92.93;90.95;82.16;82.16;22.92;0.00;99.52;99.52;97.65;95.44;88.28;80.70;52.26;52.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;75.74;75.74;75.74;75.74;75.74;75.74;75.74;75.74;22.92;0.00
"03103";98.57;97.65;92.47;83.02;81.77;80.98;77.16;77.16;76.56;0.03;96.18;94.19;83.61;59.10;48.11;35.86;13.63;13.63;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;76.55;76.55;76.55;76.55;76.55;76.55;76.55;76.55;76.55;0.00
"03151";98.63;97.74;89.74;81.08;78.53;73.61;43.85;43.85;37.05;30.23;98.16;96.79;85.87;68.23;65.34;59.75;15.86;15.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;37.05;37.05;37.05;37.05;37.05;37.05;37.05;37.05;37.05;30.23
"03152";99.03;98.81;95.65;92.63;90.35;86.65;66.96;66.96;59.51;59.51;98.71;98.30;94.78;90.23;84.72;76.96;38.70;38.70;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;59.50;59.50;59.50;59.50;59.50;59.50;59.50;59.50;59.50;59.50
"03153";99.94;99.94;98.96;96.04;94.69;92.62;73.89;70.45;53.92;53.92;99.92;99.91;98.66;93.70;89.66;84.53;31.09;31.09;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;67.33;67.33;67.33;67.33;67.33;67.33;67.33;63.61;53.80;53.80
"03154";94.01;92.56;83.36;80.89;78.16;74.49;56.69;56.69;1.76;1.76;92.45;90.50;80.97;77.68;73.59;68.16;27.62;27.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;48.11;48.11;48.11;48.11;48.11;48.11;48.11;48.11;1.76;1.76
