"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000"
"01001";100.00;100.00;100.00;99.99;99.99;99.96;99.71;99.71;98.87;95.39;90.93;90.93;99.84;99.84;99.84;99.84;99.80;99.34;98.83;98.70;93.76;78.67;89.19;89.19;89.19;89.19;89.19;89.19;89.19;89.19;89.19;89.19;89.19;89.19;4.77;4.77;4.77;4.77
"01002";99.96;99.96;99.96;99.96;99.96;99.95;99.02;98.73;97.74;95.53;84.30;76.87;99.96;99.96;99.96;99.96;99.81;99.28;97.68;96.85;93.34;82.50;88.95;88.95;88.95;88.95;88.95;88.95;88.95;88.95;88.95;88.95;78.22;68.84;20.38;20.38;20.38;20.38
"01003";99.95;99.95;99.88;99.82;99.82;99.77;99.18;98.88;97.94;95.05;92.98;90.03;99.87;99.78;99.60;99.42;99.40;99.22;97.34;96.39;91.47;75.21;92.27;92.27;92.27;92.27;92.27;92.27;92.27;92.27;92.27;92.27;92.27;89.27;4.61;4.61;4.61;4.61
"01004";99.90;99.88;99.83;99.57;99.53;99.07;95.97;95.75;90.78;86.85;84.11;84.11;99.73;99.69;99.58;98.50;98.32;95.97;91.57;90.67;84.49;69.30;83.20;83.20;83.20;83.20;83.20;83.20;83.20;83.20;83.20;83.20;83.18;83.18;1.56;1.56;1.56;1.56
"01051";98.82;97.85;97.14;93.42;93.27;92.63;86.32;85.39;76.46;65.27;46.41;34.99;98.59;97.55;96.78;91.46;91.30;90.43;82.46;81.37;75.04;57.74;45.51;45.51;45.51;45.51;45.51;45.51;45.51;45.51;45.51;45.51;45.51;34.05;1.24;1.24;1.24;1.24
"01053";99.63;99.51;99.34;98.93;98.91;98.72;98.23;98.13;93.69;89.89;82.35;78.10;97.47;95.82;93.41;89.65;89.52;88.39;84.84;83.56;75.41;56.40;65.84;65.84;65.84;65.84;65.84;65.84;65.84;65.84;65.84;65.84;60.93;50.42;46.13;46.13;46.13;46.13
"01054";98.47;97.64;96.68;94.71;94.63;94.27;90.83;90.46;84.33;78.97;69.82;52.03;96.43;94.85;92.89;88.73;88.56;87.65;81.85;81.00;69.81;49.31;47.46;47.46;47.46;47.46;47.46;47.46;47.46;47.46;47.46;47.46;47.46;23.50;29.62;29.62;29.62;29.62
"01055";98.72;98.03;97.32;94.80;94.68;94.10;91.47;90.99;86.55;79.19;70.46;67.94;98.42;97.68;96.86;94.09;93.96;93.26;90.04;89.34;82.87;67.73;69.83;69.83;69.83;69.83;69.83;69.83;69.83;69.83;69.83;69.83;69.83;67.29;1.62;1.62;1.62;1.62
"01056";99.70;99.56;99.09;98.62;98.57;98.03;95.50;95.13;90.80;86.87;81.77;81.77;99.40;99.00;98.02;97.01;96.89;96.06;92.11;91.05;83.51;63.87;77.68;77.68;77.68;77.68;77.68;77.68;77.68;77.68;77.68;77.68;74.19;74.14;30.92;30.91;30.91;30.91
"01057";98.94;98.47;97.57;95.37;95.30;94.97;92.28;91.74;86.85;79.48;62.58;58.75;97.36;96.15;94.61;89.75;89.59;88.69;82.86;82.03;75.81;58.36;45.72;45.72;45.72;45.72;45.72;45.72;45.72;45.72;45.72;45.72;42.21;38.33;21.93;21.93;21.93;21.93
"01058";98.89;98.12;97.29;95.19;95.13;94.67;88.02;87.43;77.56;70.53;60.67;56.86;97.77;96.56;94.11;90.19;90.08;88.80;79.84;78.79;70.29;53.53;55.94;55.94;55.94;55.94;55.94;55.94;55.94;55.94;55.94;55.94;55.28;51.33;9.07;9.07;9.07;9.07
