"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_1000"
"06437";99.87;99.82;99.61;98.73;94.29;94.11;54.82;50.71;50.71;10.89;97.67;97.44;96.08;87.89;73.68;72.91;6.15;0.00;48.31;48.31;48.31;48.31;48.31;48.31;48.31;48.31;48.31;0.00;10.89
"16054";88.68;88.68;86.90;81.08;75.06;68.51;49.28;31.96;26.18;0.30;88.34;88.34;86.50;76.48;72.80;66.25;42.30;9.49;25.89;25.89;25.89;25.89;25.89;25.89;25.89;25.89;25.89;0.00;0.30
"15083";90.10;89.07;85.47;76.58;72.00;66.84;52.15;36.44;23.20;19.99;89.05;87.75;83.25;71.81;68.74;64.65;50.77;33.29;8.06;8.06;8.06;8.06;8.06;8.06;8.06;8.06;3.21;0.00;19.99
"16069";90.82;90.78;90.32;85.76;80.18;76.87;58.92;42.23;28.92;23.74;89.82;89.55;88.14;83.36;77.32;75.29;56.20;38.22;21.16;21.16;21.16;21.16;21.16;21.16;21.16;21.16;21.16;0.00;23.74
"06634";92.17;90.27;78.32;65.79;53.72;50.92;40.52;36.59;29.87;0.70;91.20;89.44;74.95;56.60;52.16;48.29;37.59;24.79;29.87;29.87;29.87;29.87;29.87;29.87;29.87;29.87;29.87;0.67;0.03
"15081";92.68;91.97;91.04;84.20;80.95;76.48;51.15;31.82;0.00;0.00;91.72;91.56;90.63;83.89;80.83;76.36;50.46;22.45;23.61;23.61;23.61;23.61;23.61;23.61;23.61;23.61;0.00;0.00;0.00
"14522";92.94;92.64;89.88;79.57;77.49;75.20;61.17;37.12;10.19;9.46;91.28;91.10;86.56;72.12;70.48;67.98;54.45;27.15;14.80;14.80;14.80;14.80;14.80;14.80;14.60;11.82;0.84;0.00;9.46
"15089";93.15;91.39;83.84;66.54;59.14;53.52;38.56;26.79;11.03;0.69;90.85;87.59;74.50;53.27;51.14;45.67;30.59;17.96;16.92;16.92;16.92;16.92;16.92;16.92;16.92;16.92;10.35;0.00;0.69
"15082";93.23;92.82;89.14;75.16;73.14;68.72;49.44;31.58;24.16;20.38;91.03;90.60;85.13;70.57;67.36;62.60;44.60;18.80;5.05;5.05;5.05;5.05;5.05;5.05;5.05;5.05;4.71;0.00;20.38
"13076";93.25;92.66;88.89;75.57;73.60;69.99;46.59;28.27;18.91;2.80;90.60;89.73;83.68;69.06;66.75;62.67;43.25;21.21;18.83;18.83;18.83;18.83;18.83;18.83;18.83;18.83;18.83;2.72;0.08
