"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000"
"01001";100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.03;96.66;80.67;80.67;99.49;99.49;99.49;99.49;99.31;98.63;98.28;98.28;92.61;79.70;71.85;71.85;71.85;71.85;71.85;71.85;71.85;71.85;71.85;71.85;71.85;71.85;10.08;10.08;10.08;10.08
"01002";99.90;99.90;99.90;99.90;99.90;99.90;96.67;95.46;93.85;90.66;71.07;63.54;99.90;99.90;99.90;99.90;99.90;99.89;94.36;91.55;87.46;73.95;62.73;62.73;62.73;62.73;62.73;62.73;62.73;62.73;62.73;62.73;47.17;33.08;37.57;37.57;37.57;37.57
"01003";99.94;99.94;99.88;99.88;99.88;99.88;99.08;98.41;95.83;84.71;78.16;76.11;99.01;98.95;98.63;98.58;98.50;98.10;96.12;94.83;85.27;60.09;76.51;76.51;76.51;76.51;76.51;76.51;76.51;76.51;76.51;76.51;76.51;74.46;13.57;13.57;13.57;13.57
"01004";100.00;99.88;99.88;99.00;98.97;98.23;85.76;85.07;69.51;55.46;47.84;47.84;100.00;99.78;99.78;95.82;95.75;94.89;79.25;77.33;63.90;41.37;44.43;44.43;44.43;44.43;44.43;44.43;44.43;44.43;44.43;44.43;44.43;44.43;4.36;4.36;4.36;4.36
"01051";99.76;99.76;99.76;99.72;99.72;99.72;93.59;89.92;74.60;58.38;38.91;20.31;99.76;99.76;99.76;99.30;99.30;99.30;92.81;88.40;72.28;49.28;35.54;35.54;35.54;35.54;35.54;35.54;35.54;35.54;35.54;35.54;35.54;16.94;3.61;3.61;3.61;3.61
"01053";99.85;99.84;99.83;99.53;99.53;99.52;98.85;98.85;92.71;85.19;72.58;68.37;98.77;97.83;94.96;93.40;93.29;91.86;88.35;87.48;75.84;53.24;56.08;56.08;56.08;56.08;56.08;56.08;56.08;56.08;56.08;56.08;45.40;34.19;43.98;43.98;43.98;43.98
"01054";99.72;99.63;99.63;98.88;98.88;98.88;95.87;95.54;91.26;76.79;70.57;58.28;99.52;99.26;99.26;98.42;98.42;98.42;90.58;88.92;72.19;34.90;25.39;25.39;25.39;25.39;25.39;25.39;25.39;25.39;25.39;25.39;25.39;9.41;51.90;51.90;51.90;51.90
"01055";99.70;99.64;99.57;99.00;98.89;98.74;97.35;96.63;90.47;73.98;62.35;60.81;99.19;99.13;99.06;98.46;98.36;98.17;94.58;93.28;81.70;52.31;60.94;60.94;60.94;60.94;60.94;60.94;60.94;60.94;60.94;60.94;60.94;59.36;3.57;3.57;3.57;3.57
"01056";99.92;99.91;99.83;99.82;99.82;99.81;97.25;96.67;91.18;81.77;74.98;74.98;99.92;99.82;99.69;99.65;99.63;99.52;95.67;93.95;80.77;52.00;65.34;65.34;65.34;65.34;65.34;65.34;65.34;65.34;65.34;65.34;61.88;61.75;34.78;34.78;34.78;34.78
"01057";99.44;99.44;99.44;98.86;98.86;98.86;98.86;98.82;91.39;71.23;43.97;39.70;99.25;99.25;99.09;98.07;98.03;97.73;92.09;91.61;83.03;57.55;30.16;30.16;30.16;30.16;30.16;30.16;30.16;30.16;30.16;30.16;20.82;16.54;24.42;24.42;24.42;24.42
