"AGS";"Technologie";"Flaechenart";"Flaechen Gruppe";"Flaechen Gruppe Name";"Verfügbarkeit"
"01001";"5G2";Bahnstrecken;30;Infrastruktur;94.47
"01001";"5G2";Bundesstraßen;30;Infrastruktur;98.92
"01001";"5G2";Gewässer;20;Gemeindefläche;93.87
"01001";"5G2";Gewerbliche Nutzfläche;20;Gemeindefläche;96.65
"01001";"5G2";Kreisstraßen;30;Infrastruktur;98.26
"01001";"5G2";Landstraßen;30;Infrastruktur;97.49
"01001";"5G2";Landwirtschaftliche Flächen;20;Gemeindefläche;96.81
"01001";"5G2";Wald-, Wiesenflächen;20;Gemeindefläche;86.20
"01001";"5G2";Wohnbaufläche;20;Gemeindefläche;96.61
"01001";LTE10;Bahnstrecken;30;Infrastruktur;100.00
"01001";LTE10;Bundesstraßen;30;Infrastruktur;100.00
"01001";LTE10;Gewässer;20;Gemeindefläche;100.00
"01001";LTE10;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"01001";LTE10;Kreisstraßen;30;Infrastruktur;100.00
"01001";LTE10;Landstraßen;30;Infrastruktur;100.00
"01001";LTE10;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"01001";LTE10;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"01001";LTE10;Wohnbaufläche;20;Gemeindefläche;100.00
"01001";LTE2;Bahnstrecken;30;Infrastruktur;100.00
"01001";LTE2;Bundesstraßen;30;Infrastruktur;100.00
"01001";LTE2;Gewässer;20;Gemeindefläche;100.00
"01001";LTE2;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"01001";LTE2;Kreisstraßen;30;Infrastruktur;100.00
"01001";LTE2;Landstraßen;30;Infrastruktur;100.00
"01001";LTE2;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"01001";LTE2;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"01001";LTE2;Wohnbaufläche;20;Gemeindefläche;100.00
"01001";LTE6;Bahnstrecken;30;Infrastruktur;100.00
"01001";LTE6;Bundesstraßen;30;Infrastruktur;100.00
"01001";LTE6;Gewässer;20;Gemeindefläche;100.00
"01001";LTE6;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"01001";LTE6;Kreisstraßen;30;Infrastruktur;100.00
"01001";LTE6;Landstraßen;30;Infrastruktur;100.00
"01001";LTE6;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"01001";LTE6;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"01001";LTE6;Wohnbaufläche;20;Gemeindefläche;100.00
"01001";Mobil Alle;Bahnstrecken;30;Infrastruktur;100.00
"01001";Mobil Alle;Bundesstraßen;30;Infrastruktur;100.00
"01001";Mobil Alle;Gewässer;20;Gemeindefläche;100.00
"01001";Mobil Alle;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"01001";Mobil Alle;Kreisstraßen;30;Infrastruktur;100.00
"01001";Mobil Alle;Landstraßen;30;Infrastruktur;100.00
"01001";Mobil Alle;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"01001";Mobil Alle;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"01001";Mobil Alle;Wohnbaufläche;20;Gemeindefläche;100.00
"01002";"5G2";Autobahn;30;Infrastruktur;100.00
"01002";"5G2";Bahnstrecken;30;Infrastruktur;98.95
"01002";"5G2";Bundesstraßen;30;Infrastruktur;99.08
"01002";"5G2";Gewässer;20;Gemeindefläche;95.68
"01002";"5G2";Gewerbliche Nutzfläche;20;Gemeindefläche;98.88
"01002";"5G2";Kreisstraßen;30;Infrastruktur;98.62
"01002";"5G2";Landstraßen;30;Infrastruktur;98.99
"01002";"5G2";Landwirtschaftliche Flächen;20;Gemeindefläche;95.26
"01002";"5G2";Wald-, Wiesenflächen;20;Gemeindefläche;92.78
"01002";"5G2";Wasserstraßen;30;Infrastruktur;90.54
"01002";"5G2";Wohnbaufläche;20;Gemeindefläche;98.71
"01002";LTE10;Autobahn;30;Infrastruktur;100.00
"01002";LTE10;Bahnstrecken;30;Infrastruktur;100.00
"01002";LTE10;Bundesstraßen;30;Infrastruktur;100.00
"01002";LTE10;Gewässer;20;Gemeindefläche;100.00
"01002";LTE10;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"01002";LTE10;Kreisstraßen;30;Infrastruktur;100.00
"01002";LTE10;Landstraßen;30;Infrastruktur;100.00
"01002";LTE10;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"01002";LTE10;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"01002";LTE10;Wasserstraßen;30;Infrastruktur;100.00
"01002";LTE10;Wohnbaufläche;20;Gemeindefläche;100.00
"01002";LTE2;Autobahn;30;Infrastruktur;100.00
"01002";LTE2;Bahnstrecken;30;Infrastruktur;100.00
"01002";LTE2;Bundesstraßen;30;Infrastruktur;100.00
"01002";LTE2;Gewässer;20;Gemeindefläche;100.00
"01002";LTE2;Gewerbliche Nutzfläche;20;Gemeindefläche;100.00
"01002";LTE2;Kreisstraßen;30;Infrastruktur;100.00
"01002";LTE2;Landstraßen;30;Infrastruktur;100.00
"01002";LTE2;Landwirtschaftliche Flächen;20;Gemeindefläche;100.00
"01002";LTE2;Wald-, Wiesenflächen;20;Gemeindefläche;100.00
"01002";LTE2;Wasserstraßen;30;Infrastruktur;100.00
"01002";LTE2;Wohnbaufläche;20;Gemeindefläche;100.00
"01002";LTE6;Autobahn;30;Infrastruktur;100.00
"01002";LTE6;Bahnstrecken;30;Infrastruktur;100.00
"01002";LTE6;Bundesstraßen;30;Infrastruktur;100.00
"01002";LTE6;Gewässer;20;Gemeindefläche;100.00
