"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_200_1";"verf_200_2";"verf_200_6";"verf_200_16";"verf_200_30";"verf_200_50";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_16";"verf_300_30";"verf_300_50";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_plc_1";"verf_plc_2";"verf_plc_6";"verf_plc_16";"verf_plc_30";"verf_plc_50";"verf_umts_1";"verf_umts_2";"verf_lte_1";"verf_lte_2";"verf_lte_6";"verf_wlan_1";"verf_wlan_2";"verf_wlan_6";"verf_wlan_16";"verf_wlan_30";"verf_wlan_50";"verf_wimax_1";"verf_wimax_2";"verf_wimax_6";"verf_wimax_16";"verf_wimax_30";"verf_wimax_50"
"01001";100;100;100;100;99;98;100;99;96;0;0;0;100;100;100;100;99;98;100;100;100;99;90;84;13;13;13;13;13;13;93;93;93;93;93;93;0;0;0;0;0;0;100;42;99;99;96;0;0;0;0;0;0;0;0;0;0;0;0
"01002";100;100;100;100;98;97;100;100;100;87;40;40;100;100;100;100;98;98;100;100;100;100;78;72;21;21;21;21;21;21;92;92;92;92;92;92;0;0;0;0;0;0;99;47;100;100;99;87;87;87;87;40;40;0;0;0;0;0;0
"01003";100;100;100;99;97;96;100;100;99;0;0;0;100;100;100;99;97;96;100;100;99;99;92;79;3;3;3;3;3;3;91;91;91;91;91;91;0;0;0;0;0;0;99;41;100;100;99;0;0;0;0;0;0;0;0;0;0;0;0
"01004";100;100;100;99;98;98;100;100;99;0;0;0;100;100;100;99;98;98;100;100;100;96;68;62;28;28;28;28;28;28;92;92;92;92;92;92;0;0;0;0;0;0;100;36;100;100;99;0;0;0;0;0;0;0;0;0;0;0;0
"01051";95;95;89;84;81;77;94;94;90;0;0;0;99;99;98;84;81;77;94;93;85;77;71;63;8;8;8;8;8;8;43;43;43;43;43;43;0;0;0;0;0;0;83;44;94;94;90;0;0;0;0;0;0;0;0;0;0;0;0
"01053";98;97;97;95;94;93;98;98;95;1;1;0;99;99;99;95;94;93;93;91;85;80;73;67;43;43;43;43;43;43;67;67;67;67;67;67;0;0;0;0;0;0;84;47;97;97;95;1;1;1;1;1;0;0;0;0;0;0;0
"01054";92;90;84;78;74;70;96;95;91;0;0;0;99;99;98;78;74;70;91;89;82;73;66;59;4;4;4;4;4;4;45;45;45;45;45;45;0;0;0;0;0;0;80;44;94;94;91;2;2;2;0;0;0;3;3;3;0;0;0
"01055";93;91;85;81;80;78;99;99;97;16;0;0;99;99;99;83;80;78;93;91;84;76;72;69;1;1;1;1;1;1;62;62;62;62;62;62;0;0;0;0;0;0;90;49;98;98;96;17;17;17;16;0;0;5;5;5;0;0;0
"01056";99;99;98;95;93;92;99;99;94;0;0;0;99;99;99;95;93;92;99;98;97;92;84;76;22;22;22;22;22;22;78;78;78;78;78;78;0;0;0;0;0;0;97;43;99;99;94;0;0;0;0;0;0;0;0;0;0;0;0
"01057";94;91;85;80;77;73;98;98;93;23;0;0;99;99;99;85;77;73;94;91;84;79;69;59;4;4;4;4;4;4;44;44;44;44;44;44;0;0;0;0;0;0;83;44;97;97;92;24;24;24;23;0;0;1;1;1;0;0;0
"01058";95;93;88;83;79;75;98;98;95;15;0;0;99;99;98;85;79;75;94;90;83;74;65;56;16;16;16;16;16;16;54;54;54;54;54;54;0;0;0;0;0;0;80;38;98;98;94;15;15;15;15;0;0;0;0;0;0;0;0
"01059";92;90;82;72;67;59;96;95;89;0;0;0;99;99;98;72;67;59;92;90;82;69;59;46;1;1;1;1;1;1;39;39;39;39;39;39;0;0;0;0;0;0;76;39;94;94;89;0;0;0;0;0;0;0;0;0;0;0;0
"01060";98;97;96;94;93;92;99;98;93;0;0;0;99;99;99;94;93;92;94;93;87;75;50;44;66;66;66;66;66;66;66;66;66;66;66;66;0;0;0;0;0;0;89;39;98;98;93;0;0;0;0;0;0;0;0;0;0;0;0
"01061";97;96;96;94;92;91;97;97;93;0;0;0;99;99;99;94;92;91;92;89;81;69;60;53;54;54;54;54;54;54;56;56;56;56;56;56;0;0;0;0;0;0;85;43;96;96;93;0;0;0;0;0;0;0;0;0;0;0;0
"01062";98;98;98;97;95;94;99;99;96;0;0;0;99;99;99;97;95;94;97;96;92;89;83;77;20;20;20;20;20;20;75;75;75;75;75;75;0;0;0;0;0;0;94;46;99;99;96;0;0;0;0;0;0;0;0;0;0;0;0
