"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_200_1";"verf_200_2";"verf_200_6";"verf_200_16";"verf_200_30";"verf_200_50";"verf_200_100";"verf_200_200";"verf_200_400";"verf_200_1000";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_16";"verf_300_30";"verf_300_50";"verf_300_100";"verf_300_200";"verf_300_400";"verf_300_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_plc_1";"verf_plc_2";"verf_plc_6";"verf_plc_16";"verf_plc_30";"verf_plc_50";"verf_plc_100";"verf_plc_200";"verf_plc_400";"verf_plc_1000";"verf_umts_1";"verf_umts_2";"verf_lte_1";"verf_lte_2";"verf_lte_6";"verf_wlan_1";"verf_wlan_2";"verf_wlan_6";"verf_wlan_16";"verf_wlan_30";"verf_wlan_50";"verf_wlan_100";"verf_wlan_200";"verf_wlan_400";"verf_wlan_1000";"verf_wimax_1";"verf_wimax_2";"verf_wimax_6";"verf_wimax_16";"verf_wimax_30";"verf_wimax_50";"verf_wimax_100";"verf_wimax_200";"verf_wimax_400";"verf_wimax_1000"
"01001";100.00;100.00;100.00;100.00;99.00;98.00;95.00;94.00;92.00;92.00;100.00;100.00;98.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;99.00;98.00;95.00;94.00;92.00;92.00;100.00;100.00;100.00;99.00;92.00;88.00;48.00;48.00;13.00;13.00;13.00;13.00;13.00;13.00;13.00;13.00;13.00;13.00;93.00;93.00;93.00;93.00;93.00;93.00;92.00;92.00;92.00;92.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;42.00;100.00;100.00;99.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01002";100.00;100.00;100.00;100.00;98.00;97.00;93.00;93.00;41.00;21.00;100.00;100.00;100.00;87.00;40.00;40.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;98.00;98.00;93.00;93.00;41.00;21.00;100.00;100.00;100.00;100.00;87.00;74.00;47.00;47.00;21.00;21.00;21.00;21.00;21.00;21.00;21.00;21.00;21.00;21.00;92.00;92.00;92.00;92.00;92.00;92.00;90.00;90.00;41.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00;47.00;100.00;100.00;99.00;87.00;87.00;87.00;87.00;40.00;40.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01003";100.00;100.00;100.00;99.00;98.00;97.00;92.00;92.00;90.00;84.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;99.00;98.00;97.00;92.00;92.00;90.00;84.00;100.00;100.00;99.00;99.00;92.00;82.00;43.00;43.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;91.00;91.00;91.00;91.00;91.00;91.00;90.00;90.00;90.00;84.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00;41.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01004";100.00;100.00;100.00;99.00;98.00;98.00;92.00;89.00;88.00;88.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;99.00;98.00;98.00;92.00;89.00;88.00;88.00;100.00;100.00;100.00;96.00;68.00;62.00;4.00;4.00;28.00;28.00;28.00;28.00;28.00;28.00;28.00;28.00;28.00;28.00;92.00;92.00;92.00;92.00;92.00;92.00;89.00;89.00;88.00;88.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;36.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01051";97.39;96.85;91.26;86.90;84.92;82.63;58.30;58.24;51.50;8.86;96.22;95.91;91.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.84;99.78;98.53;86.90;84.92;82.63;58.30;58.24;51.50;8.86;96.54;95.64;88.16;82.02;77.71;73.27;17.14;17.14;8.86;8.86;8.86;8.86;8.86;8.86;8.86;8.86;8.86;8.86;43.80;43.80;43.80;43.80;43.80;43.80;42.98;42.98;42.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;83.29;45.18;95.91;95.91;94.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01053";98.81;98.55;97.57;95.87;95.06;94.58;87.97;85.66;61.80;43.79;99.26;99.25;98.27;1.68;1.68;0.00;0.00;0.00;0.00;0.00;99.98;99.98;99.91;95.87;95.06;94.58;87.97;85.66;61.80;43.79;94.81;92.96;87.09;82.49;77.29;72.54;26.59;26.59;43.56;43.56;43.56;43.56;43.56;43.56;43.56;43.56;43.56;43.56;68.12;68.12;68.12;68.12;68.12;68.12;65.54;65.54;41.24;3.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;85.29;48.26;99.25;99.25;98.78;1.51;1.51;1.51;1.51;1.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01054";94.40;92.88;86.27;80.08;76.53;74.00;52.25;51.93;48.23;4.98;96.53;96.12;93.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.59;99.51;98.79;80.08;76.53;74.00;52.25;51.93;48.23;4.98;93.25;91.63;83.63;75.48;70.24;66.17;11.65;11.65;4.98;4.98;4.98;4.98;4.98;4.98;4.98;4.98;4.98;4.98;45.20;45.20;45.20;45.20;45.20;45.20;44.22;44.22;44.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;80.79;44.49;95.32;95.32;94.38;2.29;2.21;2.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.72;3.72;3.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01055";95.73;94.29;88.92;85.37;84.47;83.29;65.17;64.52;61.87;53.34;99.74;99.59;98.21;16.43;0.00;0.00;0.00;0.00;0.00;0.00;99.94;99.78;99.50;86.42;84.47;83.29;65.17;64.52;61.87;53.34;95.40;93.78;87.42;81.39;79.01;76.07;26.28;26.28;1.14;1.14;1.14;1.14;1.14;1.14;1.14;1.14;1.14;1.14;62.72;62.72;62.72;62.72;62.72;62.72;61.87;61.87;61.87;53.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;90.92;49.04;99.58;99.58;98.86;17.06;17.06;17.06;16.38;0.00;0.00;0.00;0.00;0.00;0.00;5.45;5.45;5.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01056";99.66;99.45;98.76;96.30;94.61;93.43;82.85;82.32;75.38;75.38;99.87;99.86;97.30;0.60;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;99.90;96.30;94.61;93.43;82.85;82.32;75.38;75.38;99.43;99.23;98.19;93.54;86.27;80.64;26.13;26.13;22.64;22.64;22.64;22.64;22.64;22.64;22.64;22.64;22.64;22.64;78.70;78.70;78.70;78.70;78.70;78.70;76.46;76.46;71.03;71.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.96;44.68;99.86;99.86;99.44;0.60;0.60;0.60;0.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01057";95.98;94.06;88.93;85.04;82.56;80.31;58.95;58.95;38.21;23.10;99.55;99.55;96.20;23.82;0.42;0.42;0.00;0.00;0.00;0.00;99.94;99.91;99.62;89.31;82.71;80.48;58.95;58.95;38.21;23.10;95.00;92.48;85.53;80.49;74.55;67.99;15.03;15.03;11.27;11.27;11.27;11.27;11.27;11.27;11.27;11.27;11.27;11.27;45.80;45.80;45.80;45.80;45.80;45.80;45.01;45.01;27.07;11.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;84.59;44.66;99.41;99.41;98.56;24.80;24.80;24.51;23.78;0.42;0.42;0.00;0.00;0.00;0.00;1.03;1.03;1.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01058";97.01;94.39;89.85;85.43;81.57;78.46;66.52;66.19;60.27;40.95;98.87;98.85;96.34;15.27;0.48;0.48;0.00;0.00;0.00;0.00;99.86;99.81;98.92;86.62;81.78;78.81;66.52;66.19;60.27;40.95;95.48;92.36;85.13;77.22;68.95;61.57;17.39;17.39;16.59;16.59;16.59;16.59;16.59;16.59;16.59;16.59;16.59;16.59;54.61;54.61;54.61;54.61;54.61;54.61;53.65;53.65;49.08;29.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;81.52;39.08;98.78;98.78;97.98;15.10;15.10;15.10;15.10;0.47;0.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01059";95.23;93.84;85.53;75.44;71.71;66.89;43.00;42.98;30.02;26.62;96.82;96.49;91.58;0.69;0.00;0.00;0.00;0.00;0.00;0.00;99.79;99.67;98.53;75.44;71.71;66.89;43.00;42.98;30.02;26.62;95.00;93.62;85.22;72.25;66.29;59.20;11.28;11.28;1.65;1.65;1.65;1.65;1.65;1.65;1.65;1.65;1.65;1.65;39.58;39.58;39.58;39.58;39.58;39.58;38.33;38.33;28.44;25.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;76.44;40.00;96.46;96.46;94.62;0.76;0.76;0.76;0.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01060";99.00;98.79;97.51;95.30;94.69;93.87;89.15;88.17;85.88;70.31;99.39;99.25;97.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.98;99.98;99.84;95.30;94.69;93.87;89.15;88.17;85.88;70.31;95.78;94.19;88.86;76.40;55.14;51.89;9.09;9.09;68.92;68.92;68.92;68.92;68.92;68.92;68.92;68.92;68.92;68.92;66.90;66.90;66.90;66.90;66.90;66.90;64.12;64.12;37.15;4.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;89.77;40.28;99.25;99.25;98.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01061";98.07;97.50;96.42;94.67;93.31;93.06;88.76;88.33;87.57;60.72;97.66;97.41;94.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.90;99.89;99.52;94.67;93.31;93.06;88.76;88.33;87.57;60.72;93.32;90.13;82.13;71.44;64.99;60.51;20.05;20.05;54.84;54.84;54.84;54.84;54.84;54.84;54.84;54.84;54.84;54.84;56.94;56.94;56.94;56.94;56.94;56.94;54.78;54.78;54.78;6.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;86.27;44.38;97.20;97.20;96.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01062";99.59;99.42;99.05;97.98;97.01;95.71;85.33;83.27;51.43;33.46;99.95;99.95;99.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;99.96;97.98;97.01;95.71;85.33;83.27;51.43;33.46;97.93;96.87;93.83;91.34;87.18;82.02;15.74;15.74;21.17;21.17;21.17;21.17;21.17;21.17;21.17;21.17;21.17;21.17;75.80;75.80;75.80;75.80;75.80;75.80;73.10;73.10;39.68;19.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;95.03;46.73;99.95;99.95;99.63;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"02000";100.00;100.00;100.00;99.00;98.00;97.00;93.00;88.00;87.00;87.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;99.00;98.00;97.00;93.00;88.00;87.00;87.00;100.00;100.00;100.00;99.00;93.00;85.00;23.00;23.00;71.00;71.00;71.00;71.00;71.00;71.00;71.00;71.00;71.00;71.00;87.00;87.00;87.00;87.00;87.00;87.00;87.00;87.00;87.00;87.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;42.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03101";100.00;100.00;100.00;99.00;98.00;97.00;91.00;91.00;87.00;87.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;99.00;98.00;97.00;91.00;91.00;87.00;87.00;100.00;100.00;100.00;99.00;92.00;85.00;46.00;46.00;8.00;8.00;8.00;8.00;8.00;8.00;8.00;8.00;8.00;8.00;88.00;88.00;88.00;88.00;88.00;88.00;88.00;88.00;87.00;87.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;42.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03102";99.00;99.00;99.00;98.00;97.00;96.00;88.00;88.00;21.00;0.00;100.00;100.00;99.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;98.00;97.00;96.00;88.00;88.00;21.00;0.00;99.00;99.00;98.00;97.00;94.00;91.00;60.00;60.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;82.00;82.00;82.00;82.00;82.00;82.00;82.00;82.00;21.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;95.00;51.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03103";100.00;100.00;99.00;98.00;96.00;96.00;79.00;78.00;78.00;7.00;100.00;100.00;99.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;98.00;96.00;96.00;79.00;78.00;78.00;7.00;100.00;100.00;98.00;97.00;92.00;91.00;21.00;21.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;78.00;78.00;78.00;78.00;78.00;78.00;78.00;78.00;78.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;47.00;100.00;100.00;99.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03151";97.85;97.27;94.12;87.46;84.69;77.49;41.60;41.60;36.79;30.67;98.52;98.51;95.18;0.45;0.00;0.00;0.00;0.00;0.00;0.00;99.88;99.74;99.22;87.46;84.69;77.49;41.60;41.60;36.79;30.67;97.20;96.35;91.14;82.96;76.17;67.99;15.38;15.38;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;36.99;36.99;36.99;36.99;36.99;36.99;36.51;36.51;36.51;30.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;82.97;43.70;98.51;98.51;97.25;0.57;0.51;0.51;0.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03152";98.71;98.36;96.06;93.39;91.73;87.44;70.10;70.10;62.89;62.89;99.28;98.58;97.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;99.96;99.94;93.39;91.73;87.44;70.10;70.10;62.89;62.89;98.30;97.69;95.18;91.54;86.84;80.14;44.22;44.22;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;64.53;64.53;64.53;64.53;64.53;64.53;62.88;62.88;62.88;62.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;90.64;43.31;98.55;98.55;98.14;1.38;1.38;1.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
