"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_200_1";"verf_200_2";"verf_200_6";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_16";"verf_300_30";"verf_300_50";"verf_300_100";"verf_300_200";"verf_300_400";"verf_300_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_2g";"verf_umts_1";"verf_umts_2";"verf_lte_1";"verf_lte_2";"verf_lte_6"
"01001";100.00;100.00;100.00;100.00;99.07;98.96;97.84;96.67;95.86;95.69;100.00;100.00;98.71;100.00;100.00;100.00;100.00;99.07;98.96;97.84;96.67;95.86;95.69;100.00;100.00;100.00;99.00;94.79;93.60;84.97;65.80;;;;;;;;;;13.42;94.61;94.61;94.61;94.61;94.61;94.61;94.61;94.61;94.61;94.44;100.00;99.86;;;100.00;98.71
"01002";100.00;100.00;100.00;100.00;99.03;98.73;97.75;96.51;92.07;88.95;99.96;99.96;99.13;100.00;100.00;100.00;100.00;99.18;99.00;97.75;96.51;92.07;88.95;100.00;100.00;100.00;100.00;92.37;82.98;77.91;62.19;;;;;;;;;;21.86;94.41;94.41;94.41;94.41;94.41;94.41;94.41;94.41;89.94;85.95;100.00;99.81;;;99.92;99.13
"01003";100.00;100.00;100.00;99.23;98.59;98.23;96.90;95.26;93.97;87.73;99.99;99.99;98.74;100.00;100.00;100.00;99.23;98.59;98.23;96.90;95.26;93.97;87.73;100.00;100.00;99.07;99.00;95.65;91.48;83.45;58.29;;;;;;;;;;3.24;93.62;93.62;93.62;93.62;93.62;93.62;93.62;93.62;93.62;87.32;100.00;99.02;;;99.92;98.74
"01004";100.00;100.00;100.00;99.12;98.68;98.54;97.16;96.45;95.63;95.63;100.00;100.00;100.00;100.00;100.00;100.00;99.12;98.68;98.54;97.16;96.45;95.63;95.63;100.00;100.00;100.00;96.00;84.08;81.45;70.17;45.38;;;;;;;;;;28.00;93.64;93.64;93.64;93.64;93.64;93.64;93.64;93.64;93.32;93.32;100.00;99.94;;;100.00;100.00
"01051";97.72;97.22;92.22;88.36;86.39;84.50;75.76;64.09;52.73;36.86;94.31;94.24;88.01;99.85;99.82;98.93;88.36;86.39;84.50;75.76;64.09;52.73;36.86;96.76;95.85;88.87;83.39;80.85;78.16;63.99;38.13;;;;;;;;;;10.01;43.48;43.48;43.48;43.48;43.48;43.48;43.34;43.34;43.33;27.39;100.00;82.31;;;93.80;88.01
"01053";99.51;99.40;98.70;97.69;97.20;96.90;94.91;92.87;89.56;82.77;98.98;97.98;97.46;99.99;99.99;99.97;97.69;97.20;96.90;94.91;92.87;89.56;82.77;95.57;94.29;89.49;85.47;82.89;80.87;68.16;45.04;;;;;;;;;;51.44;69.33;69.33;69.33;69.33;69.33;69.33;68.56;68.56;66.05;46.51;100.00;84.87;;;98.97;97.46
"01054";96.61;95.69;91.08;87.25;86.06;85.08;76.86;71.16;64.89;28.91;93.90;93.81;89.45;99.79;99.76;99.25;87.25;86.06;85.08;76.86;71.16;64.89;28.91;93.50;91.88;84.00;76.72;74.53;72.13;54.38;31.48;;;;;;;;;;25.32;46.17;46.17;46.17;46.17;46.17;46.17;45.80;45.80;45.80;3.92;100.00;80.32;;;93.26;89.45
"01055";96.39;95.12;90.70;87.75;86.89;85.90;78.63;70.17;63.94;59.88;99.58;99.40;95.98;99.97;99.95;99.81;88.24;86.89;85.90;78.63;70.17;63.94;59.88;96.07;94.58;89.45;85.21;83.85;82.30;68.74;43.46;;;;;;;;;;1.81;63.26;63.26;63.26;63.26;63.26;63.26;63.10;63.10;63.10;59.03;100.00;89.75;;;99.26;95.98
"01056";99.70;99.56;98.89;96.94;95.94;95.22;91.11;87.54;79.34;79.34;99.82;99.80;97.61;100.00;100.00;99.96;96.94;95.94;95.22;91.11;87.54;79.34;79.34;99.56;99.37;98.32;94.36;91.86;89.98;76.44;48.50;;;;;;;;;;23.33;81.02;81.02;81.02;81.02;81.02;81.02;80.96;80.96;75.16;75.15;100.00;98.02;;;99.81;97.61
"01057";96.98;96.43;93.36;91.42;90.27;89.41;83.54;77.01;70.05;68.63;99.11;98.95;97.28;99.97;99.97;99.89;95.20;90.40;89.54;83.54;77.01;70.05;68.63;94.99;92.69;85.97;81.59;78.92;76.93;62.61;37.50;;;;;;;;;;25.58;46.33;46.33;46.33;46.33;46.33;46.33;46.07;46.07;45.28;43.86;100.00;85.39;;;98.96;97.28
