"ags";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_8";"verf_300_10";"verf_300_16";"verf_300_30";"verf_300_50";"verf_300_100";"verf_300_200";"verf_300_400";"verf_300_1000";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_200_1";"verf_200_2";"verf_200_6";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_umts_1";"verf_lte_2";"verf_lte_6"
"01001";100.00;100.00;100.00;100.00;100.00;100.00;99.17;99.07;98.44;97.22;96.52;96.31;100.00;100.00;100.00;100.00;100.00;100.00;99.17;99.07;98.44;97.22;96.52;96.31;100.00;100.00;100.00;100.00;100.00;100.00;99.00;99.00;99.00;95.86;95.28;88.02;70.21;95.33;95.33;95.33;95.33;95.33;95.33;95.33;95.33;95.33;95.33;95.33;95.10;13.45;13.45;13.45;13.45;99.28;100.00;100.00
"01002";100.00;100.00;100.00;100.00;100.00;100.00;99.40;99.29;98.30;96.95;92.76;90.42;100.00;100.00;100.00;100.00;100.00;100.00;99.24;99.05;98.30;96.95;92.76;90.42;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;97.07;96.28;91.70;76.73;94.67;94.67;94.67;94.67;94.67;94.67;94.67;94.67;94.67;94.67;91.07;88.12;21.88;21.88;21.88;21.88;99.52;100.00;100.00
"01003";100.00;100.00;100.00;99.64;99.57;99.45;98.87;98.61;97.61;96.01;94.80;92.63;100.00;100.00;100.00;99.64;99.57;99.45;98.87;98.61;97.61;96.01;94.80;92.63;100.00;100.00;100.00;100.00;100.00;99.45;99.00;99.00;99.00;96.49;94.53;87.25;63.95;94.47;94.47;94.47;94.47;94.47;94.47;94.47;94.47;94.47;94.47;94.47;92.29;3.66;3.66;3.66;3.66;97.76;100.00;100.00
"01004";100.00;100.00;100.00;99.74;99.63;99.42;98.94;98.78;97.92;97.03;96.06;96.06;100.00;100.00;100.00;99.74;99.63;99.42;98.94;98.78;97.92;97.03;96.06;96.06;100.00;100.00;100.00;100.00;100.00;100.00;96.61;96.00;96.00;87.85;86.80;76.81;52.20;94.04;94.04;94.04;94.04;94.04;94.04;94.04;94.04;94.04;94.04;93.69;93.69;28.00;28.00;28.00;28.00;96.94;100.00;100.00
"01051";100.00;100.00;100.00;93.11;92.85;92.45;87.17;86.14;79.93;66.23;53.16;47.92;99.03;98.23;97.27;93.11;92.85;92.45;87.17;86.14;79.93;66.23;53.16;47.92;100.00;100.00;100.00;98.78;97.78;96.69;89.74;89.31;88.60;81.70;80.20;69.29;41.77;43.85;43.85;43.85;43.85;43.85;43.85;43.85;43.85;43.70;43.70;43.70;38.42;10.09;10.09;10.09;10.09;78.48;100.00;100.00
"01053";99.98;99.98;99.98;98.96;98.84;98.67;98.08;97.88;96.73;94.60;92.99;90.72;99.79;99.70;99.51;98.96;98.84;98.67;98.08;97.88;96.73;94.60;92.99;90.72;99.98;99.98;99.98;97.49;95.63;93.31;88.61;88.20;87.88;83.49;81.78;71.09;47.80;69.83;69.83;69.83;69.83;69.83;69.83;69.83;69.83;69.28;69.28;68.13;61.47;56.67;56.67;56.67;56.67;78.38;99.98;99.98
"01054";100.00;100.00;99.97;92.55;92.35;92.07;87.83;87.14;80.60;74.37;67.26;50.83;98.15;96.98;95.63;92.55;92.35;92.07;87.83;87.14;80.60;74.37;67.26;50.83;99.99;99.99;99.90;95.89;93.78;91.16;85.10;84.43;83.33;76.29;74.65;59.65;35.51;46.31;46.31;46.31;46.31;46.31;46.31;46.31;46.31;45.99;45.99;45.99;24.35;28.65;28.65;28.65;28.65;77.98;99.99;99.90
"01055";100.00;100.00;100.00;92.41;92.19;92.15;88.51;87.83;82.56;72.76;64.48;62.70;98.17;97.23;96.06;92.35;92.12;91.81;88.51;87.83;82.56;72.76;64.48;62.70;100.00;100.00;100.00;97.87;96.82;95.41;91.00;90.55;89.92;85.78;84.60;73.89;48.86;63.74;63.74;63.74;63.74;63.74;63.74;63.74;63.74;63.62;63.62;63.62;61.84;1.98;1.98;1.98;1.98;86.05;100.00;100.00
"01056";100.00;100.00;100.00;98.77;98.60;98.35;96.34;95.91;93.56;90.54;88.03;88.03;99.80;99.71;99.39;98.77;98.60;98.35;96.34;95.91;93.56;90.54;88.03;88.03;100.00;100.00;100.00;99.68;99.52;99.05;96.97;96.70;96.34;92.30;90.83;79.29;52.71;81.38;81.38;81.38;81.38;81.38;81.38;81.38;81.38;81.36;81.36;79.10;79.09;46.04;46.04;46.04;46.04;95.92;100.00;100.00
"01057";100.00;100.00;100.00;96.81;96.72;96.71;91.00;90.49;85.93;78.77;71.62;70.38;98.44;97.79;97.01;94.07;93.96;93.82;90.88;90.36;85.93;78.77;71.62;70.38;100.00;100.00;100.00;97.03;94.98;93.38;87.18;86.80;86.29;79.46;78.07;66.23;40.05;46.76;46.76;46.76;46.76;46.76;46.76;46.76;46.76;46.55;46.55;45.82;44.58;27.69;27.69;27.69;27.69;81.67;100.00;100.00
