"ags";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_8";"verf_300_10";"verf_300_16";"verf_300_30";"verf_300_50";"verf_300_100";"verf_300_200";"verf_300_400";"verf_300_1000";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_200_1";"verf_200_2";"verf_200_6";"verf_200_10";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_lte_2";"verf_lte_6";"verf_lte_10";"verf_5g_2"
"01001";100.00;100.00;100.00;100.00;100.00;100.00;99.31;99.23;98.77;97.54;97.07;96.84;100.00;100.00;100.00;100.00;100.00;100.00;99.31;99.23;98.77;97.54;97.07;96.84;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.06;99.00;99.00;96.27;95.69;89.00;71.01;95.98;95.98;95.98;95.98;95.98;95.98;95.98;95.98;95.98;95.97;95.97;95.73;13.45;13.45;13.45;13.45;100.00;100.00;100.00;98.36
"01002";100.00;100.00;100.00;100.00;100.00;100.00;99.48;99.37;98.59;97.50;94.29;92.79;100.00;100.00;100.00;100.00;100.00;100.00;99.32;99.16;98.59;97.50;94.29;92.79;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;97.42;96.62;92.41;79.53;95.80;95.80;95.80;95.80;95.80;95.80;95.80;95.80;95.80;95.80;93.35;91.59;21.88;21.88;21.88;21.88;100.00;100.00;100.00;99.47
"01003";100.00;100.00;100.00;100.00;100.00;99.45;98.88;98.67;97.78;96.29;95.15;93.15;100.00;100.00;100.00;99.64;99.57;99.45;98.88;98.67;97.78;96.29;95.15;93.15;100.00;100.00;100.00;100.00;100.00;100.00;99.45;99.00;99.00;99.00;96.51;94.79;87.99;65.46;94.83;94.83;94.83;94.83;94.83;94.83;94.83;94.83;94.83;94.83;94.83;92.80;4.33;4.33;4.33;4.33;100.00;100.00;100.00;97.29
"01004";100.00;100.00;100.00;100.00;100.00;99.50;98.99;98.84;98.27;97.51;96.60;96.60;100.00;100.00;100.00;99.77;99.68;99.50;98.99;98.84;98.27;97.51;96.60;96.60;100.00;100.00;100.00;100.00;100.00;100.00;100.00;96.68;96.00;96.00;87.98;86.95;77.06;52.28;94.69;94.69;94.69;94.69;94.69;94.69;94.69;94.69;94.69;94.69;94.32;94.32;28.00;28.00;28.00;28.00;100.00;100.00;100.00;98.49
"01051";100.00;100.00;100.00;100.00;100.00;93.05;87.11;86.22;80.35;66.45;53.15;48.42;99.19;98.34;97.69;93.52;93.33;93.05;87.11;86.22;80.35;66.45;53.15;48.42;100.00;100.00;100.00;100.00;98.97;97.93;97.18;90.19;89.84;89.26;81.62;80.28;70.12;42.84;43.68;43.68;43.68;43.68;43.68;43.68;43.68;43.68;43.55;43.55;43.55;38.78;10.24;10.24;10.24;10.24;100.00;100.00;100.00;68.74
"01053";99.98;99.98;99.98;99.98;99.98;98.75;98.17;97.99;96.94;95.02;93.43;91.29;99.80;99.72;99.57;99.03;98.92;98.75;98.17;97.99;96.94;95.02;93.43;91.29;99.98;99.98;99.98;99.98;97.78;95.92;93.94;89.10;88.70;88.43;83.78;82.29;72.14;48.43;70.32;70.32;70.32;70.32;70.32;70.32;70.32;70.32;69.85;69.85;68.92;62.65;57.18;57.18;57.18;57.18;99.98;99.98;99.98;76.19
"01054";100.00;100.00;100.00;99.99;99.98;92.58;88.01;87.40;81.10;74.75;67.47;56.14;98.36;97.22;96.20;92.93;92.79;92.58;88.01;87.40;81.10;74.75;67.47;56.14;100.00;100.00;99.99;99.95;96.25;94.17;92.07;85.75;85.14;84.14;76.60;75.03;60.69;36.79;46.57;46.57;46.57;46.57;46.57;46.57;46.57;46.57;46.29;46.29;46.29;34.20;28.67;28.67;28.67;28.67;100.00;99.99;99.95;73.60
"01055";100.00;100.00;100.00;100.00;100.00;92.48;88.54;87.90;82.93;73.32;64.54;62.85;98.29;97.34;96.46;92.60;92.41;92.16;88.54;87.90;82.93;73.32;64.54;62.85;100.00;100.00;100.00;100.00;98.02;96.96;95.85;91.27;90.88;90.26;85.82;84.69;74.61;50.18;63.76;63.76;63.76;63.76;63.76;63.76;63.76;63.76;63.68;63.68;63.68;61.98;2.09;2.09;2.09;2.09;100.00;100.00;100.00;73.57
"01056";100.00;100.00;100.00;100.00;100.00;98.52;96.43;96.04;93.90;91.03;88.81;88.81;99.88;99.79;99.55;98.87;98.72;98.52;96.43;96.04;93.90;91.03;88.81;88.81;100.00;100.00;100.00;100.00;99.77;99.62;99.24;97.14;96.89;96.56;92.42;91.11;79.97;54.15;82.31;82.31;82.31;82.31;82.31;82.31;82.31;82.31;82.29;82.29;80.07;80.07;46.89;46.89;46.89;46.89;100.00;100.00;100.00;83.21
"01057";100.00;100.00;100.00;100.00;100.00;96.92;91.19;90.72;86.34;79.22;72.25;71.32;98.58;97.91;97.32;94.29;94.19;94.06;91.07;90.61;86.34;79.22;72.25;71.32;100.00;100.00;100.00;100.00;97.43;95.24;94.12;87.66;87.33;86.91;79.64;78.33;66.86;40.44;46.89;46.89;46.89;46.89;46.89;46.89;46.89;46.89;46.81;46.81;46.27;45.34;27.99;27.99;27.99;27.99;100.00;100.00;100.00;66.96
