AGS,year,n_rows,prev_year_max,next_year_max,dropped
01051133,2010,2,NA,100,TRUE
01053016,2010,2,NA,26,TRUE
01053080,2010,2,NA,61,TRUE
01053098,2010,2,NA,98,TRUE
01053105,2010,2,NA,0,TRUE
01053105,2011,2,0,0,TRUE
01053105,2012,2,0,100,TRUE
01053105,2021,38,95.23,NA,FALSE
01053124,2010,2,NA,42,TRUE
01054032,2013,3,5,8.7,TRUE
01054039,2010,2,NA,0,TRUE
01054039,2011,2,0,0,TRUE
01054039,2012,2,0,75,TRUE
01054048,2011,2,4,0,TRUE
01054048,2012,2,0,97.22,TRUE
01054050,2011,2,95,1,TRUE
01054080,2010,2,NA,0,TRUE
01054080,2011,2,0,72,TRUE
01054158,2010,2,NA,0,TRUE
01054158,2011,2,0,7,TRUE
01058007,2010,2,NA,85,TRUE
01058016,2010,2,NA,72,TRUE
01058055,2010,2,NA,35,TRUE
01058073,2010,2,NA,75,TRUE
01058153,2010,2,NA,87,TRUE
01059001,2010,2,NA,93,TRUE
01059023,2010,2,NA,58,TRUE
01059087,2010,2,NA,100,TRUE
01060014,2010,2,NA,0,TRUE
01060014,2011,2,0,0,TRUE
01060014,2012,2,0,0,TRUE
01060014,2013,3,0,0,TRUE
01060014,2014,3,0,0,TRUE
01060014,2015,3,0,100,FALSE
01060014,2021,38,81.81,NA,FALSE
01061045,2010,2,NA,100,TRUE
01061080,2010,2,NA,36,TRUE
01061100,2010,2,NA,5,TRUE
01061111,2010,2,NA,100,TRUE
01062033,2010,2,NA,3,TRUE
01062033,2012,2,3,82.61,TRUE
03151501,2010,2,NA,0,TRUE
03151501,2011,2,0,0,TRUE
03151501,2012,2,0,0,TRUE
03151501,2013,3,0,0,TRUE
03151501,2014,3,0,0,TRUE
03151501,2015,3,0,100,FALSE
03151501,2021,38,67,NA,FALSE
03153504,2010,2,NA,0,TRUE
03153504,2011,2,0,0,TRUE
03153504,2012,2,0,84.21,TRUE
03153504,2021,38,93.86,NA,FALSE
03154006,2010,2,NA,55,TRUE
03154501,2010,2,NA,0,TRUE
03154501,2011,2,0,0,TRUE
03154501,2012,2,0,0,TRUE
03154501,2013,3,0,0,TRUE
03154501,2014,3,0,0,TRUE
03154501,2015,3,0,0,FALSE
03154501,2016,3,0,0,FALSE
03154501,2017,3,0,0,FALSE
03154501,2018,77,0,0,FALSE
03154501,2019,74,0,0,FALSE
03154501,2020,38,0,0,FALSE
03154501,2021,38,0,NA,FALSE
03154502,2010,2,NA,0,TRUE
03154502,2011,2,0,0,TRUE
03154502,2012,2,0,0,TRUE
03154502,2013,3,0,0,TRUE
03154502,2014,3,0,0,TRUE
03154502,2015,3,0,100,FALSE
03154502,2021,38,100,NA,FALSE
03154503,2010,2,NA,0,TRUE
03154503,2011,2,0,0,TRUE
03154503,2012,2,0,0,TRUE
03154503,2013,3,0,0,TRUE
03154503,2014,3,0,0,TRUE
03154503,2015,3,0,14.29,FALSE
03154503,2021,38,100,NA,FALSE
03154504,2010,2,NA,0,TRUE
03154504,2011,2,0,0,TRUE
03154504,2012,2,0,0,TRUE
03154504,2013,3,0,0,TRUE
03154504,2014,3,0,0,TRUE
03154504,2015,3,0,0,FALSE
03154504,2016,3,0,0,FALSE
03154504,2017,3,0,100,FALSE
03154504,2021,38,100,NA,FALSE
03154506,2010,2,NA,0,TRUE
03154506,2011,2,0,0,TRUE
03154506,2012,2,0,100,TRUE
03154506,2016,3,100,0,FALSE
03154506,2017,3,0,100,FALSE
03154506,2021,38,100,NA,FALSE
03155501,2010,2,NA,0,TRUE
03155501,2011,2,0,0,TRUE
03155501,2012,2,0,100,TRUE
03155501,2021,38,80.81,NA,FALSE
03156501,2021,38,100,NA,FALSE
03158007,2010,2,NA,0,TRUE
03158007,2011,2,0,40,TRUE
03158501,2010,2,NA,0,TRUE
03158501,2011,2,0,0,TRUE
03158501,2012,2,0,0,TRUE
03158501,2013,3,0,0,TRUE
03158501,2014,3,0,0,TRUE
03158501,2015,3,0,0,FALSE
03158501,2016,3,0,50,FALSE
03158501,2021,38,100,NA,FALSE
03158502,2010,2,NA,0,TRUE
03158502,2011,2,0,0,TRUE
03158502,2012,2,0,0,TRUE
03158502,2013,3,0,0,TRUE
03158502,2014,3,0,0,TRUE
03158502,2015,3,0,0,FALSE
03158502,2016,3,0,0,FALSE
03158502,2017,3,0,0,FALSE
03158502,2018,77,0,0,FALSE
03158502,2019,74,0,0,FALSE
03158502,2020,38,0,0,FALSE
03158502,2021,38,0,NA,FALSE
03158503,2010,2,NA,0,TRUE
03158503,2011,2,0,0,TRUE
03158503,2012,2,0,0,TRUE
03158503,2013,3,0,0,TRUE
03158503,2014,3,0,0,TRUE
03158503,2015,3,0,0,FALSE
03158503,2016,3,0,0,FALSE
03158503,2017,3,0,0,FALSE
03158503,2018,77,0,0,FALSE
03158503,2019,74,0,0,FALSE
03158503,2020,38,0,0,FALSE
03158503,2021,38,0,NA,FALSE
03159501,2010,2,NA,0,TRUE
03159501,2011,2,0,0,TRUE
03159501,2012,2,0,62.5,TRUE
03255501,2010,2,NA,0,TRUE
03255501,2011,2,0,0,TRUE
03255501,2012,2,0,0,TRUE
03255501,2013,3,0,0,TRUE
03255501,2014,3,0,0,TRUE
03255501,2015,3,0,100,FALSE
03255501,2021,38,100,NA,FALSE
03255502,2010,2,NA,0,TRUE
03255502,2011,2,0,0,TRUE
03255502,2012,2,0,0,TRUE
03255502,2013,3,0,0,TRUE
03255502,2014,3,0,0,TRUE
03255502,2015,3,0,0,FALSE
03255502,2016,3,0,0,FALSE
03255502,2017,3,0,0,FALSE
03255502,2018,77,0,0,FALSE
03255502,2019,74,0,0,FALSE
03255502,2020,38,0,0,FALSE
03255502,2021,38,0,NA,FALSE
03255503,2010,2,NA,0,TRUE
03255503,2011,2,0,0,TRUE
03255503,2012,2,0,0,TRUE
03255503,2013,3,0,0,TRUE
03255503,2014,3,0,0,TRUE
03255503,2015,3,0,0,FALSE
03255503,2016,3,0,0,FALSE
03255503,2017,3,0,0,FALSE
03255503,2018,77,0,0,FALSE
03255503,2019,74,0,0,FALSE
03255503,2020,38,0,0,FALSE
03255503,2021,38,0,NA,FALSE
03255504,2010,2,NA,0,TRUE
03255504,2011,2,0,0,TRUE
03255504,2012,2,0,0,TRUE
03255504,2013,3,0,0,TRUE
03255504,2014,3,0,0,TRUE
03255504,2015,3,0,92.31,FALSE
03255504,2021,38,100,NA,FALSE
03255505,2010,2,NA,0,TRUE
03255505,2011,2,0,0,TRUE
03255505,2012,2,0,0,TRUE
03255505,2013,3,0,0,TRUE
03255505,2014,3,0,0,TRUE
03255505,2015,3,0,100,FALSE
03255505,2021,38,100,NA,FALSE
03255506,2010,2,NA,0,TRUE
03255506,2011,2,0,0,TRUE
03255506,2012,2,0,100,TRUE
03255506,2021,38,100,NA,FALSE
03255508,2010,2,NA,0,TRUE
03255508,2011,2,0,0,TRUE
03255508,2012,2,0,0,TRUE
03255508,2013,3,0,0,TRUE
03255508,2014,3,0,0,TRUE
03255508,2015,3,0,0,FALSE
03255508,2016,3,0,0,FALSE
03255508,2017,3,0,100,FALSE
03255508,2021,38,100,NA,FALSE
03354501,2010,2,NA,0,TRUE
03354501,2011,2,0,0,TRUE
03354501,2012,2,0,0,TRUE
03354501,2013,3,0,0,TRUE
03354501,2014,3,0,0,TRUE
03354501,2015,3,0,25,FALSE
03354501,2021,38,33.33,NA,FALSE
03354502,2010,2,NA,0,TRUE
03354502,2011,2,0,0,TRUE
03354502,2012,2,0,0,TRUE
03354502,2013,3,0,0,TRUE
03354502,2014,3,0,0,TRUE
03354502,2015,3,0,100,FALSE
03354502,2021,38,100,NA,FALSE
03452501,2010,2,NA,0,TRUE
03452501,2011,2,0,0,TRUE
03452501,2012,2,0,0,TRUE
03452501,2013,3,0,0,TRUE
03452501,2014,3,0,0,TRUE
03452501,2015,3,0,0,FALSE
03452501,2016,3,0,0,FALSE
03452501,2017,3,0,0,FALSE
03452501,2018,77,0,0,FALSE
03452501,2019,74,0,0,FALSE
03452501,2020,38,0,0,FALSE
03452501,2021,38,0,NA,FALSE
03456016,2010,2,NA,0,TRUE
03456016,2011,2,0,0,TRUE
03456016,2012,2,0,73.73,TRUE
03457009,2010,2,NA,80,TRUE
03457019,2010,2,NA,96,TRUE
03457501,2010,2,NA,0,TRUE
03457501,2011,2,0,0,TRUE
03457501,2012,2,0,0,TRUE
03457501,2013,3,0,0,TRUE
03457501,2014,3,0,0,TRUE
03457501,2015,3,0,0,FALSE
03457501,2016,3,0,0,FALSE
03457501,2017,3,0,0,FALSE
03457501,2018,77,0,0,FALSE
03457501,2019,74,0,0,FALSE
03457501,2020,38,0,0,FALSE
03457501,2021,38,0,NA,FALSE
06431200,2010,2,NA,0,TRUE
06431200,2011,2,0,0,TRUE
06431200,2012,2,0,0,TRUE
06431200,2013,3,0,0,TRUE
06431200,2014,3,0,0,TRUE
06431200,2015,3,0,50,FALSE
06431200,2021,38,50,NA,FALSE
06435200,2010,2,NA,0,TRUE
06435200,2011,2,0,0,TRUE
06435200,2012,2,0,0,TRUE
