AGS,year,year_max,first_pos_year,dropped
01053105,2021,0,2013,TRUE
01060014,2015,0,2016,FALSE
01060014,2021,0,2016,TRUE
03151501,2015,0,2016,FALSE
03151501,2021,0,2016,TRUE
03153504,2021,0,2013,TRUE
03154501,2015,0,NA,FALSE
03154501,2016,0,NA,FALSE
03154501,2017,0,NA,FALSE
03154501,2018,0,NA,FALSE
03154501,2019,0,NA,FALSE
03154501,2020,0,NA,FALSE
03154501,2021,0,NA,FALSE
03154502,2015,0,2016,FALSE
03154502,2021,0,2016,TRUE
03154503,2015,0,2016,FALSE
03154503,2021,0,2016,TRUE
03154504,2015,0,2018,FALSE
03154504,2016,0,2018,FALSE
03154504,2017,0,2018,FALSE
03154504,2021,0,2018,TRUE
03154506,2016,0,2013,TRUE
03154506,2017,0,2013,TRUE
03154506,2021,0,2013,TRUE
03155501,2021,0,2013,TRUE
03158501,2015,0,2017,FALSE
03158501,2016,0,2017,FALSE
03158501,2021,0,2017,TRUE
03158502,2015,0,NA,FALSE
03158502,2016,0,NA,FALSE
03158502,2017,0,NA,FALSE
03158502,2018,0,NA,FALSE
03158502,2019,0,NA,FALSE
03158502,2020,0,NA,FALSE
03158502,2021,0,NA,FALSE
03158503,2015,0,NA,FALSE
03158503,2016,0,NA,FALSE
03158503,2017,0,NA,FALSE
03158503,2018,0,NA,FALSE
03158503,2019,0,NA,FALSE
03158503,2020,0,NA,FALSE
03158503,2021,0,NA,FALSE
03159501,2021,0,2013,TRUE
03255501,2015,0,2016,FALSE
03255501,2021,0,2016,TRUE
03255502,2015,0,NA,FALSE
03255502,2016,0,NA,FALSE
03255502,2017,0,NA,FALSE
03255502,2018,0,NA,FALSE
03255502,2019,0,NA,FALSE
03255502,2020,0,NA,FALSE
03255502,2021,0,NA,FALSE
03255503,2015,0,NA,FALSE
03255503,2016,0,NA,FALSE
03255503,2017,0,NA,FALSE
03255503,2018,0,NA,FALSE
03255503,2019,0,NA,FALSE
03255503,2020,0,NA,FALSE
03255503,2021,0,NA,FALSE
03255504,2015,0,2016,FALSE
03255504,2021,0,2016,TRUE
03255505,2015,0,2016,FALSE
03255505,2021,0,2016,TRUE
03255506,2021,0,2013,TRUE
03255508,2015,0,2018,FALSE
03255508,2016,0,2018,FALSE
03255508,2017,0,2018,FALSE
03255508,2021,0,2018,TRUE
03354501,2015,0,2016,FALSE
03354501,2021,0,2016,TRUE
03354502,2015,0,2016,FALSE
03354502,2021,0,2016,TRUE
03452501,2015,0,NA,FALSE
03452501,2016,0,NA,FALSE
03452501,2017,0,NA,FALSE
03452501,2018,0,NA,FALSE
03452501,2019,0,NA,FALSE
03452501,2020,0,NA,FALSE
03452501,2021,0,NA,FALSE
03457501,2015,0,NA,FALSE
03457501,2016,0,NA,FALSE
03457501,2017,0,NA,FALSE
03457501,2018,0,NA,FALSE
03457501,2019,0,NA,FALSE
03457501,2020,0,NA,FALSE
03457501,2021,0,NA,FALSE
06431200,2015,0,2016,FALSE
06431200,2021,0,2016,TRUE
06435200,2015,0,2016,FALSE
06435200,2021,0,2016,TRUE
06633200,2021,0,2013,TRUE
06636200,2021,0,2013,TRUE
07232001,2015,0,2016,FALSE
07232032,2017,0,2010,TRUE
07232032,2019,0,2010,TRUE
07232116,2015,0,2012,TRUE
08317971,2021,0,2015,TRUE
08415971,2021,0,2005,TRUE
09172452,2021,0,2018,TRUE
09172454,2021,0,2018,TRUE
09173451,2021,0,2018,TRUE
09173452,2021,0,2018,TRUE
09175451,2020,0,2018,TRUE
09175451,2021,0,2018,TRUE
09175452,2021,0,2018,TRUE
09175453,2021,0,2018,TRUE
09176451,2015,0,2016,FALSE
09176451,2020,0,2016,TRUE
09176451,2021,0,2016,TRUE
09180451,2015,0,2016,FALSE
09180451,2020,0,2016,TRUE
09180451,2021,0,2016,TRUE
09181451,2015,0,2016,FALSE
09181451,2021,0,2016,TRUE
09183451,2015,0,2018,FALSE
09183451,2016,0,2018,FALSE
09183451,2017,0,2018,FALSE
09183451,2021,0,2018,TRUE
09184452,2021,0,2018,TRUE
09184454,2021,0,2018,TRUE
09184457,2021,0,2018,TRUE
09187451,2020,0,2018,TRUE
09187451,2021,0,2018,TRUE
09187452,2018,0,NA,FALSE
09187452,2019,0,NA,FALSE
09187452,2020,0,NA,FALSE
09187452,2021,0,NA,FALSE
09188451,2015,0,2016,FALSE
09188451,2021,0,2016,TRUE
09189451,2021,0,2018,TRUE
09189452,2018,0,NA,FALSE
09189452,2019,0,NA,FALSE
09189452,2020,0,NA,FALSE
09189452,2021,0,NA,FALSE
09272451,2021,0,2018,TRUE
09272452,2021,0,2018,TRUE
09272453,2018,0,NA,FALSE
09272453,2019,0,NA,FALSE
09272453,2020,0,NA,FALSE
09272453,2021,0,NA,FALSE
09272455,2020,0,2018,TRUE
09272455,2021,0,2018,TRUE
09272456,2021,0,2018,TRUE
09272457,2021,0,2018,TRUE
09272458,2021,0,2018,TRUE
09272459,2021,0,2018,TRUE
09272460,2021,0,2018,TRUE
09272461,2021,0,2018,TRUE
09272463,2020,0,2018,TRUE
09272463,2021,0,2018,TRUE
09273451,2020,0,2018,TRUE
09273451,2021,0,2018,TRUE
09273452,2019,0,2018,TRUE
09273452,2020,0,2018,TRUE
09273452,2021,0,2018,TRUE
09273453,2018,0,NA,FALSE
09273453,2019,0,NA,FALSE
09273453,2020,0,NA,FALSE
09273453,2021,0,NA,FALSE
09273454,2021,0,2018,TRUE
09371452,2015,0,2016,FALSE
09371452,2021,0,2016,TRUE
09374451,2018,0,NA,FALSE
09374451,2019,0,NA,FALSE
09374451,2020,0,NA,FALSE
09374451,2021,0,NA,FALSE
09374452,2021,0,2018,TRUE
09374458,2020,0,2018,TRUE
09374458,2021,0,2018,TRUE
09375451,2021,0,2018,TRUE
09375452,2018,0,NA,FALSE
09375452,2019,0,NA,FALSE
09375452,2020,0,NA,FALSE
09375452,2021,0,NA,FALSE
09376455,2015,0,2016,FALSE
09376455,2018,0,2016,TRUE
09376455,2019,0,2016,TRUE
09376455,2020,0,2016,TRUE
09376455,2021,0,2016,TRUE
09471452,2018,0,NA,FALSE
09471452,2019,0,NA,FALSE
09471452,2020,0,NA,FALSE
09471452,2021,0,NA,FALSE
09471453,2018,0,NA,FALSE
09471453,2019,0,NA,FALSE
09471453,2020,0,NA,FALSE
09471453,2021,0,NA,FALSE
09471454,2018,0,NA,FALSE
09471454,2019,0,NA,FALSE
09471454,2020,0,NA,FALSE
09471454,2021,0,NA,FALSE
09471455,2021,0,2018,TRUE
09471456,2021,0,2018,TRUE
09471457,2018,0,NA,FALSE
09471457,2019,0,NA,FALSE
09471457,2020,0,NA,FALSE
09471457,2021,0,NA,FALSE
09471459,2018,0,NA,FALSE
09471459,2019,0,NA,FALSE
09471459,2020,0,NA,FALSE
09471459,2021,0,NA,FALSE
09471460,2018,0,NA,FALSE
09471460,2019,0,NA,FALSE
09471460,2020,0,NA,FALSE
09471460,2021,0,NA,FALSE
09471461,2018,0,NA,FALSE
09471461,2019,0,NA,FALSE
09471461,2020,0,NA,FALSE
09471461,2021,0,NA,FALSE
09471462,2018,0,NA,FALSE
09471462,2019,0,NA,FALSE
09471462,2020,0,NA,FALSE
09471462,2021,0,NA,FALSE
09472451,2021,0,2018,TRUE
09472453,2021,0,2018,TRUE
09472454,2021,0,2018,TRUE
09472456,2021,0,2018,TRUE
09472458,2018,0,NA,FALSE
09472458,2019,0,NA,FALSE
09472458,2020,0,NA,FALSE
09472458,2021,0,NA,FALSE
09472463,2021,0,2018,TRUE
09472464,2018,0,NA,FALSE
09472464,2019,0,NA,FALSE
09472464,2020,0,NA,FALSE
09472464,2021,0,NA,FALSE
09472468,2021,0,2018,TRUE
09472469,2018,0,NA,FALSE
09472469,2019,0,NA,FALSE
09472469,2020,0,NA,FALSE
09472469,2021,0,NA,FALSE
09472470,2020,0,2018,TRUE
09472470,2021,0,2018,TRUE
09473452,2018,0,NA,FALSE
09473452,2019,0,NA,FALSE
09473452,2020,0,NA,FALSE
09473452,2021,0,NA,FALSE
09473453,2018,0,NA,FALSE
09473453,2019,0,NA,FALSE
09473453,2020,0,NA,FALSE
09473453,2021,0,NA,FALSE
09473454,2018,0,NA,FALSE
09473454,2019,0,NA,FALSE
09473454,2020,0,NA,FALSE
09473454,2021,0,NA,FALSE
09475451,2021,0,2018,TRUE
09475452,2021,0,2018,TRUE
09475453,2021,0,2018,TRUE
09475454,2018,0,NA,FALSE
09475454,2019,0,NA,FALSE
09475454,2020,0,NA,FALSE
09475454,2021,0,NA,FALSE
09476451,2018,0,NA,FALSE
09476451,2019,0,NA,FALSE
09476451,2020,0,NA,FALSE
09476451,2021,0,NA,FALSE
09476453,2021,0,2018,TRUE
09478451,2018,0,NA,FALSE
09478451,2019,0,NA,FALSE
09478451,2020,0,NA,FALSE
09478451,2021,0,NA,FALSE
09478453,2021,0,2018,TRUE
09479453,2018,0,NA,FALSE
09479453,2019,0,NA,FALSE
09479453,2020,0,NA,FALSE
09479453,2021,0,NA,FALSE
09479455,2021,0,2018,TRUE
09479456,2021,0,2018,TRUE
09479457,2018,0,NA,FALSE
09479457,2019,0,NA,FALSE
09479457,2020,0,NA,FALSE
09479457,2021,0,NA,FALSE
09479459,2021,0,2018,TRUE
09479460,2021,0,2018,TRUE
09479461,2021,0,2018,TRUE
09479462,2018,0,NA,FALSE
09479462,2019,0,NA,FALSE
09479462,2020,0,NA,FALSE
09479462,2021,0,NA,FALSE
09479463,2021,0,2018,TRUE
09571451,2015,0,NA,FALSE
09571451,2016,0,NA,FALSE
09571451,2017,0,NA,FALSE
09571451,2018,0,NA,FALSE
09571451,2019,0,NA,FALSE
09571451,2020,0,NA,FALSE
09571451,2021,0,NA,FALSE
09572451,2018,0,NA,FALSE
09572451,2019,0,NA,FALSE
09572451,2020,0,NA,FALSE
09572451,2021,0,NA,FALSE
09572452,2021,0,2018,TRUE
09572453,2018,0,2019,FALSE
09572453,2021,0,2019,TRUE
09572454,2021,0,2018,TRUE
09572455,2021,0,2018,TRUE
09572456,2021,0,2018,TRUE
09572457,2021,0,2018,TRUE
09572458,2021,0,2018,TRUE
09572459,2021,0,2018,TRUE
09572460,2021,0,2018,TRUE
09574451,2021,0,2018,TRUE
09574452,2020,0,2018,TRUE
09574452,2021,0,2018,TRUE
09574453,2021,0,2018,TRUE
09574454,2021,0,2018,TRUE
