AGS,year,share_broadband_baseline,share_gte1mbps,share_gte6mbps,share_gte30mbps,tier_baseline,tier_gte1,tier_gte6,tier_gte30,method_change_2015
01001000,2005,90.71,NA,NA,NA,0.128,NA,NA,NA,0
01001000,2006,99.4,NA,NA,NA,0.128,NA,NA,NA,0
01001000,2007,99.05,NA,NA,NA,0.128,NA,NA,NA,0
01001000,2008,99.06,NA,NA,NA,0.128,NA,NA,NA,0
01001000,2010,100,100,0,0,2,2,50,50,0
01001000,2011,100,100,86,86,2,2,50,50,0
01001000,2012,100,100,92,92,2,2,50,50,0
01001000,2013,99.99,99.99,95.85,95.29,2,2,16,50,0
01001000,2014,100,100,95.59,93.12000000000002,2,2,16,50,0
01001000,2015,100,100,99.64,93.66,2,2,16,50,1
01001000,2016,100,100,99.4,96.8,2,2,16,50,0
01001000,2017,100,100,99.44,96.97,2,2,16,50,0
01001000,2018,100,100,100,99,1,1,6,30,0
01001000,2019,100,100,100,99.09,1,1,6,30,0
01001000,2020,100,100,100,99.18,1,1,6,30,0
01001000,2021,100,100,100,99.31,1,1,6,30,0
01002000,2005,86.14,NA,NA,NA,0.128,NA,NA,NA,0
01002000,2006,99.58,NA,NA,NA,0.128,NA,NA,NA,0
01002000,2007,98.99,NA,NA,NA,0.128,NA,NA,NA,0
01002000,2008,98.98,NA,NA,NA,0.128,NA,NA,NA,0
01002000,2010,100,100,92,92,2,2,50,50,0
01002000,2011,100,100,79,79,2,2,50,50,0
01002000,2012,100,100,86,86,2,2,50,50,0
01002000,2013,100,100,99.88,88.44,2,2,16,50,0
01002000,2014,100,100,99.97,95.62,2,2,16,50,0
01002000,2015,100,100,99.99,95.83,2,2,16,50,1
01002000,2016,100,100,100,97.1,2,2,16,50,0
01002000,2017,100,100,99.98,97.51,2,2,16,50,0
01002000,2018,100,100,100,98,1,1,6,30,0
01002000,2019,100,100,100,99.06,1,1,6,30,0
01002000,2020,100,100,100,99.26,1,1,6,30,0
01002000,2021,100,100,100,99.32,1,1,6,30,0
01003000,2005,59.54,NA,NA,NA,0.128,NA,NA,NA,0
01003000,2006,79.17,NA,NA,NA,0.128,NA,NA,NA,0
01003000,2007,97.56,NA,NA,NA,0.128,NA,NA,NA,0
01003000,2008,97.44,NA,NA,NA,0.128,NA,NA,NA,0
01003000,2010,99,99,11,11,2,2,50,50,0
01003000,2011,100,100,74,74,2,2,50,50,0
01003000,2012,100,100,84,84,2,2,50,50,0
01003000,2013,99.92,99.92,96.96,85.38,2,2,16,50,0
01003000,2014,99.96,99.96,97.53,91.6,2,2,16,50,0
01003000,2015,100,100,98.96,91.97,2,2,16,50,1
01003000,2016,100,100,99,95,2,2,16,50,0
01003000,2017,100,100,99.12,95.9,2,2,16,50,0
01003000,2018,100,100,100,98,1,1,6,30,0
01003000,2019,100,100,100,98.61,1,1,6,30,0
01003000,2020,100,100,100,98.87,1,1,6,30,0
01003000,2021,100,100,100,99,1,1,6,30,0
01004000,2005,84.9,NA,NA,NA,0.128,NA,NA,NA,0
01004000,2006,99.09,NA,NA,NA,0.128,NA,NA,NA,0
01004000,2007,98.47,NA,NA,NA,0.128,NA,NA,NA,0
01004000,2008,98.44000000000001,NA,NA,NA,0.128,NA,NA,NA,0
01004000,2010,100,100,0,0,2,2,50,50,0
01004000,2011,100,100,82,82,2,2,50,50,0
01004000,2012,100,100,87,87,2,2,50,50,0
01004000,2013,100,100,94.78,93.84,2,2,16,50,0
