AGS,years,n_rows
02000001,2019,29
02000002,2019,29
02000003,2019,29
02000004,2019,29
02000005,2019,29
02000006,2019,29
02000007,2019,29
03156501,2018;2019;2020;2021,222
04011001,2019;2020;2021,131
04011002,2019;2020;2021,131
04011003,2019;2020;2021,131
04011004,2019;2020;2021,131
04011005,2019;2020;2021,131
05315001,2019;2020;2021,131
05315002,2019;2020;2021,131
05315003,2019;2020;2021,131
05315004,2019;2020;2021,131
05315005,2019;2020;2021,131
05315006,2019;2020;2021,131
05315007,2019;2020;2021,131
05315008,2019;2020;2021,131
05315009,2019;2020;2021,131
07932001,2018;2019,84
07932004,2018;2019,84
07932019,2018;2019,84
07932028,2018;2019,84
07932041,2018;2019,84
07932042,2018;2019,84
07932066,2018;2019,84
07932082,2018;2019,84
07932112,2018;2019,84
07932127,2018;2019,84
07932130,2018;2019,84
07932131,2018;2019,84
07932212,2018;2019,84
07932214,2018;2019,84
07932294,2018;2019,84
07932310,2018;2019,84
07935073,2018;2019,84
07935095,2018;2019,84
07935096,2018;2019,84
07935104,2018;2019,84
07935111,2018;2019,84
07935133,2018;2019,84
07935146,2018;2019,84
07935149,2018;2019,84
09162001,2019;2020;2021,131
09162002,2019;2020;2021,131
09162003,2019;2020;2021,131
09162004,2019;2020;2021,131
09162005,2019;2020;2021,131
09162006,2019;2020;2021,131
09162007,2019;2020;2021,131
09162008,2019;2020;2021,131
09162009,2019;2020;2021,131
09162010,2019;2020;2021,131
09162011,2019;2020;2021,131
09162012,2019;2020;2021,131
09162013,2019;2020;2021,131
09162014,2019;2020;2021,131
09162015,2019;2020;2021,131
09162016,2019;2020;2021,131
09162017,2019;2020;2021,131
09162018,2019;2020;2021,131
09162019,2019;2020;2021,131
09162020,2019;2020;2021,131
09162021,2019;2020;2021,131
09162022,2019;2020;2021,131
09162023,2019;2020;2021,131
09162024,2019;2020;2021,131
09162025,2019;2020;2021,131
09172444,2015;2016;2017;2018,12
09173444,2015;2016;2017;2018,12
09175444,2015;2016;2017;2018,12
09184444,2015;2016;2017;2018,12
09187444,2015;2016;2017;2018,12
09189444,2015;2016;2017;2018,12
09272444,2015;2016;2017;2018,12
09273444,2015;2016;2017;2018,12
09371455,2018;2019;2020;2021,224
09374444,2015;2016;2017;2018,12
09375444,2015;2016;2017;2018,12
09376454,2018;2019;2020;2021,224
09377455,2018;2019;2020;2021,224
09471444,2015;2016;2017;2018,12
09472444,2015;2016;2017;2018,12
09472457,2018;2019;2020;2021,224
09472459,2018;2019;2020;2021,224
09472460,2018;2019;2020;2021,224
09472461,2021,38
09473444,2015;2016;2017;2018,12
09475444,2015;2016;2017;2018,12
09476444,2015;2016;2017;2018,12
09478444,2015;2016;2017;2018,12
09479444,2015;2016;2017;2018,12
09572444,2015;2016;2017;2018,12
09574444,2015;2016;2017;2018,12
09576444,2015;2016;2017;2018,12
09671444,2015;2016;2017;2018,12
09671454,2018;2019;2020;2021,224
09672444,2015;2016;2017;2018,12
09673444,2015;2016;2017;2018,12
09676444,2015;2016;2017;2018,12
09677444,2015;2016;2017;2018,12
09678444,2015;2016;2017;2018,12
09679444,2015;2016;2017;2018,12
09774444,2015;2016;2017;2018,12
09775444,2015;2016;2017;2018,12
09779444,2015;2016;2017;2018,12
10942115,2018;2019,84
11000001,2019,29
11000002,2019,29
11000003,2019,29
11000004,2019,29
11000005,2019,29
11000006,2019,29
11000007,2019,29
11000008,2019,29
11000009,2019,29
11000010,2019,29
11000011,2019,29
11000012,2019,29
